שם ישוב,סמל ישוב,בעלי זכות בחירה,מצביעים,כשרים,פסולים,Arabs,Left,Right,Center,Orthodox
אשקלון,7100,85207,45070,44080,990,77,7176,18908,8807,7346
אשרת,1256,312,217,215,2,0,44,72,77,10
אשתאול,740,494,348,341,7,0,76,109,33,109
באקה-ג'ת,6000,17962,7880,7623,257,5049,2175,25,249,10
באר טוביה,155,550,429,426,3,0,220,34,146,0
באר יעקב,2530,5211,3184,3136,48,5,748,708,731,684
באר שבע,9000,144588,73722,72178,1544,305,16265,26427,15857,10767
בארות יצחק,450,392,252,249,3,1,26,163,28,3
בארותיים,697,490,342,333,9,0,122,38,140,4
בארי,399,736,542,537,5,1,409,13,84,0
בוסתן הגליל,559,357,246,245,1,0,112,45,65,8
בועיינה-נוג'ידאת,482,4043,2488,2394,94,1504,603,73,163,32
בוקעאתא,4001,239,91,90,1,0,23,17,18,28
בורגתה,698,620,445,441,4,0,182,56,157,9
בחן,2043,247,172,171,1,0,106,8,34,1
בטחה,762,474,324,314,10,0,31,149,27,105
ביצרון,234,665,520,519,1,2,217,43,214,3
ביר אל-מכסור,998,4161,1690,1640,50,611,365,81,309,248
ביריה,368,492,305,304,1,0,68,88,39,96
בית אורן,317,259,153,153,0,1,70,14,48,1
בית אל,3574,2578,2297,2279,18,0,10,2148,6,104
בית אלעזרי,562,778,532,528,4,0,206,96,179,17
בית אלפא,95,560,385,385,0,1,291,7,63,1
בית אריה,3652,2177,1524,1515,9,2,273,724,365,63
בית ג'ן,480,6035,4460,4412,48,998,1281,525,1331,228
בית גוברין,619,189,183,182,1,0,109,11,46,11
בית גמליאל,571,601,487,484,3,0,23,381,22,39
בית דגן,466,3806,2569,2536,33,4,666,721,598,460
בית הגדי,723,388,255,252,3,0,18,112,10,110
בית הלוי,373,411,302,300,2,0,136,20,112,0
בית הלל,322,426,299,297,2,0,120,18,124,3
בית העמק,572,447,313,312,1,0,220,39,41,2
בית הערבה,3645,53,39,39,0,0,13,8,5,4
בית השיטה,242,889,605,603,2,0,394,33,142,2
בית זית,710,929,701,701,0,5,335,90,170,27
בית זרע,143,582,401,393,8,0,277,18,66,1
בית חורון,3575,487,383,381,2,0,18,320,16,16
בית חירות,877,476,358,358,0,2,196,12,123,0
בית חלקיה,2033,244,208,204,4,0,0,20,0,183
בית חנן,159,436,328,326,2,0,152,21,127,2
בית חנניה,800,411,325,323,2,0,131,37,128,0
בית חשמונאי,1050,609,405,404,1,0,107,122,124,24
בית יהושע,288,535,393,391,2,1,126,46,178,13
בית יוסף,265,288,168,166,2,1,28,38,17,80
בית ינאי,200,291,197,194,3,0,87,8,73,3
בית יצחק-שער חפר,326,1330,1021,1009,12,3,436,69,433,5
בית לחם הגלילית,430,468,347,346,1,1,150,37,122,2
בית מאיר,751,341,266,266,0,0,10,172,9,67
בית נחמיה,784,453,298,295,3,1,97,51,115,13
בית ניר,16,224,169,169,0,0,125,1,35,1
בית נקופה,672,316,222,220,2,0,87,54,50,13
בית עובד,202,260,209,209,0,0,107,21,72,0
בית עוזיאל,301,351,246,246,0,0,60,79,53,44
בית עזרא,756,625,435,433,2,0,161,87,125,45
בית עריף,604,472,343,337,6,0,44,118,59,111
בית קמה,598,288,189,188,1,0,151,3,29,0
בית קשת,365,260,153,148,5,0,90,3,40,4
בית רבן,848,174,131,130,1,0,2,104,0,22
בית רימון,1162,155,122,122,0,0,15,90,5,8
בית שאן,9200,12031,6663,6572,91,4,1249,2221,819,2128
בית שמש,2610,34712,21965,21669,296,19,1837,8081,1701,9114
בית שערים,248,477,346,345,1,2,151,50,113,1
בית שקמה,747,464,227,225,2,0,45,124,24,27
ביתן אהרן,252,586,465,454,11,2,190,57,174,3
ביתר עילית,3780,10091,7837,7779,58,0,13,587,13,7156
בלפוריה,94,243,177,175,2,0,74,25,52,2
בן זכאי,760,414,292,289,3,0,20,103,25,132
בן עמי,712,397,275,273,2,1,135,47,66,3
בן שמן (כפר נוער),1084,240,154,154,0,0,82,19,41,3
בן שמן (מושב),2013,429,325,323,2,1,117,51,127,2
בני ברק,6100,83379,61014,60502,512,31,2354,7128,1931,48602
בני דרום,592,253,221,218,3,0,9,182,14,5
בני דרור,386,910,700,689,11,3,299,75,265,3
בני יהודה,4015,756,459,456,3,1,188,86,133,10
בני עטרות,448,419,336,335,1,0,149,31,124,4
"בני עי""ש",1066,5415,3411,3335,76,9,415,1834,593,390
בני ציון,418,612,470,466,4,3,158,50,211,11
בני ראם,588,619,458,457,1,2,18,266,22,141
בניה,685,538,421,417,4,3,160,47,168,7
בנימינה-גבעת עדה,9800,6917,4955,4921,34,13,1846,843,1607,312
"בסמ""ה",1326,4013,1834,1743,91,1324,327,4,56,5
בסמת טבעון,944,3623,1517,1464,53,724,521,66,104,20
בצרה,389,569,429,426,3,3,164,38,170,6
בצת,589,249,166,163,3,0,61,28,65,0
בקוע,864,361,268,261,7,0,86,90,26,56
בקעות,3612,138,87,86,1,0,23,25,32,3
בר גיורא,823,294,204,202,2,1,50,73,33,34
בר יוחאי,1191,240,181,179,2,0,4,115,2,56
ברור חיל,428,453,272,271,1,0,210,5,46,2
ברוש,2060,180,125,125,0,0,69,26,9,19
ברכה,3710,596,469,466,3,0,2,447,0,15
ברכיה,746,584,424,420,4,0,14,162,25,213
ברעם,667,444,292,290,2,0,226,13,31,1
ברק,141,240,162,162,0,0,75,35,33,5
ברקאי,617,404,249,249,0,5,187,4,39,0
ברקן,3654,878,608,600,8,0,86,383,96,7
ברקת,2038,637,519,516,3,0,4,301,5,202
בת הדר,1323,214,139,137,2,1,55,36,35,2
בת חפר,1319,2893,2108,2095,13,3,836,327,739,51
בת ים,6200,123621,61858,60680,1178,115,13886,20865,15407,8202
בת עין,3794,349,243,241,2,0,1,212,0,23
בת שלמה,33,286,198,196,2,4,71,43,54,4
ג'דיידה-מכר,1292,9829,4963,4850,113,4178,280,39,195,101
ג'ולס,485,3265,2116,2062,54,229,646,155,628,322
ג'לג'וליה,627,4008,3219,3170,49,2262,832,7,59,1
ג'נאביב (שבט),976,206,45,44,1,18,12,1,7,0
ג'סר א-זרקא,541,5899,1737,1669,68,928,477,9,222,8
ג'ש (גוש חלב),487,1954,973,951,22,477,242,21,178,9
גאולי תימן,872,258,205,205,0,0,78,74,41,6
גאולים,379,557,370,361,9,0,166,60,73,43
גאליה,853,713,515,512,3,1,174,54,248,6
גבולות,352,247,135,135,0,1,101,5,21,0
גבים,424,279,213,211,2,0,166,3,31,0
גבע,86,475,362,362,0,1,229,8,78,1
גבע בנימין,3763,1404,950,942,8,0,131,476,104,193
גבע כרמל,683,534,406,401,5,1,212,29,128,18
גבעולים,2014,217,140,139,1,0,31,38,14,56
גבעון החדשה,3644,797,572,556,16,0,107,293,115,7
גבעת אבני,1293,1205,834,828,6,0,273,136,278,105
גבעת אלה,1288,1250,896,893,3,2,418,64,347,6
גבעת ברנר,147,1262,829,820,9,1,559,39,164,3
גבעת השלושה,870,392,281,280,1,0,186,10,65,2
גבעת זאב,3730,7217,4948,4898,50,1,932,2210,878,644
"גבעת ח""ן",207,281,233,233,0,0,93,20,98,3
גבעת חיים (איחוד),2018,797,551,549,2,1,392,11,106,2
גבעת חיים (מאוחד),173,841,610,605,5,1,419,26,117,5
גבעת יואב,4021,363,241,240,1,0,89,59,52,3
גבעת יערים,787,663,478,477,1,2,146,158,105,37
גבעת ישעיהו,919,265,174,173,1,3,72,28,46,15
"גבעת כ""ח",802,364,223,219,4,0,46,69,47,48
"גבעת ניל""י",360,312,199,198,1,1,52,52,71,5
גבעת עוז,703,370,242,239,3,0,169,16,45,1
גבעת שמואל,681,13029,9549,9479,70,9,2181,4060,2222,574
גבעת שפירא,1077,134,106,106,0,0,48,5,42,0
גבעתי,793,513,298,296,2,0,79,45,125,30
גבעתיים,6300,43035,28945,28576,369,76,12033,4730,9268,916
גברעם,342,234,171,169,2,0,111,12,28,2
גבת,133,615,457,450,7,2,294,20,112,0
גדות,35,367,217,217,0,0,155,9,38,1
גדיש,145,269,162,158,4,0,19,63,26,46
גדעונה,442,141,79,78,1,0,18,17,23,17
גדרה,2550,9494,6207,6148,59,14,1707,1766,1493,693
גונן,852,329,186,184,2,0,127,4,33,1
גורן,755,344,242,238,4,0,93,20,92,32
גורנות הגליל,1219,157,94,94,0,0,25,23,29,14
גזית,457,563,422,420,2,1,320,6,75,1
גזר,370,297,142,141,1,4,80,8,31,0
גיאה,706,447,308,308,0,0,132,34,115,4
גיבתון,196,224,165,165,0,1,90,23,37,0
גיזו,1043,104,73,73,0,0,25,11,20,9
גילון,1204,578,435,431,4,0,199,39,172,0
גילת,736,620,408,404,4,0,145,130,56,70
גינוסר,262,462,316,311,5,0,161,24,101,5
גיניגר,92,404,266,264,2,3,172,14,50,0
גינתון,863,476,347,346,1,1,157,30,124,7
גיתה,1206,154,107,106,1,0,21,47,29,2
גיתית,3613,143,100,100,0,0,12,64,18,3
גלאון,393,342,219,217,2,0,177,1,23,0
גלגל,3606,118,68,68,0,0,28,5,30,0
גליל ים,346,271,209,209,0,0,140,11,42,3
גלעד (אבן יצחק),369,331,243,240,3,0,143,8,69,1
גמזו,745,510,425,425,0,0,28,322,10,57
גן הדרום,1072,284,207,205,2,0,45,46,89,12
גן השומרון,225,503,351,348,3,0,145,24,157,0
גן חיים,239,473,362,360,2,0,183,21,128,0
גן יאשיה,734,407,303,300,3,0,161,25,95,0
גן יבנה,166,9107,5988,5941,47,2,1686,1654,1617,683
גן נר,1274,1409,947,942,5,0,327,247,275,32
גן שורק,311,213,152,151,1,0,49,22,71,1
גן שלמה,144,357,271,270,1,0,156,4,76,1
גן שמואל,72,816,613,611,2,1,473,8,83,2
גנות,836,309,227,226,1,1,70,52,90,2
גנות הדר,549,377,297,293,4,0,105,35,135,6
גני הדר,1103,163,119,118,1,1,43,5,61,1
גני יוחנן,862,432,291,289,2,0,89,40,130,14
גני עם,218,196,155,155,0,0,64,9,65,0
גני תקווה,229,9222,6570,6503,67,6,1945,1385,1921,955
געש,842,499,367,364,3,3,292,4,46,0
געתון,463,412,267,266,1,6,215,4,28,0
גפן,39,208,143,141,2,0,13,55,15,57
גרופית,1129,281,155,154,1,0,108,1,32,4
גשור,4022,156,109,106,3,0,45,12,31,5
גשר,305,447,302,297,5,2,202,19,50,2
גשר הזיו,574,676,440,435,5,0,235,34,133,2
גת (קיבוץ),340,391,245,245,0,0,187,6,40,0
גת רימון,128,183,133,133,0,0,63,15,44,4
דבורה,146,219,144,142,2,0,67,23,43,3
דבוריה,489,4730,2681,2641,40,2308,264,8,39,4
דבירה,849,295,218,218,0,1,169,6,31,0
דברת,407,252,170,169,1,0,90,10,41,8
דגניה א',62,512,333,331,2,1,239,16,54,1
דגניה ב',79,458,300,299,1,0,206,14,61,1
"דוב""ב",1067,304,179,177,2,0,67,47,24,38
דולב,3747,466,410,409,1,0,0,394,0,12
דור,738,243,159,156,3,0,70,15,59,0
דורות,336,468,299,298,1,2,191,9,76,1
