שם ישוב,סמל ישוב,בעלי זכות בחירה,מצביעים,כשרים,פסולים,Arabs,Left,Right,Center,Orthodox
"כפר אז""ר",180,415,325,325,0,1,163,18,111,0
כפר אחים,690,382,250,249,1,0,84,72,75,10
כפר ביאליק,220,408,271,266,5,0,106,28,113,3
"כפר ביל""ו",177,703,540,537,3,2,284,49,174,3
כפר בלום,357,564,354,354,0,1,214,26,76,3
כפר בן נון,2010,317,213,213,0,1,81,39,70,0
כפר ברא,633,1249,862,857,5,683,127,1,31,8
כפר ברוך,132,212,148,146,2,0,52,25,54,1
כפר גדעון,106,142,117,115,2,0,4,33,9,65
כפר גלים,427,83,59,59,0,1,24,8,16,2
כפר גליקסון,310,264,183,182,1,2,116,2,55,1
כפר גלעדי,76,553,337,335,2,1,186,23,91,1
כפר דניאל,707,213,151,149,2,1,78,2,52,3
כפר האורנים,3796,918,776,775,1,0,316,91,306,9
כפר החורש,192,380,277,272,5,0,171,14,67,2
כפר המכבי,254,269,175,173,2,1,95,6,62,0
כפר הנגיד,582,659,483,478,5,0,172,56,224,1
כפר הנוער הדתי,890,65,36,36,0,0,3,32,0,1
כפר הנשיא,443,581,321,315,6,1,205,12,78,1
כפר הס,187,735,563,561,2,3,243,26,251,0
"כפר הרא""ה",217,590,501,498,3,0,32,393,32,25
"כפר הרי""ף",888,418,303,302,1,0,104,51,112,6
כפר ויתקין,190,1140,884,881,3,2,449,35,316,6
כפר ורבורג,320,589,426,423,3,0,190,64,139,4
כפר ורדים,1263,3880,2809,2783,26,11,1312,306,921,37
כפר זיתים,786,327,180,180,0,0,25,90,40,24
"כפר חב""ד",696,2616,1714,1702,12,1,8,1277,1,404
כפר חושן,609,432,281,280,1,0,128,71,21,58
כפר חיטים,255,303,181,181,0,0,88,21,53,6
כפר חיים,193,390,296,296,0,1,147,19,92,6
כפר חנניה,1297,194,135,135,0,0,34,61,24,9
כפר חסידים א',112,471,339,335,4,0,73,145,74,26
כפר חסידים ב',889,117,88,86,2,0,25,40,12,3
כפר חרוב,4004,239,136,136,0,1,60,9,45,0
כפר טרומן,673,411,350,347,3,1,132,64,103,13
כפר יאסיף,507,5725,3888,3820,68,3202,311,30,246,9
כפר ידידיה,233,390,287,287,0,1,136,12,114,0
כפר יהושע,140,533,427,424,3,1,234,23,139,0
כפר יונה,168,8927,5644,5549,95,9,1600,1259,1755,645
כפר יחזקאל,85,474,359,358,1,0,164,30,128,0
כפר יעבץ,170,420,287,284,3,0,30,150,31,51
כפר כמא,508,1929,582,548,34,45,349,19,113,11
כפר כנא,509,9318,6055,5866,189,4958,724,26,55,60
כפר מונש,387,544,396,392,4,0,176,37,146,4
כפר מימון,1095,327,278,275,3,0,13,244,5,9
"כפר מל""ל",98,280,217,216,1,1,84,25,87,1
כפר מנדא,510,7431,5506,5288,218,3150,1204,23,109,700
כפר מנחם,274,506,350,342,8,10,254,8,42,1
כפר מסריק,297,529,403,400,3,1,313,3,65,0
כפר מצר,512,1163,738,721,17,450,179,9,40,37
כפר מרדכי,764,349,247,247,0,0,106,16,101,2
כפר נטר,316,487,378,378,0,3,142,33,163,2
כפר סאלד,345,413,277,275,2,1,187,6,38,0
כפר סבא,6900,66378,44056,43507,549,76,14450,9894,13966,2674
כפר סילבר,107,91,52,51,1,0,31,8,11,0
כפר סירקין,249,722,543,535,8,2,206,65,212,6
כפר עזה,845,567,416,415,1,2,238,8,142,0
כפר עציון,3488,340,261,258,3,0,18,206,9,8
כפר פינס,189,287,236,234,2,0,11,199,9,11
כפר קאסם,634,9022,7693,7618,75,5425,1907,24,242,2
כפר קיש,388,245,138,138,0,0,74,8,38,6
כפר קרע,654,8398,5445,5365,80,4033,761,38,255,7
כפר ראש הנקרה,579,571,409,407,2,1,281,29,75,3
כפר רוזנואלד (זרע,1130,191,110,110,0,0,51,19,22,14
כפר רופין,295,371,242,238,4,0,147,12,65,0
כפר רות,1166,180,131,130,1,1,38,29,42,4
כפר שמאי,605,228,141,140,1,1,35,46,21,35
כפר שמואל,743,442,331,325,6,0,142,47,111,6
כפר שמריהו,267,1578,1039,1033,6,4,303,103,529,6
כפר תבור,47,1872,1301,1292,9,2,516,189,480,36
כפר תפוח,3572,413,302,300,2,1,1,262,4,24
כרכום,1285,367,264,262,2,1,126,23,91,9
כרם בן זמרה,664,312,214,211,3,0,39,95,38,29
כרם יבנה (ישיבה),1094,183,164,164,0,0,1,132,0,31
"כרם מהר""ל",580,385,280,280,0,0,130,54,74,1
כרם שלום,1085,82,29,28,1,1,13,3,8,0
כרמי יוסף,1264,1342,1009,1005,4,3,411,124,384,5
כרמי צור,3766,289,252,250,2,0,2,235,0,12
כרמיאל,1139,37569,21694,21183,511,93,4539,7245,6840,1403
כרמיה,768,309,194,194,0,0,129,26,27,3
כרמל,3656,206,178,178,0,0,0,174,1,3
לבון,1207,114,103,103,0,0,41,10,36,13
לביא,585,508,409,403,6,0,17,291,23,8
לבנים,1230,243,159,159,0,0,65,33,39,10
להב,2023,391,270,267,3,0,210,5,40,1
להבות הבשן,380,383,271,265,6,1,207,16,30,1
להבות חביבה,715,265,169,169,0,0,125,6,34,0
להבים,1271,3836,2831,2817,14,11,1234,409,1006,43
לוד,7000,49668,26457,25760,697,3098,4200,9662,3819,3827
לוזית,52,227,149,149,0,1,57,16,6,69
לוחמי הגיטאות,595,416,307,306,1,0,228,9,53,2
לוטם,1171,226,166,165,1,2,109,10,24,2
לוטן,1255,142,81,81,0,1,54,3,12,0
לימן,674,411,278,275,3,0,87,45,121,4
לכיש,24,365,304,303,1,1,176,23,91,1
לפיד,1310,1215,888,882,6,0,322,178,317,21
לפידות,1173,125,87,87,0,0,70,5,4,5
לקיה,1060,3650,2402,2340,62,2191,39,8,66,7
מאור,2055,499,369,366,3,0,110,84,115,24
מאיר שפיה,102,100,39,39,0,0,16,6,12,2
מבוא ביתר,771,260,167,166,1,0,42,47,67,2
מבוא דותן,3569,209,125,125,0,0,8,60,49,5
מבוא חורון,3709,464,419,419,0,0,1,335,0,81
מבוא חמה,4204,330,178,176,2,1,88,17,46,0
מבוא מודיעים,1141,161,101,100,1,0,7,65,5,17
מבועים,1080,554,369,369,0,1,148,81,101,29
מבטחים,829,319,165,164,1,0,71,29,14,43
מבקיעים,573,168,106,102,4,0,42,17,32,4
מבשרת ציון,1015,16181,10925,10846,79,46,3735,2625,2871,975
מג'דל שמס,4201,316,95,95,0,0,5,24,33,30
מגאר,481,10926,5041,4936,105,2351,1337,252,694,226
מגדים,689,549,389,385,4,2,115,65,133,44
מגדל,65,967,581,575,6,5,58,240,98,168
מגדל העמק,874,19225,10499,10267,232,16,1696,4302,2040,1886
מגדל עוז,3561,205,167,166,1,0,3,150,1,7
מגדלים,3751,89,51,50,1,0,1,25,20,1
מגידו,586,320,199,197,2,4,132,7,41,4
מגל,375,436,343,342,1,1,185,17,120,0
מגן,695,387,284,284,0,5,228,7,38,1
מגן שאול,1155,246,139,136,3,0,34,34,51,4
מגשימים,722,521,383,380,3,0,103,76,159,9
מדרך עוז,2029,382,261,261,0,1,46,77,69,58
מדרשת בן גוריון,1140,546,395,394,1,3,236,33,89,4
מודיעין עילית,3797,11891,10640,10564,76,1,9,253,10,10284
מודיעין-מכבים-רעו,1200,34829,25732,25562,170,15,8658,6335,8315,849
מולדת,269,529,376,376,0,0,217,30,119,0
מוצא עילית,208,663,456,453,3,3,234,59,131,2
מוקייבלה,635,1532,1005,965,40,730,49,122,3,43
מורן,1163,118,82,82,0,0,50,5,17,0
מורשת,1178,476,431,431,0,0,10,395,3,17
מזור,606,648,475,472,3,0,152,70,212,3
מזכרת בתיה,28,5703,3922,3879,43,4,1415,716,1301,216
מזרע,104,658,442,441,1,1,330,6,72,2
מזרעה,517,2071,1368,1342,26,1031,228,2,55,21
מחולה,3599,253,200,199,1,0,5,164,7,8
מחנה טלי,1418,132,75,75,0,0,20,15,34,1
מחנה יפה,1415,192,117,117,0,0,43,20,47,5
מחנה תל נוף,1412,194,113,113,0,0,40,18,48,0
מחניים,308,340,221,216,5,1,149,7,38,5
מחסיה,776,243,148,147,1,0,14,70,23,39
מטולה,43,1162,701,693,8,2,278,92,245,14
מטע,822,360,232,230,2,5,116,40,37,21
מי עמי,1128,161,114,113,1,0,61,10,27,1
מיטב,2054,313,207,203,4,0,21,99,67,12
מייסר,649,869,385,378,7,231,121,2,7,0
מירב,1282,152,133,133,0,0,8,109,5,4
מירון,607,336,221,219,2,0,10,161,2,45
מישר,731,394,314,311,3,0,146,34,104,4
מיתר,1268,4681,3453,3429,24,10,1281,892,982,91
מכורה,3614,118,76,76,0,0,19,15,38,0
מכמורת,382,978,633,632,1,4,277,50,207,8
מכמנים,1202,175,132,132,0,0,80,6,23,0
מלאה,164,225,164,160,4,0,31,55,31,38
מלילות,2044,192,120,120,0,0,14,57,19,26
מלכיה,596,338,194,193,1,0,125,18,42,3
מנוחה,2030,270,149,147,2,0,16,67,28,35
מנוף,1174,383,274,269,5,1,153,13,83,1
מנות,1205,215,154,154,0,0,52,37,45,16
מנחמיה,48,923,557,553,4,0,149,134,107,140
מנרה,347,225,130,126,4,0,93,4,17,0
מנשית זבדה,994,471,341,337,4,104,96,49,60,14
מסד,1258,262,194,193,1,0,112,18,45,5
מסדה,263,229,147,144,3,0,80,9,25,2
מסילות,298,508,300,296,4,0,203,9,56,0
מסילת ציון,742,480,368,366,2,1,133,60,122,30
מסלול,748,265,190,186,4,1,69,32,61,13
מסעדה,4203,122,48,48,0,0,6,15,5,20
מסעודין אל-עזאזמה,939,3803,1062,1025,37,861,59,15,19,20
מעברות,197,690,524,521,3,2,384,12,89,2
מעגלים,1082,621,444,443,1,0,53,218,33,138
מעגן,678,284,169,169,0,0,90,16,41,2
מעגן מיכאל,694,1231,849,843,6,2,596,19,153,0
מעוז חיים,272,450,304,302,2,2,187,19,84,0
מעון,3657,161,131,130,1,0,0,127,0,3
מעונה,570,385,280,274,6,0,112,53,76,19
מעטפות כפולות,0,0,174484,171390,3094,2683,40019,51481,40663,16544
מעיליא,518,2014,1489,1467,22,891,224,93,239,2
מעין ברוך,416,283,184,182,2,0,137,5,31,0
מעין צבי,290,515,350,348,2,2,189,13,114,0
מעלה אדומים,3616,19842,12919,12759,160,8,1737,7173,1998,1373
מעלה אפרים,3608,1191,582,572,10,0,86,233,183,32
מעלה גלבוע,1127,199,157,155,2,0,22,82,17,0
מעלה גמלא,4008,283,172,169,3,0,60,20,57,0
מעלה החמישה,286,373,220,218,2,2,141,7,51,1
מעלה לבונה,3752,282,224,224,0,0,0,208,1,11
מעלה מכמש,3651,569,525,525,0,0,3,467,6,42
מעלה עירון,1327,6356,2820,2776,44,2289,243,12,134,32
מעלה עמוס,3653,163,103,103,0,0,0,15,0,87
מעלה שומרון,3637,411,308,306,2,1,20,225,23,28
מעלות-תרשיחא,1063,15908,9980,9635,345,1437,1416,3611,2026,842
מענית,344,432,312,307,5,1,214,5,68,0
מעש,230,593,449,446,3,0,198,70,147,8
מפלסים,668,437,300,298,2,0,204,12,58,1
מצדות יהודה,3745,211,184,184,0,0,4,171,1,7
מצובה,325,428,259,258,1,0,187,3,56,2
מצליח,757,767,479,469,10,0,173,102,121,52
מצפה,58,121,77,77,0,0,27,9,37,0
"מצפה אבי""ב",1222,369,286,285,1,3,133,14,102,1
מצפה יריחו,3576,747,601,601,0,0,6,551,3,37
מצפה נטופה,1190,315,259,259,0,0,10,200,9,8
מצפה רמון,99,3369,2072,2016,56,12,707,846,215,163
מצפה שלם,3610,124,73,72,1,0,50,5,10,0
מצר,648,382,280,278,2,0,228,5,26,0
מקווה ישראל,22,179,130,128,2,1,61,34,25,3
מרגליות,843,251,122,120,2,0,47,30,34,7
מרום גולן,4101,402,254,252,2,1,135,29,62,1
מרחביה (מושב),97,451,338,337,1,1,131,52,130,0
מרחביה (קיבוץ),66,486,331,329,2,1,216,17,64,7
מרכז שפירא,1098,1106,957,954,3,0,30,733,30,138
משאבי שדה,421,439,285,284,1,0,200,7,55,2
משגב דב,765,382,276,276,0,0,89,50,109,0
משגב עם,378,193,111,110,1,1,77,6,16,1
משהד,520,3610,2019,1975,44,1656,223,7,58,13
משואה,3605,136,81,81,0,0,25,26,25,0
משואות יצחק,620,435,353,352,1,0,22,278,29,4
משמר איילון,670,324,222,221,1,1,84,55,61,5
משמר דוד,563,147,91,90,1,0,43,6,30,0
משמר הירדן,732,333,215,213,2,0,44,77,54,26
משמר הנגב,395,705,405,399,6,0,265,18,87,4
משמר העמק,130,795,585,585,0,1,439,5,110,0
משמר השבעה,729,516,392,389,3,1,131,67,143,10
משמר השרון,194,434,291,291,0,0,195,11,63,0
משמרות,213,232,151,149,2,1,100,6,25,0
משמרת,425,458,362,354,8,0,151,34,143,1
משען,791,489,268,265,3,0,40,116,54,51
מתן,1315,1677,1336,1328,8,5,600,191,442,17
מתת,1184,110,77,76,1,0,41,16,7,2
מתתיהו,3648,188,132,127,5,0,1,14,0,109
נאות גולן,4551,262,164,162,2,0,63,34,41,0
נאות הכיכר,1124,296,188,187,1,0,70,16,83,0
נאות מרדכי,408,473,330,329,1,0,204,20,58,8
נאות סמדר,1197,291,164,164,0,0,92,17,33,2
נאעורה,524,964,341,333,8,158,115,5,42,8
נבטים,396,471,330,324,6,0,115,78,89,37
נגבה,315,481,305,305,0,1,217,11,56,2
נהורה,309,687,443,440,3,0,141,116,83,87
נהלל,80,586,419,417,2,0,166,61,146,0
נהריה,9100,41809,23604,23283,321,85,6120,7437,6474,2212
נוב,4304,392,305,304,1,0,5,279,1,12
נוגה,55,312,178,175,3,4,63,55,35,1
נווה אבות,926,115,10,10,0,0,2,4,1,2
נווה אור,590,311,181,181,0,0,127,7,39,0
"נווה אטי""ב",4303,147,91,91,0,1,12,26,37,0
נווה אילן,405,389,214,210,4,1,100,26,50,3
נווה איתן,296,195,126,122,4,0,81,5,24,0
נווה אפעל,2032,556,358,348,10,1,200,27,109,4
נווה דניאל,3725,727,614,612,2,0,9,573,5,15
נווה זוהר,1057,83,45,45,0,0,7,8,18,6
נווה זיו,1314,268,197,197,0,0,74,40,69,1
נווה ים,312,164,116,115,1,0,55,12,31,1
נווה ימין,686,796,516,501,15,0,126,179,137,46
נווה ירק,858,666,549,541,8,2,198,50,252,1
נווה מבטח,827,443,291,285,6,0,135,27,96,3
נווה מיכאל,1071,259,163,161,2,0,26,59,13,61
נווה שלום,1259,109,89,89,0,49,36,0,1,0
נועם,15,320,189,188,1,0,20,71,18,77
נוף איילון,1333,1027,922,919,3,0,3,798,3,107
נופים,3790,301,196,196,0,0,26,133,19,15
נופית,1284,1495,1216,1212,4,0,489,119,525,6
נופך,257,232,161,161,0,2,44,57,25,26
נוקדים,3726,432,317,314,3,0,7,277,13,12
נורדיה,447,1434,1026,1014,12,0,318,209,414,9
נחושה,59,144,116,116,0,0,2,77,1,31
נחל עוז,844,270,172,172,0,1,134,7,21,1
נחלה,2045,294,203,203,0,0,41,73,19,66
נחליאל,3767,129,95,95,0,0,0,50,0,45
נחלים,449,741,634,631,3,0,26,543,18,29
נחם,809,328,233,227,6,2,19,105,31,63
נחף,522,5350,3218,3176,42,2360,328,46,83,335
נחשולים,433,356,262,261,1,0,171,2,63,0
נחשון,777,341,243,240,3,1,197,3,28,1
נחשונים,705,299,208,207,1,0,140,5,46,0
נטועה,1147,213,144,141,3,0,40,40,35,23
נטעים,174,338,259,258,1,0,129,22,94,4
נטף,1254,254,198,198,0,0,126,9,34,4
ניין,523,885,323,310,13,123,132,6,12,5
"ניל""י",3655,516,394,391,3,0,74,178,92,10
ניצן,351,593,378,376,2,1,21,264,16,65
ניצנה (קהילת חינו,1195,341,153,151,2,1,54,29,44,3
ניצני עוז,851,536,388,387,1,0,150,73,122,18
ניצנים,359,349,232,230,2,1,145,12,58,1
ניר אליהו,808,326,223,221,2,0,145,8,54,0
ניר בנים,553,436,334,333,1,0,160,26,123,0
ניר גלים,720,335,292,290,2,0,16,243,8,14
ניר דוד (תל עמל),256,537,412,410,2,1,304,6,69,0
"ניר ח""ן",11,296,173,173,0,0,83,38,42,3
ניר יפה,165,316,212,210,2,0,97,18,69,3
ניר יצחק,402,494,347,346,1,7,288,6,30,2
ניר ישראל,699,497,353,348,5,1,146,37,136,1
ניר משה,2047,274,175,175,0,1,84,24,56,6
ניר עוז,69,331,237,236,1,0,195,2,31,0
ניר עם,348,328,199,198,1,0,146,9,31,1
ניר עציון,769,447,291,290,1,30,36,174,21,5
ניר עקיבא,2048,196,134,134,0,0,65,23,22,17
ניר צבי,331,760,573,571,2,5,228,63,232,4
נירים,602,348,242,241,1,0,195,0,33,0
נירית,1236,720,556,555,1,2,236,43,209,6
נירן,3620,55,36,36,0,0,33,2,1,0
נס הרים,825,417,242,236,6,0,60,85,58,29
נס ציונה,7200,22451,15157,14918,239,17,5322,3036,4615,1100
נעורים,186,123,52,52,0,0,18,2,23,4
נעלה,3787,399,296,293,3,0,52,142,73,7
נעמי,3713,85,56,55,1,0,10,9,34,2
נען,158,1078,778,774,4,1,513,22,187,2
נצאצרה (שבט),1041,241,29,25,4,19,1,0,4,0
נצר סרני,435,512,387,383,4,0,262,13,90,3
נצרת,7300,44533,23812,23138,674,20379,1730,164,427,99
נצרת עילית,1061,39636,20718,20021,697,1635,2977,9389,4406,763
נשר,2500,17361,10225,10038,187,24,2257,3571,2878,785
נתיב הגדוד,3555,134,74,74,0,0,16,19,31,3
"נתיב הל""ה",693,317,232,230,2,0,139,16,61,2
נתיב העשרה,1242,493,362,360,2,1,159,82,88,3
נתיב השיירה,792,347,232,229,3,0,121,29,61,10
נתיבות,246,15137,10181,10014,167,9,980,3377,455,4968
נתניה,7400,143559,78084,76614,1470,90,14436,27322,18336,11985
סאג'ור,525,2014,1271,1264,7,300,398,191,150,209
סאסא,578,391,257,256,1,0,193,9,44,0
סביון,587,2999,2034,2015,19,1,611,287,954,31
סגולה,2046,292,199,197,2,0,86,23,71,3
סואעד (כמאנה) (שב,989,115,40,40,0,17,2,0,1,18
סוואעד חמיירה,942,93,33,32,1,17,12,1,0,0
סולם,526,1377,759,744,15,415,223,0,2,92
סוסיה,3756,293,250,250,0,0,2,231,0,15
סופה,1238,219,127,127,0,0,74,14,29,1
סח'נין,7500,14413,10598,10492,106,9072,869,55,393,52
סייד (שבט),1170,1104,444,432,12,114,158,4,141,6
סלמה,1245,1347,711,703,8,390,207,33,55,4
סלעית,3567,327,238,237,1,0,76,44,95,2
סמר,1156,226,126,126,0,4,96,3,12,3
סנסנה,1328,90,80,79,1,0,1,75,1,0
סעד,419,514,405,405,0,0,84,219,59,10
סער,454,367,235,234,1,1,173,8,39,2
ספיר,1176,252,141,140,1,0,55,31,28,17
סתריה,610,601,427,425,2,2,204,46,137,2
ע'ג'ר,4501,1088,323,307,16,39,110,2,36,102
עבדון,892,342,226,223,3,0,73,30,44,74
עברון,376,581,456,453,3,0,349,8,57,1
עגור,794,249,164,163,1,0,21,49,36,52
עדי,1199,1006,793,788,5,1,245,105,385,14
עדנים,2035,271,216,213,3,0,77,35,86,1
עוזה,826,397,239,237,2,0,4,89,10,129
עוזייר,528,1197,556,539,17,431,42,34,3,24
עולש,737,575,415,409,6,0,161,56,156,8
עומר,666,5471,3934,3899,35,16,1690,611,1354,44
עופר,810,267,190,188,2,0,87,45,31,6
עופרה,3617,1333,1125,1119,6,0,10,1051,7,25
עוצם,32,380,258,252,6,0,43,27,12,167
עוקבי (בנו עוקבה),957,194,110,107,3,91,8,1,5,0
עזר,1149,513,343,341,2,0,132,34,126,28
עזריאל,837,388,282,275,7,1,25,156,26,56
עזריה,711,505,319,314,5,0,42,146,69,49
עזריקם,817,642,427,423,4,0,145,121,67,72
עטאוונה (שבט),969,166,72,70,2,60,6,0,1,1
עטרת,3658,185,170,170,0,0,4,161,0,5
עידן,1175,205,104,104,0,1,51,13,31,0
עיילבון,530,2895,2344,2310,34,2019,172,7,79,9
עיינות,156,54,33,32,1,0,22,2,6,0
עילוט,511,3301,1722,1658,64,1419,94,92,27,11
עין איילה,687,471,347,345,2,0,142,40,136,3
עין אל-אסד,546,470,308,303,5,22,130,93,54,0
עין גב,273,447,319,312,7,0,195,32,65,0
עין גדי,2042,467,297,296,1,0,187,5,80,5
עין דור,436,672,399,397,2,1,299,8,72,0
עין הבשור,1240,499,378,376,2,1,185,54,119,3
עין הוד,74,308,218,213,5,5,125,17,38,0
עין החורש,167,636,488,484,4,3,371,10,73,1
עין המפרץ,289,624,471,469,2,1,349,3,86,1
"עין הנצי""ב",383,403,313,312,1,0,23,235,30,2
עין העמק,367,460,267,267,0,0,73,63,100,22
עין השופט,270,725,475,474,1,0,359,8,85,1
עין השלושה,676,296,181,180,1,0,117,7,52,1
עין ורד,157,712,566,565,1,0,281,42,204,0
עין זיוון,4503,220,118,117,1,0,44,9,52,0
עין חרוד (איחוד),89,529,381,378,3,0,211,19,122,0
עין חרוד (מאוחד),82,677,442,441,1,0,264,42,102,5
עין יהב,806,437,314,313,1,3,179,14,97,0
עין יעקב,813,436,326,326,0,0,127,82,86,18
עין כרמל,426,343,262,262,0,0,189,12,43,1
עין מאהל,532,5774,3596,3528,68,2812,509,52,99,39
עין נקובא,521,883,408,368,40,118,193,11,17,23
עין עירון,223,291,225,225,0,0,102,14,88,0
עין צורים,622,363,284,284,0,0,32,202,17,8
עין ראפה,514,399,202,193,9,94,75,1,4,0
עין שמר,139,584,421,413,8,0,320,7,63,0
עין שריד,880,789,561,559,2,0,175,74,169,109
עינת,871,473,370,369,1,0,239,16,91,1
עיר כרמל,494,16090,7703,7550,153,1249,2483,256,1792,640
עכו,7600,37743,20962,20413,549,4799,2752,6346,3243,2813
עלומים,1146,290,219,218,1,0,16,158,20,3
עלי,3765,1258,1007,996,11,0,10,907,16,59
עלי זהב,3727,387,295,294,1,0,32,206,26,10
עלמה,688,505,278,276,2,0,12,163,8,92
עלמון,3715,457,328,326,2,0,38,195,73,3
עמוקה,1212,174,106,105,1,0,71,11,18,0
עמינדב,779,403,289,289,0,0,93,91,70,21
עמיעד,385,452,284,282,2,0,178,5,71,4
עמיעוז,318,202,121,120,1,0,46,21,20,29
עמיקם,773,314,235,233,2,1,82,32,95,1
עמיר,319,475,315,312,3,3,256,8,36,1
עמנואל,3660,1487,959,952,7,0,4,221,6,711
עמקה,708,420,278,268,10,1,27,134,53,44
ענב,3712,324,267,264,3,0,6,188,9,59
עפולה,7700,31396,16250,15899,351,37,2937,6733,3620,1759
עץ אפרים,3778,421,312,306,6,0,35,185,32,40
עראבה,531,10636,6649,6634,15,6077,351,46,104,10
עראמשה,1246,755,375,370,5,88,209,1,66,1
ערד,2560,19812,10743,10465,278,35,2409,4154,2510,891
ערוגות,593,523,396,393,3,0,186,45,126,8
ערערה,637,8914,4580,4514,66,3927,420,10,61,3
ערערה-בנגב,1192,4011,1716,1667,49,1382,82,27,55,95
עשרת,591,775,585,584,1,1,256,55,215,4
עתלית,53,3447,2073,2029,44,5,531,567,563,279
עתניאל,3748,353,278,278,0,0,4,264,0,7
פארן,1151,312,215,214,1,0,94,10,87,0
פדואל,3768,510,424,424,0,0,1,401,3,17
פדויים,750,239,161,159,2,0,63,37,10,45
פדיה,838,373,237,235,2,0,54,67,74,34
פוריה - כפר עבודה,1104,199,122,122,0,0,27,44,24,21
פוריה - נווה עובד,1105,665,393,388,5,1,76,174,83,40
פוריה עילית,1313,401,264,259,5,0,90,56,82,11
פוריידיס,537,5870,1711,1677,34,1170,417,7,44,4
פורת,767,624,328,322,6,0,24,117,14,160
פטיש,749,467,328,327,1,0,71,79,38,132
פלמחים,597,494,316,316,0,0,216,8,68,6
פני חבר,3723,113,101,101,0,0,0,91,1,7
פסגות,3659,792,711,711,0,0,5,673,4,25
פסוטה,535,2109,959,946,13,520,186,7,177,38
"פעמי תש""ז",2059,250,160,160,0,0,46,35,10,67
פצאל,3615,217,146,146,0,0,33,43,59,0
פקיעין (בוקייעה),536,3265,2488,2468,20,920,740,344,339,110
פקיעין חדשה,281,215,140,140,0,0,52,17,29,39
פרדס חנה-כרכור,7800,21588,12626,12447,179,42,3567,3662,3202,1160
פרדסיה,171,4075,2920,2899,21,4,1029,409,1060,235
פרוד,599,261,160,157,3,3,101,8,30,3
פרזון,2053,271,188,187,1,2,21,107,47,7
פרי גן,1231,107,57,57,0,0,30,7,15,3
פתח תקווה,7900,145654,90612,89263,1349,108,20958,31092,21094,12042
פתחיה,839,498,307,304,3,1,75,90,75,47
צאלים,413,365,248,244,4,1,170,20,37,1
צביה,1180,186,152,150,2,1,65,2,64,0
צובה,465,516,354,353,1,0,253,15,56,0
צוחר,1136,301,166,165,1,0,57,25,40,35
צופים,3791,491,360,358,2,0,32,250,47,20
צופית,198,617,479,475,4,0,240,37,160,2
צופר,1150,242,181,180,1,0,64,6,82,1
צוקי ים,1102,143,100,100,0,0,55,9,26,2
צור הדסה,1113,2213,1652,1640,12,9,651,343,484,44
צור משה,276,1330,1041,1034,7,0,464,103,383,7
צור נתן,1148,199,127,126,1,0,30,34,50,0
צוריאל,774,228,144,143,1,1,42,37,42,17
צורית,1221,466,358,358,0,1,146,40,153,1
צורן-קדימה,195,9826,6878,6793,85,5,2074,1390,2313,645
ציפורי,613,397,259,256,3,1,104,36,96,4
צלפון,796,425,279,275,4,0,69,107,26,71
צנדלה,636,836,355,344,11,319,15,3,3,0
צפריה,594,323,262,259,3,0,19,193,21,15
צפרירים,1079,216,139,139,0,0,64,27,26,14
צפת,8000,18918,10749,10557,192,55,1132,4158,1604,3309
צרופה,612,511,366,363,3,0,88,116,105,40
צרעה,567,782,514,512,2,15,364,6,89,1
קבועה (שבט),1234,409,148,144,4,106,27,1,7,1
קבוצת יבנה,334,597,439,433,6,2,54,264,60,4
קדומים,3557,1901,1633,1627,6,0,10,1531,18,54
קדמת צבי,4025,235,153,153,0,1,52,17,59,1
קדר,3781,360,238,237,1,0,47,124,46,14
קדרון,615,847,658,653,5,0,304,56,232,5
קודייראת א-צאנע(ש,964,928,425,417,8,370,30,4,2,3
קוואעין (שבט),972,300,137,135,2,99,2,2,30,1
קוממיות,766,228,135,132,3,0,0,1,0,131
קורנית,1179,397,317,317,0,0,168,20,99,0
קטורה,1052,381,186,184,2,2,126,11,25,0
קיסריה,1167,3022,1926,1914,12,1,570,271,906,23
קלחים,414,210,134,132,2,0,68,9,21,33
קליה,3601,202,138,136,2,0,44,28,41,0
קלנסווה,638,8950,5553,5453,100,4607,433,17,356,4
קציר-חריש,1247,2138,1404,1382,22,15,423,438,326,108
קצר א-סר,1347,265,147,144,3,112,19,0,6,0
קצרין,4100,5207,2851,2782,69,9,570,1050,755,221
קרית אונו,2620,21416,14643,14486,157,22,5225,2926,4548,964
קרית ארבע,3611,3775,2649,2611,38,4,42,2259,91,190
קרית אתא,6800,40860,23434,22983,451,34,4792,8201,5694,3265
קרית ביאליק,9500,32837,19537,19222,315,27,5739,4714,6553,1229
קרית גת,2630,36650,19866,19391,475,17,3269,7422,3448,4380
קרית טבעון,2300,11775,7873,7797,76,46,3588,1030,2437,144
קרית ים,9600,34793,18078,17640,438,31,3486,6833,4941,1424
קרית יערים,1137,1514,1062,1061,1,0,8,92,6,943
קרית מוצקין,8200,34028,20772,20451,321,18,6036,5434,6778,1199
קרית מלאכי,1034,14293,7900,7715,185,12,1349,2254,1055,2386
קרית נטפים,3746,230,180,180,0,0,7,146,1,24
קרית ענבים,78,270,206,205,1,0,138,7,45,2
קרית עקרון,469,6914,4140,4065,75,5,968,1424,728,744
קרית שמונה,2800,17385,9028,8860,168,16,2031,3546,1571,1312
קרני שומרון,3640,4216,3032,2992,40,1,134,2488,171,144
קשת,4006,315,260,260,0,0,1,250,0,6
ראמה,543,5048,2923,2834,89,1735,511,268,204,92
