שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
אבו ג'ווייעד (שבט,967,1443,217,11,206,190,4,6,2,4
אבו גוש,472,3889,1844,79,1765,1290,213,90,21,113
אבו סנאן,473,7886,4732,65,4667,3172,552,261,240,369
אבו עבדון (שבט),958,106,69,0,69,67,1,1,0,0
אבו קורינאת (שבט),968,2386,660,10,650,520,14,12,3,79
אבו קרינאת (יישוב,1342,135,59,5,54,31,0,1,0,22
אבו רובייעה (שבט),966,3095,488,12,476,358,29,3,2,52
אבו רוקייק (שבט),961,3747,1021,22,999,916,14,12,5,20
אבטין,652,1533,632,14,618,542,36,7,8,20
אבטליון,1275,190,147,1,146,3,83,20,28,0
אביאל,679,493,400,0,400,1,144,97,115,2
אביבים,1115,315,200,2,198,0,6,97,8,78
אביגדור,819,568,457,1,456,1,243,70,113,9
אביחיל,175,952,725,7,718,2,327,106,236,3
אביטל,2052,376,262,1,261,0,23,151,25,17
אביעזר,1070,458,363,4,359,2,84,150,57,22
אבירים,1220,162,127,1,126,6,72,14,17,5
אבן יהודה,182,8848,6798,38,6760,16,2352,1665,2139,188
אבן מנחם,1081,265,163,1,162,0,17,64,24,44
אבן ספיר,783,468,332,3,329,1,46,209,34,16
אבן שמואל,400,477,418,4,414,0,5,281,4,70
אבני איתן,4011,354,272,0,272,0,5,185,5,12
אבני חפץ,3793,767,644,4,640,0,2,448,3,45
אבשלום,1311,170,112,2,110,0,22,68,4,4
אדורה,3759,179,144,0,144,0,29,83,16,3
אדירים,113,188,155,0,155,0,0,63,6,74
אדמית,1068,271,116,1,115,3,61,20,10,4
אדרת,1123,435,322,1,321,1,28,206,10,49
אודים,446,685,555,1,554,3,216,88,207,2
אודם,4010,94,63,0,63,0,22,16,17,0
אוהד,1046,231,163,1,162,0,45,58,32,12
אום אל-פחם,2710,28254,16032,188,15844,15150,376,27,22,124
אום אל-קוטוף,2024,570,312,2,310,245,50,4,0,4
אום בטין,1358,1058,528,7,521,435,8,11,1,57
אומן,1108,276,150,4,146,0,24,86,19,7
אומץ,680,452,343,4,339,0,159,41,123,3
אופקים,31,18364,10879,144,10735,19,955,4001,639,4435
אור הגנוז,1294,161,104,2,102,0,0,4,0,91
אור הנר,67,512,394,1,393,1,246,25,99,2
אור יהודה,2400,25851,16278,259,16019,38,2498,6178,2705,3590
אור עקיבא,1020,14128,7411,129,7282,4,689,4087,716,1161
אורה,780,770,556,2,554,2,127,199,98,54
אורות,2012,401,285,0,285,0,147,54,57,3
אורטל,4013,198,142,0,142,0,47,31,54,2
אורים,403,437,254,2,252,9,173,21,34,1
אורנית,3760,5049,3999,20,3979,3,761,1648,1263,85
אושה,278,337,232,4,228,1,145,20,45,0
אזור,565,9183,6204,68,6136,6,1455,2213,1405,671
אחווה,1157,181,144,0,144,0,64,33,32,6
אחוזם,821,350,227,2,225,2,4,142,17,48
אחוזת ברק,1330,1277,963,8,955,1,282,314,293,17
אחיהוד,785,530,406,2,404,0,20,254,11,42
אחיטוב,850,645,453,2,451,0,113,160,132,26
אחיסמך,804,811,586,3,583,0,29,186,53,300
אחיעזר,797,972,765,1,764,0,6,277,14,339
אטרש (שבט),965,1534,442,7,435,201,15,4,0,204
איבים,338,118,14,0,14,0,1,6,1,2
אייל,716,361,290,1,289,1,181,21,71,0
איילת השחר,77,832,600,4,596,2,369,86,86,5
אילון,294,757,569,2,567,5,374,80,74,3
אילות,1126,261,179,0,179,2,102,23,42,1
אילניה,49,407,279,3,276,1,94,101,51,5
אילת,2600,45466,19582,255,19327,114,4367,7615,4032,1605
איתמר,3762,453,349,0,349,0,2,214,0,13
איתן,37,304,223,1,222,0,4,86,12,105
אכסאל,478,7715,3606,46,3560,2969,266,91,49,153
אל סייד,1359,293,136,1,135,83,21,0,1,30
אל-עריאן,1316,107,78,0,78,55,22,0,0,0
אל-רום,4003,285,186,1,185,2,119,15,36,0
אלומה,1145,285,254,0,254,0,0,1,0,249
אלומות,330,239,163,2,161,0,102,11,39,1
