שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
אלון הגליל,1182,664,511,1,510,2,329,42,113,0
אלון מורה,3579,885,722,7,715,0,2,489,6,14
אלון שבות,3604,1885,1559,12,1547,0,32,1306,24,21
אלוני אבא,429,550,462,0,462,2,255,51,138,1
אלוני הבשן,4017,168,140,0,140,0,2,120,3,3
אלוני יצחק,868,115,28,0,28,1,13,9,4,0
אלונים,285,509,388,1,387,0,251,21,92,3
אלי-עד,4002,239,172,0,172,0,56,44,43,2
אליכין,41,2295,1688,12,1676,2,219,742,194,232
אליפלט,730,410,263,2,261,0,25,164,22,29
אליקים,682,521,372,2,370,0,17,166,35,36
אלישיב,204,449,349,4,345,1,57,151,53,41
אלישמע,841,757,586,3,583,1,114,223,73,87
אלמגור,1125,253,204,0,204,2,104,15,63,0
אלמוג,3556,140,104,0,104,1,64,11,20,0
אלעד,1309,16075,14367,66,14301,2,41,1322,30,11750
אלעזר,3618,1156,987,3,984,0,12,818,17,16
אלפי מנשה,3750,5300,4070,20,4050,3,837,1673,1165,103
אלקוש,603,257,146,0,146,0,15,69,17,29
אלקנה,3560,2448,2064,3,2061,0,21,1758,37,49
אמונים,772,629,452,1,451,0,90,150,123,67
אמירים,1064,485,364,2,362,11,146,46,98,11
אמנון,1253,236,151,2,149,0,46,58,23,8
אמציה,23,341,275,0,275,0,18,207,14,5
אניעם,4012,378,260,0,260,0,85,82,59,6
אסד (שבט),960,381,85,2,83,63,6,7,1,4
אספר,3754,225,173,1,172,0,1,57,0,80
אעבלין,529,7578,4487,46,4441,3614,331,207,77,167
אעצם (שבט),963,3611,1269,26,1243,1152,13,8,3,18
אפיק,4301,264,177,0,177,1,85,28,47,0
אפיקים,176,1027,701,2,699,4,508,46,104,1
אפק,313,398,285,1,284,1,182,20,63,1
אפרתה,3650,5622,4401,23,4378,4,103,3555,111,80
ארבל,701,396,272,3,269,0,91,82,75,5
ארגמן,3598,134,85,5,80,0,19,34,13,1
ארז,714,388,287,0,287,3,192,16,56,1
אריאל,3570,13997,9227,160,9067,13,601,6311,945,230
אשבול,71,266,189,1,188,0,18,53,44,57
אשדוד,70,166360,104774,1500,103274,140,11548,44644,11779,28115
אשדות יעקב  (איחו,199,547,378,1,377,0,196,51,107,0
אשדות יעקב  (מאוח,188,413,285,3,282,0,159,31,75,2
אשחר,1188,437,363,0,363,4,142,133,56,4
אשכולות,3722,322,258,2,256,0,26,174,30,5
אשל הנשיא,2021,87,56,0,56,2,20,16,7,2
אשלים,1152,295,197,0,197,0,78,47,56,4
אשקלון,7100,97100,55235,804,54431,70,6927,27890,6430,8164
אשרת,1256,347,233,1,232,0,52,113,31,3
אשתאול,740,641,500,2,498,1,63,182,52,91
באקה אל-גרביה,6000,15360,6645,144,6501,4801,1365,23,22,10
באר אורה,21,170,138,0,138,3,53,39,40,0
באר טוביה,155,610,512,5,507,0,271,53,161,1
באר יעקב,2530,9560,6882,54,6828,10,1349,2383,1800,811
באר שבע,9000,153103,86876,1265,85611,476,13274,42539,10956,11466
בארות יצחק,450,402,267,3,264,0,27,190,15,3
בארותיים,697,597,488,0,488,0,182,85,175,14
בארי,399,790,630,4,626,3,496,35,71,0
בוסתן הגליל,559,422,338,2,336,0,128,87,86,12
בועיינה-נוג'ידאת,482,5143,3502,37,3465,2832,286,17,142,94
בוקעאתא,4001,331,9,0,9,0,1,8,0,0
בורגתה,698,720,570,4,566,0,215,89,205,17
בחן,2043,445,352,1,351,0,193,39,98,0
בטחה,762,511,388,2,386,0,24,221,16,96
ביצרון,234,760,629,3,626,1,269,101,222,5
ביר אל-מכסור,998,5187,2286,39,2247,1104,784,87,230,8
ביר הדאג',1348,526,363,10,353,336,2,2,2,5
ביריה,368,552,397,3,394,0,42,183,35,100
בית אורן,317,268,171,1,170,0,82,24,48,0
בית אל,3574,3102,2658,5,2653,2,8,2054,8,93
בית אלעזרי,562,955,721,16,705,2,249,209,171,12
בית אלפא,95,617,439,4,435,4,332,19,48,4
בית אריה,3652,2811,2107,11,2096,0,255,1240,381,63
בית ג'ן,480,7364,4266,45,4221,436,1842,861,401,649
בית גוברין,619,234,181,1,180,0,129,9,34,0
בית גמליאל,571,668,537,3,534,0,21,395,24,45
בית דגן,466,4717,3445,31,3414,6,577,1449,692,329
בית הגדי,723,443,334,3,331,0,6,228,5,75
בית הלוי,373,474,389,1,388,1,156,64,138,0
בית הלל,322,498,368,0,368,2,197,45,108,2
בית העמק,572,477,316,2,314,1,219,35,34,1
בית הערבה,3645,51,46,1,45,0,13,24,6,1
בית השיטה,242,988,714,2,712,1,486,58,125,0
בית זיד,353,108,52,1,51,0,35,4,9,0
בית זית,710,1033,792,6,786,6,383,156,167,20
בית זרע,143,547,398,4,394,2,271,20,84,0
בית חורון,3575,670,584,0,584,1,18,460,23,22
בית חירות,877,554,446,1,445,3,275,24,118,1
בית חלקיה,2033,347,296,2,294,0,1,10,3,275
בית חנן,159,500,391,3,388,1,176,53,139,2
בית חנניה,800,514,403,2,401,1,182,77,120,1
בית חשמונאי,1050,1344,1051,9,1042,2,280,382,296,32
בית יהושע,288,650,517,3,514,2,222,96,169,5
בית יוסף,265,321,180,3,177,0,18,69,15,65
בית ינאי,200,309,226,0,226,4,122,14,60,0
בית יצחק-שער חפר,326,1565,1242,7,1235,4,628,168,371,6
בית לחם הגלילית,430,550,426,1,425,2,215,85,115,1
בית מאיר,751,359,269,3,266,0,1,159,8,62
בית נחמיה,784,595,437,3,434,4,131,130,129,9
בית ניר,16,349,287,1,286,5,227,6,29,1
בית נקופה,672,398,296,1,295,1,92,84,65,22
בית עובד,202,251,204,2,202,0,120,20,48,2
בית עוזיאל,301,413,289,2,287,0,50,114,50,32
בית עזרא,756,772,577,7,570,0,157,205,120,58
בית עריף,604,632,477,3,474,0,51,268,46,51
בית קמה,598,539,438,5,433,0,267,50,103,1
בית קשת,365,345,236,0,236,1,163,14,31,0
בית רבן,848,305,230,0,230,0,2,180,1,26
בית רימון,1162,243,203,0,203,0,25,158,2,4
בית שאן,9200,13249,8393,81,8312,11,608,4173,562,2436
בית שמש,2610,46313,29872,279,29593,38,1294,11012,1414,13793
בית שערים,248,452,385,1,384,1,190,77,99,1
בית שקמה,747,493,264,0,264,0,17,169,17,49
ביתן אהרן,252,136,98,1,97,0,48,7,36,0
ביתר עילית,3780,16587,14069,72,13997,3,19,291,11,12651
בלפוריה,94,328,249,0,249,0,90,72,57,6
בן זכאי,760,509,377,5,372,0,7,175,13,161
בן עמי,712,527,401,1,400,5,157,114,92,8
בן שמן (כפר נוער),1084,237,154,1,153,1,66,26,49,3
בן שמן (מושב),2013,547,430,0,430,5,171,112,114,6
בני ברק,6100,96861,75482,335,75147,39,1449,5703,1037,64058
בני דרום,592,333,280,2,278,0,19,220,20,4
בני דרור,386,1032,727,3,724,1,335,154,203,2
בני יהודה,4015,852,567,7,560,0,186,174,138,14
בני נצרים,1363,133,118,0,118,0,0,93,0,6
בני עטרות,448,560,469,1,468,0,211,77,148,3
"בני עי""ש",1066,5692,3687,86,3601,8,402,1902,496,386
בני ציון,418,757,603,2,601,2,247,97,216,6
בני ראם,588,752,608,4,604,3,15,347,28,130
בניה,685,612,516,11,505,0,209,107,162,7
בנימינה-גבעת עדה,9800,8695,6532,34,6498,27,2547,1521,1759,256
"בסמ""ה",1326,5004,2781,27,2754,2269,322,18,30,88
בסמת טבעון,944,4367,1731,46,1685,1005,275,132,101,129
בענה,483,4553,3013,28,2985,2735,44,41,64,72
בצרה,389,693,551,1,550,4,207,84,223,6
בצת,589,276,201,0,201,3,68,61,57,1
בקוע,864,416,313,3,310,0,51,132,41,46
בקעות,3612,147,111,0,111,0,27,45,32,3
בר גיורא,823,381,283,6,277,2,50,128,40,32
בר יוחאי,1191,354,263,0,263,0,1,177,4,56
ברוכין,3744,154,142,0,142,0,0,140,0,0
ברור חיל,428,622,427,1,426,5,271,44,95,0
ברוש,2060,208,162,0,162,0,58,66,10,24
ברכה,3710,883,712,6,706,0,4,560,5,7
ברכיה,746,677,543,6,537,0,3,233,15,236
ברעם,667,500,341,1,340,1,264,13,51,0
ברק,141,293,205,3,202,0,83,59,42,5
ברקאי,617,472,312,4,308,8,244,5,33,1
ברקן,3654,1086,790,3,787,2,76,531,103,5
ברקת,2038,877,724,1,723,0,10,290,5,124
בת הדר,1323,381,261,0,261,1,67,91,69,14
בת חן,1361,519,402,4,398,0,204,64,98,6
בת חפר,1319,3428,2626,15,2611,5,881,514,999,54
בת ים,6200,124406,65031,1071,63960,139,11523,28060,11183,8168
בת עין,3794,635,464,4,460,0,4,207,2,60
בת שלמה,33,373,293,4,289,9,130,67,54,8
ג'דיידה-מכר,1292,11783,6384,60,6324,5709,175,146,143,59
ג'ולס,485,4008,2532,38,2494,95,773,706,531,361
ג'לג'וליה,627,5011,3552,34,3518,2513,871,18,9,71
ג'נאביב (שבט),976,293,114,4,110,77,28,1,0,0
ג'סר א-זרקא,541,7308,2993,17,2976,2181,421,33,71,216
ג'ש (גוש חלב),487,2208,981,23,958,543,209,101,33,50
ג'ת,628,6554,2549,66,2483,2157,191,8,70,12
גאולי תימן,872,280,191,2,189,1,31,104,23,13
גאולים,379,645,450,5,445,0,140,131,94,36
גאליה,853,794,626,2,624,1,206,146,231,4
גבולות,352,266,161,0,161,2,122,11,15,2
גבים,424,320,239,1,238,1,168,18,38,0
גבע,86,502,379,2,377,3,299,10,50,0
גבע בנימין,3763,2493,1805,16,1789,0,97,934,137,357
גבע כרמל,683,644,488,2,486,0,198,97,137,26
גבעולים,2014,234,173,2,171,0,5,94,25,37
גבעון החדשה,3644,966,710,11,699,2,102,349,151,29
גבעות בר,1344,192,163,0,163,1,55,49,45,3
גבעת אבני,1293,1565,1119,2,1117,0,262,421,213,63
גבעת אלה,1288,1451,1103,3,1100,1,599,130,326,5
גבעת ברנר,147,1758,1333,8,1325,4,807,151,279,9
גבעת השלושה,870,437,337,1,336,0,199,31,82,3
גבעת זאב,3730,9282,6931,38,6893,3,567,3139,851,1645
"גבעת ח""ן",207,310,262,1,261,1,142,24,78,2
גבעת חיים (איחוד),2018,870,657,1,656,3,517,12,110,1
גבעת חיים (מאוחד),173,872,676,1,675,5,476,36,121,6
גבעת יואב,4021,407,302,3,299,1,101,95,65,1
גבעת יערים,787,832,620,7,613,5,162,261,85,34
גבעת ישעיהו,919,406,305,0,305,3,149,63,54,12
"גבעת כ""ח",802,523,375,4,371,0,48,167,74,41
"גבעת ניל""י",360,379,300,2,298,3,88,127,59,5
גבעת עוז,703,407,270,0,270,0,187,29,36,4
גבעת שמואל,681,15870,12346,49,12297,20,2064,6404,2072,830
גבעת שפירא,1077,184,147,0,147,0,64,16,66,0
גבעתי,793,584,395,2,393,1,78,158,77,59
גבעתיים,6300,45344,32477,233,32244,157,13408,7352,8874,750
גברעם,342,293,217,0,217,0,112,34,57,3
גבת,133,623,505,2,503,1,341,24,115,0
גדות,35,352,228,0,228,3,166,14,39,0
גדיש,145,252,171,1,170,0,26,88,12,38
גדעונה,442,206,139,0,139,0,22,71,19,15
גדרה,2550,14613,10752,90,10662,20,2652,4043,2348,658
גונן,852,341,230,1,229,0,156,23,32,3
גורן,755,352,250,1,249,0,21,96,22,102
גורנות הגליל,1219,153,80,2,78,0,23,18,17,11
גזית,457,579,437,3,434,6,345,13,63,0
גזר,370,349,176,0,176,6,108,19,31,2
גיאה,706,529,401,2,399,0,145,107,116,7
גיבתון,196,228,188,1,187,0,109,26,41,1
גיזו,1043,126,103,0,103,0,40,37,17,5
גילון,1204,795,629,0,629,1,284,109,203,2
גילת,736,788,536,2,534,0,82,282,77,61
גינוסר,262,484,329,2,327,0,192,43,80,1
גיניגר,92,495,363,2,361,4,232,38,63,0
גינתון,863,595,471,7,464,3,172,95,159,9
גיתה,1206,184,137,1,136,5,36,44,21,0
גיתית,3613,167,122,0,122,0,13,93,5,0
גלאון,393,388,264,2,262,2,202,14,26,0
גלגל,3606,122,70,0,70,0,23,26,18,0
גליל ים,346,309,246,0,246,4,146,18,63,2
גלעד (אבן יצחק),369,348,243,0,243,0,178,18,42,0
גמזו,745,606,497,2,495,1,12,343,21,57
גן הדרום,1072,300,240,1,239,0,68,100,65,1
גן השומרון,225,568,442,0,442,2,198,69,145,3
גן חיים,239,527,430,2,428,1,218,42,143,3
גן יאשיה,734,566,462,3,459,1,223,60,153,2
גן יבנה,166,13361,9830,73,9757,7,2191,3790,2185,943
גן נר,1274,1731,1204,5,1199,2,395,445,268,32
גן שורק,311,252,192,1,191,2,66,48,61,2
גן שלמה,144,370,283,0,283,1,188,9,75,2
גן שמואל,72,837,638,1,637,3,537,13,60,0
גנות,836,364,295,6,289,1,90,80,100,7
גנות הדר,549,575,455,0,455,0,133,110,176,7
גני הדר,1103,213,159,1,158,1,81,15,46,4
גני יוחנן,862,506,387,1,386,0,131,95,122,18
גני עם,218,204,180,0,180,1,91,27,56,2
גני תקווה,229,10748,8220,50,8170,14,2239,2204,2200,1021
געש,842,563,421,7,414,7,312,10,72,0
געתון,463,456,313,0,313,10,245,17,26,1
גפן,39,249,182,1,181,0,8,105,6,46
גרופית,1129,304,191,1,190,3,122,17,36,0
גשור,4022,180,126,0,126,0,61,26,27,1
גשר,305,440,295,2,293,1,205,29,44,1
גשר הזיו,574,1037,759,3,756,11,335,171,199,6
גת (קיבוץ),340,447,317,3,314,0,221,19,56,0
גת רימון,128,192,141,1,140,0,59,21,47,5
דאלית אל-כרמל,494,11066,6405,75,6330,377,1187,832,3432,355
דבורה,146,228,164,0,164,0,73,35,40,5
דבוריה,489,5754,3345,18,3327,2899,228,15,44,122
דבירה,849,443,358,0,358,0,248,27,64,0
דברת,407,248,182,3,179,1,112,18,37,4
דגניה א',62,535,362,4,358,2,237,31,68,2
דגניה ב',79,502,377,2,375,0,252,35,58,3
"דוב""ב",1067,347,205,0,205,0,8,111,34,46
דולב,3747,696,586,1,585,0,6,496,3,10
דור,738,267,196,1,195,1,67,47,67,0
דורות,336,500,365,4,361,5,223,10,103,1
דחי,475,388,151,0,151,94,42,2,0,10
דייר אל-אסד,490,6674,4873,75,4798,3383,225,143,828,169
דייר חנא,492,6048,5001,15,4986,4313,244,102,181,84
דימונה,2200,26763,14190,309,13881,36,1344,6342,2128,2809
דישון,2063,308,198,2,196,0,23,115,24,24
דליה,300,670,492,4,488,3,376,12,71,1
דלתון,431,557,345,6,339,1,2,232,4,86
דמיידה,1317,254,132,6,126,118,2,1,2,0
דן,303,460,337,4,333,2,242,12,54,0
דפנה,302,550,436,0,436,2,280,39,93,1
דקל,1241,260,168,0,168,0,52,56,43,3
דריג'את,1349,343,211,3,208,134,49,4,3,9
האון,702,167,106,1,105,0,57,15,14,5
הבונים,675,279,202,1,201,0,119,23,54,0
הגושרים,356,544,392,3,389,0,222,46,83,3
הדר עם,191,426,356,1,355,1,164,42,134,3
הוד השרון,9700,37040,27785,164,27621,75,9534,6534,8875,1074
הודיה,726,485,278,5,273,0,54,145,31,28
הוואשלה (שבט),1169,1148,456,9,447,416,7,6,1,8
הוזייל (שבט),956,879,194,3,191,162,13,5,1,3
הושעיה,1186,1126,924,0,924,1,105,662,66,13
הזורע,250,850,574,4,570,2,451,16,61,2
הזורעים,307,452,355,2,353,0,9,284,4,16
החותרים,434,481,373,2,371,0,216,23,94,1
היוגב,684,523,414,0,414,1,223,50,110,0
הילה,1208,422,314,2,312,3,185,29,60,2
המעפיל,377,566,444,1,443,1,314,20,91,2
הסוללים,677,591,434,1,433,3,236,68,91,4
העוגן,423,585,426,2,424,5,287,21,80,4
הר אדר,3769,2542,2015,9,2006,14,793,441,633,22
הר גילה,3603,577,501,2,499,3,120,221,70,37
הר עמשא,1261,109,81,0,81,0,19,34,5,1
הראל,464,185,91,0,91,3,60,4,21,0
הרדוף,1249,317,257,1,256,15,190,4,26,0
הרצליה,6400,76413,51346,388,50958,153,16354,13982,14748,2497
הררית,1203,236,164,1,163,4,94,25,13,0
ורד יריחו,3639,171,142,3,139,1,25,76,14,8
ורדון,1133,191,136,3,133,2,29,43,28,21
זבדיאל,815,381,302,5,297,0,11,122,3,89
זוהר,44,268,187,2,185,0,9,80,25,61
זיקים,584,550,356,3,353,3,239,38,60,0
זיתן,788,753,579,4,575,0,81,260,76,112
זכרון יעקב,9300,14218,10615,66,10549,29,3466,2596,2657,1197
זכריה,799,629,469,2,467,0,41,264,71,68
זמר,1290,3814,2119,34,2085,1768,224,30,3,36
זמרת,1065,240,190,3,187,0,2,96,0,83
זנוח,816,348,234,2,232,0,9,147,18,41
זרועה,2064,219,136,2,134,0,6,89,3,33
זרזיר,975,4308,2100,58,2042,829,541,155,332,138
זרחיה,818,418,321,0,321,0,4,167,11,116
ח'ואלד,1321,232,102,3,99,71,10,5,4,9
ח'ואלד (שבט),986,151,53,0,53,35,1,8,2,4
חבצלת השרון,235,343,230,1,229,1,87,45,59,8
חבר,1110,220,145,1,144,0,43,52,24,10
חברון,3400,281,247,0,247,0,6,102,3,5
חגור,717,661,519,4,515,4,168,133,162,17
חגי,3764,254,214,0,214,0,0,170,0,3
חגלה,205,434,358,1,357,2,195,35,110,0
חד-נס,4026,520,355,0,355,1,94,134,100,3
חדיד,618,529,395,0,395,0,44,208,33,54
חדרה,6500,67742,39118,540,38578,104,7583,16373,7092,4175
חולדה,160,335,247,2,245,3,129,35,62,1
חולון,6600,153529,94284,1036,93248,141,21166,34573,20745,10853
חולית,1239,106,66,1,65,0,40,16,5,0
חולתה,253,371,273,1,272,0,193,13,37,4
חוסן,662,589,413,0,413,0,84,199,53,52
חוסנייה,1332,400,223,2,221,180,10,3,2,23
חופית,115,695,533,2,531,4,292,65,141,3
חוקוק,374,381,249,0,249,8,160,29,27,0
חורה,1303,5335,2021,38,1983,1497,364,38,10,24
חורפיש,496,3845,2091,24,2067,93,308,775,483,300
חורשים,355,264,171,0,171,1,115,14,33,2
חזון,1047,287,210,0,210,0,5,125,10,61
חיבת ציון,219,415,339,1,338,1,126,96,69,2
חיננית,3643,558,458,1,457,1,12,385,13,5
חיפה,4000,240749,141085,1722,139363,9964,38848,45300,27701,8986
חירות,162,839,704,0,704,4,409,49,213,0
חלוץ,1272,287,197,1,196,2,118,17,45,0
חלמיש,3573,722,574,2,572,0,1,469,4,17
חלץ,820,352,224,2,222,0,29,106,10,55
חמאם,993,941,370,6,364,130,56,7,19,148
חמד,801,492,422,3,419,0,17,270,36,48
חמדיה,343,305,219,2,217,2,116,35,45,2
חמרה,3609,125,80,0,80,0,27,32,11,0
חניאל,807,626,456,3,453,1,207,71,139,1
חניתה,280,648,412,3,409,2,292,35,58,2
חנתון,1257,357,277,0,277,3,145,53,63,0
חספין,4005,643,527,0,527,0,6,456,3,14
חפץ חיים,363,372,314,0,314,0,4,247,5,24
חפצי-בה,90,408,296,1,295,1,230,19,38,0
חצב,700,761,541,6,535,1,95,215,141,48
חצבה,13,461,349,4,345,0,150,69,105,2
חצור הגלילית,2034,6799,4471,53,4418,3,354,2023,356,1394
חצור-אשדוד,406,597,422,4,418,5,345,17,40,1
חצרים,397,769,559,0,559,0,425,22,88,1
חרב לאת,422,474,379,2,377,0,143,83,117,3
חרוצים,1024,552,400,4,396,0,134,128,73,15
חריש,1247,578,403,4,399,3,52,167,35,81
חרמש,3717,170,103,2,101,0,14,53,15,0
חרשים,1209,177,129,1,128,8,97,3,9,2
חשמונאים,3770,1987,1638,8,1630,1,28,1196,26,155
טבריה,6700,33054,17896,191,17705,26,1774,8048,1851,4701
טובא-זנגריה,962,3662,1211,40,1171,691,218,14,26,174
טורעאן,498,7641,4539,58,4481,3919,140,132,57,75
טייבה,2730,23064,13950,167,13783,12927,565,41,18,153
טייבה (בעמק),497,962,625,20,605,286,226,4,3,81
טירה,2720,15168,8924,165,8759,7858,513,35,170,105
טירת יהודה,663,664,537,3,534,1,19,380,28,62
טירת כרמל,2100,15839,9734,153,9581,12,1264,4612,1332,1697
טירת צבי,268,532,420,2,418,0,46,304,35,3
טל שחר,462,636,492,1,491,3,257,85,116,9
טל-אל,1181,687,553,4,549,1,187,173,140,5
טללים,1177,109,82,1,81,0,41,18,17,0
טלמון,3788,1298,1157,4,1153,1,3,897,1,20
טמרה,8900,18512,13021,93,12928,11847,289,152,271,279
טמרה (יזרעאל),547,837,422,12,410,256,147,5,1,0
טנא,3743,434,319,3,316,0,54,165,49,14
טפחות,1214,224,183,0,183,0,2,154,3,15
יאנוח-ג'ת,1295,3748,2173,9,2164,94,368,1076,344,268
יבול,1232,258,199,1,198,0,49,74,25,9
יבנאל,46,2241,1635,10,1625,4,165,365,236,738
יבנה,2660,26195,17783,184,17599,9,3280,6947,3165,3019
יגור,96,1276,890,4,886,2,615,60,165,0
יגל,798,546,391,4,387,0,67,171,54,73
יד בנימין,577,1632,1433,5,1428,0,3,886,11,302
יד חנה,758,409,332,0,332,5,136,93,72,3
יד מרדכי,358,644,450,1,449,3,311,27,92,3
יד נתן,775,356,255,1,254,0,102,50,75,7
"יד רמב""ם",64,749,547,5,542,1,65,280,52,115
יהוד-מונוסון,9400,21444,15687,131,15556,22,4034,5179,4250,967
יהל,1158,217,108,0,108,0,59,14,27,1
יובל,2009,382,283,0,283,0,90,103,51,19
יובלים,1226,924,723,0,723,3,482,66,147,0
יודפת,1112,427,338,4,334,6,226,15,55,1
יונתן,4007,266,211,0,211,0,9,173,10,2
יושיביה,803,235,193,0,193,0,5,59,10,109
יזרעאל,452,575,333,2,331,2,256,10,49,0
יחיעם,409,386,279,0,279,1,218,14,25,0
יטבתה,866,620,400,3,397,3,318,19,44,1
"ייט""ב",3607,152,120,0,120,0,1,100,0,2
יכיני,811,410,320,2,318,0,18,169,72,39
ינוב,753,569,420,3,417,1,97,143,118,28
ינון,2011,721,499,5,494,2,67,253,50,50
יסוד המעלה,29,1087,800,3,797,2,302,201,226,14
יסודות,440,294,274,0,274,0,0,19,1,250
יסעור,575,389,280,0,280,1,194,27,43,2
יעד,1138,451,359,0,359,9,247,19,68,1
יעף,1044,125,112,0,112,0,40,29,29,0
יערה,795,451,333,5,328,2,41,103,24,151
יפיע,499,10933,6078,82,5996,5022,469,279,109,59
יפית,3566,128,65,0,65,0,13,32,8,3
יפעת,134,680,512,1,511,0,351,32,94,5
יפתח,453,531,326,5,321,2,226,21,56,0
יצהר,3749,500,391,1,390,0,0,86,0,21
יציץ,759,498,322,3,319,1,36,187,37,43
יקום,417,505,410,2,408,2,329,11,46,0
יקיר,3647,873,770,2,768,0,6,633,7,18
יקנעם (מושבה),241,952,743,4,739,0,387,87,226,7
יקנעם עילית,240,14599,9986,137,9849,11,1981,4417,2113,579
יראון,623,374,220,5,215,0,158,16,25,0
ירדנה,2026,273,164,1,163,0,28,79,24,29
ירוחם,831,6345,3824,71,3753,35,487,1521,269,1073
ירושלים,3000,373238,243038,1899,241139,2548,31618,78090,19216,91144
ירחיב,718,620,441,6,435,0,74,226,67,29
ירכא,502,8766,6117,235,5882,2515,342,1357,159,1469
ירקונה,183,280,214,0,214,0,110,39,56,1
ישע,916,240,170,1,169,0,60,54,38,2
ישעי,805,477,376,2,374,0,5,199,12,101
ישרש,828,628,449,5,444,0,103,216,77,25
יתד,1227,272,187,0,187,0,27,111,23,8
כאבול,504,6591,5066,40,5026,4765,30,18,15,75
כאוכב אבו אל-היג',505,2119,1411,9,1402,1367,8,5,4,4
כברי,576,772,580,4,576,8,436,41,70,0
כדיתה,1338,93,50,0,50,0,9,4,1,13
כוכב השחר,3564,932,810,1,809,0,1,652,2,18
כוכב יאיר,1224,7668,5995,19,5976,4,2177,1754,1685,44
כוכב יעקב,3779,3032,2467,11,2456,1,10,705,4,1321
