שם ישוב,סמל ישוב,ב ז ב,מצביעים ,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
באר טוביה,155,533,468,3,465,1,357,23,61,4
באר יעקב,2530,4250,3238,56,3182,9,857,914,465,808
באר שבע,9000,123297,87626,2282,85344,346,18380,20566,18990,20836
בארות יצחק,450,369,271,2,269,0,80,143,23,5
בארותיים,697,346,273,4,269,1,138,53,52,9
בארי,399,624,528,2,526,2,491,5,11,1
בוסתן הגליל,559,330,264,3,261,1,172,38,31,6
בועיינה-נוג'ידאת,482,3133,2338,74,2264,1024,896,67,77,184
בוקעאתא,4001,279,54,0,54,0,12,20,13,8
בורגתה,698,500,403,9,394,1,252,49,58,10
בחן,2043,276,207,1,206,0,151,13,23,0
בטחה,762,428,355,6,349,0,21,160,21,140
ביצרון,234,478,415,6,409,2,278,50,56,7
ביר אל-מכסור,998,3326,2298,69,2229,1138,566,161,167,145
ביריה,368,384,326,6,320,0,50,116,35,106
בית אורן,317,231,149,1,148,3,99,13,20,1
בית אל,3574,1787,1637,3,1634,0,5,1465,13,145
בית אלעזרי,562,557,442,2,440,1,210,108,74,18
בית אלפא,95,577,457,4,453,0,421,1,20,0
בית אריה,3652,1406,1201,6,1195,1,215,640,241,40
בית ג'ן,480,4942,4064,63,4001,780,1508,704,621,288
בית גוברין,619,173,136,1,135,1,110,0,21,0
בית גמליאל,571,397,343,4,339,0,28,273,8,23
בית דגן,466,2764,2366,28,2338,4,408,802,276,763
בית הגדי,723,332,268,5,263,0,3,103,6,141
בית הלוי,373,302,243,2,241,1,170,19,33,2
בית הלל,322,341,283,1,282,1,179,16,71,1
בית העמק,572,392,291,3,288,3,234,6,34,0
בית השיטה,242,915,715,5,710,1,628,28,30,4
בית זית,710,708,563,6,557,5,314,95,103,19
בית זרע,143,577,440,5,435,1,392,2,27,2
בית חורון,3575,358,314,2,312,0,11,243,14,37
בית חלקיה,2033,270,246,2,244,1,2,46,2,191
בית חנן,159,411,340,3,337,0,257,27,41,5
בית חנניה,800,287,254,5,249,1,163,32,38,0
בית חרות,877,353,304,1,303,1,249,12,32,1
בית חשמונאי,1050,428,339,3,336,1,104,126,59,29
בית יהושע,288,349,288,5,283,1,143,61,58,5
בית יוסף,265,263,224,5,219,0,20,51,23,123
בית ינאי,200,264,199,5,194,4,142,4,28,3
בית יצחק-שער חפר,326,1238,1024,4,1020,0,742,113,131,6
בית לחם הגלילית,430,347,291,1,290,0,202,34,33,1
בית מאיר,751,293,241,2,239,0,10,168,5,48
בית נחמיה,784,354,314,1,313,3,109,92,64,26
בית ניר,16,200,153,1,152,3,139,0,6,0
בית נקופה,672,255,201,6,195,3,80,70,21,18
בית עובד,202,235,205,2,203,0,156,21,18,0
בית עוזיאל,301,261,198,2,196,0,40,65,19,68
בית עזרא,756,498,428,9,419,0,190,125,47,39
בית עריף,604,423,368,4,364,0,22,128,93,111
בית קמה,598,279,191,2,189,2,165,3,12,1
בית קשת,365,265,211,5,206,2,176,5,13,0
בית רבן,848,100,85,0,85,0,2,52,3,28
בית שאן,9200,10742,8357,174,8183,20,1115,2404,698,3642
בית שמש,2610,19486,15438,282,15156,25,1855,5145,2297,5278
בית שערים,248,403,311,1,310,1,218,33,45,1
בית שקמה,747,368,292,2,290,0,28,108,15,128
"בית""ר עילית",3780,4650,4267,32,4235,1,6,259,9,3953
ביתן אהרן,252,298,241,3,238,0,145,42,36,5
בלפוריה,94,213,188,4,184,0,106,26,40,1
בן זכאי,760,368,309,3,306,0,11,136,9,147
בן עמי,712,290,253,3,250,1,149,41,39,3
בן שמן-כפר הנוער,1084,280,205,3,202,2,135,29,25,5
בן שמן-מושב,2013,326,260,0,260,1,166,39,36,3
בני ברק,6100,75340,60913,827,60086,65,3554,9938,2858,42442
בני דרום,592,224,199,0,199,0,28,149,14,5
בני דרור,386,248,224,3,221,0,142,22,49,0
בני יהודה,4015,630,507,3,504,0,212,103,148,11
בני עטרות,448,301,264,5,259,0,189,40,21,2
"בני עי""ש",1066,4378,3514,78,3436,3,429,905,1313,554
בני עצמון,5425,283,259,0,259,0,3,178,0,78
בני ציון,418,421,341,6,335,0,187,64,58,14
בני ראם,588,444,377,2,375,4,6,156,20,187
בניה,685,355,321,4,317,0,180,57,48,18
בנימינה,9800,3528,2876,41,2835,8,1069,810,478,308
"בסמ""ה",1326,3034,2590,99,2491,1657,326,20,34,428
בסמת טבעון,944,2951,1963,42,1921,1148,504,30,49,141
בענה,483,3078,2541,63,2478,1685,240,168,95,245
בצרה,389,394,322,3,319,1,196,53,41,14
בצת,589,235,198,6,192,2,108,50,20,2
בקוע,864,353,302,7,295,0,45,88,29,124
בקעות,3612,119,99,0,99,1,35,26,26,1
בר גיורא,823,223,176,3,173,2,34,69,17,50
ברור חיל,428,486,350,7,343,3,288,11,25,5
