שם ישוב,סמל ישוב,ב ז ב,מצביעים ,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
כפר אחים,690,253,209,3,206,0,110,59,25,6
כפר ביאליק,220,358,286,4,282,0,189,30,45,3
"כפר ביל""ו",177,575,488,3,485,1,357,33,66,9
כפר בלום,357,560,403,6,397,0,333,17,26,3
כפר בן נון,2010,265,217,3,214,1,104,50,43,5
כפר ברא,633,942,719,24,695,448,140,4,38,14
כפר ברוך,132,203,172,1,171,0,104,35,23,1
כפר גדעון,106,115,95,2,93,0,8,19,5,54
כפר גלים,427,87,58,0,58,0,35,7,13,1
כפר גליקסון,310,257,210,4,206,1,168,9,21,0
כפר גלעדי,76,623,472,3,469,3,394,12,37,2
כפר דניאל,707,181,124,1,123,1,90,4,19,2
כפר דרום,5405,88,85,0,85,0,21,62,0,2
כפר החורש,192,327,274,3,271,1,238,7,21,0
כפר המכבי,254,273,204,1,203,0,175,5,20,0
כפר הנגיד,582,494,427,1,426,2,238,75,78,3
כפר הנוער הדתי,890,75,42,0,42,0,0,36,0,6
כפר הנשיא,443,556,374,5,369,1,304,13,27,0
כפר הס,187,496,431,2,429,1,329,27,56,1
"כפר הרא""ה",217,521,444,4,440,0,29,358,19,29
"כפר הרי""ף",888,273,227,4,223,0,93,43,72,4
כפר ויתקין,190,786,652,3,649,2,510,32,73,5
כפר ורבורג,320,502,429,10,419,0,277,60,59,2
כפר ורדים,1263,2463,2127,7,2120,4,1306,240,413,51
כפר זיתים,786,283,224,4,220,0,22,87,30,75
"כפר חב""ד",696,1982,1430,20,1410,0,10,1002,6,387
כפר חיטים,255,225,170,5,165,2,117,15,21,2
כפר חיים,193,369,314,3,311,1,245,23,31,2
כפר חסידים א',112,383,303,4,299,1,76,147,38,30
כפר חסידים ב',889,116,90,0,90,0,12,47,19,7
כפר חרוב,4004,183,127,0,127,1,75,13,31,0
כפר טרומן,673,316,293,4,289,1,147,63,41,16
כפר יאסיף,507,4874,3957,75,3882,3158,433,51,88,93
כפר יהושע,140,496,439,6,433,4,330,34,41,2
כפר יונה,168,5631,4545,80,4465,4,1280,1378,798,798
כפר יחזקאל,85,393,334,2,332,0,242,26,40,0
כפר יעבץ,170,359,286,2,284,0,33,151,15,80
כפר כמא,508,1612,1029,48,981,152,505,22,199,36
כפר כנא,509,7507,5700,214,5486,4748,344,107,77,143
כפר מונש,387,401,341,2,339,0,231,44,47,1
כפר מימון,1095,391,358,0,358,0,13,309,8,22
"כפר מל""ל",98,237,205,8,197,1,121,31,34,2
כפר מנדא,510,5903,4874,161,4713,2317,736,34,307,1215
כפר מנחם,274,544,468,6,462,14,428,4,7,0
כפר מסריק,297,541,414,5,409,3,381,8,11,0
כפר מצר,512,915,607,12,595,264,157,3,57,99
כפר מרדכי,764,297,248,4,244,0,179,22,30,0
כפר נטר,316,366,306,4,302,0,195,42,45,1
כפר סבא,6900,56242,44830,696,44134,122,19349,10102,8099,4467
כפר סולד,345,435,353,1,352,1,317,3,17,2
כפר סילבר,107,104,58,1,57,0,28,9,16,0
כפר סירקין,249,658,559,3,556,2,365,65,81,13
כפר עזה,845,447,377,2,375,3,325,8,29,0
כפר עציון,3488,285,218,0,218,1,35,155,8,11
כפר פינס,189,279,241,0,241,0,10,207,6,11
כפר קאסם,634,7234,5889,115,5774,4779,767,21,53,92
כפר קיש,388,235,174,3,171,0,109,9,40,1
כפר קרע,654,6800,5712,74,5638,4352,721,100,265,139
כפר ראש הנקרה,579,462,370,2,368,2,309,15,23,1
כפר רוזנואלד,1130,191,157,2,155,0,49,37,14,49
כפר רופין,295,350,275,1,274,2,224,8,27,2
כפר רות,1166,130,121,2,119,0,54,24,26,11
כפר שמאי,605,187,149,1,148,0,6,59,8,68
כפר שמואל,743,276,227,0,227,0,127,48,37,5
כפר שמריהו,267,1480,1098,9,1089,8,704,111,232,7
כפר תבור,47,1392,1123,7,1116,3,630,221,189,30
כפר תפוח,3572,221,171,3,168,0,0,95,3,66
כרכום,1285,282,241,0,241,2,115,38,61,15
כרם בן זמרה,664,252,207,5,202,0,33,86,27,50
כרם יבנה,1094,141,118,0,118,0,0,92,0,25
"כרם מהר""ל",580,283,219,4,215,5,119,51,25,7
כרמי יוסף,1264,1172,1006,4,1002,1,626,124,198,14
כרמי צור,3766,146,135,3,132,0,1,121,0,10
כרמיאל,1139,30826,22590,599,21991,81,7205,5490,6092,1690
כרמיה,768,223,164,1,163,1,145,6,6,0
כרמל,3656,183,171,0,171,0,1,148,0,21
לביא,585,416,333,3,330,0,46,250,21,5
לבנים,1230,188,157,0,157,0,58,35,36,18
להב,2023,477,386,6,380,0,295,31,30,13
להבות הבשן,380,374,285,2,283,2,259,3,8,1
להבות חביבה,715,266,192,2,190,1,159,5,19,1
להבים,1271,2233,1877,14,1863,2,1035,258,419,59
לוד,7000,45336,32798,946,31852,3039,5889,8782,5561,7026
לוזית,52,216,178,6,172,0,34,18,1,119
לוחמי הגיטאות,595,366,312,0,312,1,274,5,18,1
לוטם,1171,161,134,0,134,1,94,5,22,1
לוטן,1255,126,84,0,84,4,67,2,7,1
לי-און,1114,323,298,2,296,2,171,50,39,18
לימן,674,300,233,4,229,0,111,43,54,7
לכיש,24,326,282,1,281,3,228,16,28,1
לפיד,1310,949,861,5,856,1,382,192,216,30
לפידות,1173,91,71,1,70,0,30,16,8,14
לקיה,1060,1741,1324,52,1272,1060,57,17,3,76
מאור,2055,361,305,2,303,0,92,83,69,44
מאיר שפיה,102,91,51,0,51,0,25,8,14,1
מבוא ביתר,771,207,148,2,146,1,27,54,51,5
מבוא דותן,3569,184,150,1,149,0,17,97,15,13
מבוא חורון,3709,238,209,0,209,0,0,143,1,63
מבוא חמה,4204,278,200,0,200,1,130,7,53,0
מבוא מודיעים,1141,123,84,0,84,0,3,43,2,30
מבועים,1080,393,349,0,349,1,114,95,62,56
מבטחים,829,294,204,3,201,0,79,42,6,69
מבקיעים,573,125,114,4,110,0,51,27,17,4
מבשרת ציון,1015,12626,10151,101,10050,48,3700,2726,1732,1514
מג'ד אל-כרום,516,5611,4846,106,4740,3932,287,81,31,234
מג'דל שמס,4201,228,58,5,53,0,14,16,7,15
מגאר,481,8753,5702,160,5542,2627,1495,420,435,423
מגדים,689,441,363,4,359,0,112,101,65,66
מגדל,65,853,640,5,635,4,82,224,116,194
מגדל העמק,874,17096,12678,305,12373,27,2623,3439,2621,2946
מגדל עוז,3561,159,126,0,126,0,10,101,1,13
מגדלים,3751,73,63,3,60,0,9,36,9,1
מגידו,586,297,250,5,245,0,210,13,7,9
מגל,375,358,300,1,299,2,255,11,21,1
מגן,695,332,246,1,245,1,224,1,17,0
מגן שאול,1155,202,163,3,160,0,33,60,29,31
מגשימים,722,421,347,1,346,0,169,76,83,3
מדרך עוז,2029,359,301,1,300,0,44,95,30,129
מדרשת בן גוריון,1140,358,286,0,286,3,207,17,47,3
מודיעין,1200,9634,8506,52,8454,19,3325,2166,2062,549
מודיעין עילית,3797,4236,3953,20,3933,1,3,90,0,3838
מולדת,269,410,344,3,341,1,250,24,58,0
מוצא עילית,208,654,511,1,510,6,316,51,121,3
מוקייבלה,635,1211,961,29,932,754,49,3,19,94
מורשת,1178,225,203,0,203,0,10,166,3,23
מזור,606,479,402,2,400,0,216,58,107,2
מזכרת בתיה,28,4088,3432,34,3398,7,1414,749,660,422
מזרע,104,670,514,5,509,1,469,4,21,0
מזרעה,517,1735,1525,26,1499,821,410,91,32,122
מחולה,3599,197,171,0,171,0,14,136,3,13
מחניים,308,337,265,0,265,1,225,6,24,0
מחסיה,776,206,179,3,176,0,9,85,3,75
מטולה,43,958,772,5,767,5,376,170,141,26
מטע,822,242,184,3,181,3,64,55,25,28
מי עמי,1128,130,106,0,106,0,74,6,20,0
מיטב,2054,291,237,2,235,0,23,152,36,18
מייסר,649,733,495,24,471,394,42,1,18,0
מירב,1282,94,83,1,82,0,14,59,3,4
מירון,607,438,366,3,363,0,10,196,3,153
מישר,731,292,236,1,235,1,133,47,46,2
מיתר,1268,3439,2871,18,2853,6,1305,756,476,163
מכבים-רעות,1273,5720,4674,17,4657,4,2777,618,1070,90
מכורה,3614,113,76,0,76,0,30,19,15,2
מכמורת,382,846,615,1,614,4,417,69,79,8
מכמנים,1202,110,99,2,97,0,57,8,14,1
מלאה,164,211,190,6,184,0,28,65,7,74
מלילות,2044,208,175,1,174,0,8,87,8,70
מלכיה,596,385,271,4,267,1,211,16,26,1
מנוחה,2030,275,226,8,218,1,14,102,33,66
מנוף,1174,296,231,3,228,2,168,19,32,0
מנות,1205,141,116,0,116,0,40,37,15,16
מנחמיה,48,908,724,5,719,1,224,235,93,130
מנרה,347,236,183,1,182,3,157,2,11,0
מנשית זבדה,994,363,320,12,308,178,82,2,39,0
מסד,1258,203,168,1,167,1,94,20,37,0
מסדה,263,246,210,2,208,1,169,6,15,3
מסילות,298,490,352,2,350,1,318,2,16,1
מסילת-ציון,742,288,255,2,253,0,102,56,39,51
מסלול,748,202,173,2,171,0,84,46,10,22
מסעודין אל-עזאזמה,939,2977,1744,82,1662,1491,32,11,4,32
מעברות,197,623,490,0,490,4,440,3,25,1
מעגלים,1082,372,333,5,328,1,14,166,5,137
מעגן,678,262,203,2,201,0,167,15,13,0
מעגן מיכאל,694,1086,844,4,840,6,679,71,25,1
מעוז חיים,272,452,374,3,371,1,331,9,19,0
מעונה,570,310,254,2,252,0,86,63,33,53
מעטפות חיצוניות,0,144344,144344,2318,142026,1715,51668,38950,24076,15458
מעין ברוך,416,313,239,1,238,0,197,5,26,0
מעין צבי,290,533,394,5,389,3,338,6,28,1
מעלה אדומים,3616,13740,11406,102,11304,16,1399,5608,2050,1772
מעלה אפרים,3608,1031,773,15,758,0,157,232,192,86
מעלה גלבוע,1127,121,94,0,94,0,33,52,6,3
מעלה גמלא,4008,183,141,0,141,1,70,9,61,0
מעלה החמישה,286,379,241,7,234,3,203,6,16,0
מעלה לבונה,3752,243,202,2,200,0,4,130,1,62
מעלה מכמש,3651,324,291,3,288,0,1,235,2,47
מעלה עירון,1327,5202,3881,129,3752,2693,481,21,64,443
מעלה עמוס,3653,148,126,2,124,0,1,15,0,108
מעלה שומרון,3637,341,284,4,280,0,16,203,25,21
מעלות-תרשיחא,1063,13152,10294,288,10006,1630,1539,2647,2258,1435
מעליא,518,1775,1607,45,1562,1044,308,43,108,50
מענית,344,396,341,3,338,0,316,7,10,0
מעש,230,557,467,4,463,0,271,86,70,11
מפלסים,668,323,237,1,236,1,189,13,19,0
מצדות יהודה,3745,148,128,0,128,0,1,114,2,9
מצובה,325,425,318,4,314,0,273,2,30,0
מצליח,757,580,494,10,484,2,153,137,59,98
מצפה,58,104,86,1,85,0,42,22,16,1
"מצפה אבי""ב",1222,233,211,0,211,3,145,20,35,2
מצפה יריחו,3576,419,377,1,376,0,3,290,3,75
מצפה נטופה,1190,216,187,1,186,0,40,129,6,4
מצפה רמון,99,3345,2376,70,2306,21,566,931,302,298
מצפה שלם,3610,122,107,0,107,2,58,2,35,1
מצר,648,348,264,0,264,1,245,1,13,0
מקווה ישראל,22,205,155,0,155,0,80,45,21,6
מרגליות,843,236,177,9,168,0,50,43,42,24
מרום גולן,4101,299,221,0,221,0,117,13,85,1
מרחביה-מושב,97,334,294,2,292,0,180,56,45,1
מרחביה-קיבוץ,66,479,378,5,373,1,325,7,29,1
מרכז שפירא,1098,625,545,2,543,1,39,409,10,79
משאבי שדה,421,568,407,1,406,0,324,28,35,7
משגב דב,765,296,241,0,241,0,111,66,57,0
משגב עם,378,186,144,0,144,2,111,7,12,0
משהד,520,2915,2502,46,2456,1830,360,64,67,125
משואה,3605,121,88,1,87,0,16,30,26,1
משואות יצחק,620,385,333,2,331,0,38,269,13,5
משמר איילון,670,291,286,3,283,1,99,87,60,12
משמר דוד,563,132,90,0,90,0,62,10,13,0
משמר הירדן,732,209,172,3,169,0,10,95,13,44
משמר הנגב,395,667,438,3,435,1,378,9,29,3
משמר העמק,130,751,591,0,591,2,550,4,14,0
משמר השבעה,729,486,420,3,417,0,207,95,86,8
משמר השרון,194,404,309,7,302,1,265,8,14,1
משמרות,213,218,159,0,159,0,141,4,6,2
משמרת,425,276,231,3,228,0,163,33,27,2
משען,791,455,347,11,336,0,38,131,75,81
מתן,1315,1115,1027,6,1021,3,518,184,255,22
מתתיהו,3648,170,144,2,142,0,0,12,0,129
נאות גולן,4551,165,119,1,118,0,35,15,58,1
נאות הככר,1124,241,188,2,186,1,128,13,25,12
נאות מרדכי,408,497,397,5,392,0,325,26,24,1
נאעורה,524,760,610,28,582,325,205,4,27,7
נבטים,396,536,447,9,438,96,197,77,20,27
נגבה,315,485,361,1,360,0,341,1,11,3
נהורה,309,458,378,4,374,0,79,109,39,134
נהלל,80,576,459,4,455,1,299,87,47,4
נהריה,9100,35160,25673,528,25145,88,7104,6841,5679,3830
נוב,4304,253,203,1,202,0,4,177,8,11
נוגה,55,307,237,12,225,0,35,96,47,36
נווה אבות,926,561,58,16,42,0,19,11,2,10
נווה אור,590,265,208,1,207,1,188,1,11,0
"נווה אטי""ב",4303,106,77,1,76,0,10,25,34,1
נווה אילן,405,311,189,5,184,0,117,18,33,5
נווה איתן,296,212,176,2,174,1,144,10,12,0
נווה אפרים,1062,2289,1854,16,1838,5,999,359,323,63
נווה דניאל,3725,343,315,0,315,0,9,267,5,32
נווה דקלים,5427,1047,930,6,924,2,6,739,9,161
נווה זוהר,1057,91,57,1,56,2,14,16,7,7
נווה ים,312,131,99,0,99,1,63,4,12,3
נווה ימין,686,553,451,5,446,0,114,163,49,94
נווה ירק,858,456,401,5,396,0,255,51,65,4
נווה מבטח,827,329,269,10,259,1,175,36,32,7
נווה מיכאל,1071,222,179,1,178,0,24,62,7,79
נועם,15,290,246,0,246,1,3,92,3,147
נופים,3790,234,193,4,189,1,9,127,16,26
נופית,1284,645,545,5,540,1,373,46,111,2
נופך,257,180,152,2,150,2,20,47,25,49
נוקדים,3726,283,228,2,226,0,1,181,10,26
נורדיה,447,1107,865,7,858,1,367,232,201,24
"נח""ל עוז",844,290,218,0,218,3,180,5,17,1
נחושה,59,100,89,0,89,0,0,38,1,49
נחלה,2045,279,240,5,235,1,54,40,11,126
נחליאל,3767,132,111,2,109,0,0,52,0,57
נחלים,449,581,507,3,504,0,20,411,20,45
נחם,809,279,251,3,248,0,19,104,36,79
נחף,522,4179,3015,120,2895,2012,267,54,54,436
נחשולים,433,323,260,2,258,1,209,4,32,1
נחשון,777,377,302,2,300,32,253,1,8,0
נחשונים,705,259,189,2,187,0,149,5,22,5
נטועה,1147,297,233,1,232,3,90,52,21,40
נטעים,174,227,188,4,184,0,125,18,29,6
נטף,1254,171,143,0,143,6,111,5,16,1
ניין,523,722,587,19,568,79,466,4,5,7
"ניל""י",3655,435,380,1,379,0,41,245,69,13
ניסנית,5426,358,347,3,344,0,31,120,37,147
ניצנה,1195,355,172,10,162,0,86,20,37,3
ניצני עוז,851,397,330,1,329,0,151,89,55,20
ניצנים,359,363,292,2,290,4,256,8,15,2
ניר אליהו,808,321,226,2,224,0,195,5,14,1
ניר בנים,553,353,301,1,300,0,223,25,43,2
ניר גלים,720,290,263,1,262,2,15,230,7,8
ניר דוד,256,552,449,2,447,2,417,1,9,0
"ניר ח""ן",11,244,169,2,167,0,65,50,25,15
ניר יפה,165,249,182,2,180,0,99,32,25,17
ניר יצחק,402,414,332,1,331,7,313,0,9,1
ניר ישראל,699,358,284,4,280,0,166,46,49,3
ניר משה,2047,195,139,1,138,0,62,35,11,19
ניר עוז,69,327,249,1,248,2,221,1,10,0
ניר עם,348,318,210,2,208,1,178,7,15,0
ניר עציון,769,391,299,3,296,8,82,149,10,37
ניר עקיבא,2048,169,135,1,134,0,52,32,12,25
ניר צבי,331,678,564,6,558,4,348,63,115,9
נירים,602,329,259,2,257,3,241,2,7,1
נירית,1236,369,324,1,323,1,226,24,60,3
נס הרים,825,345,287,7,280,0,67,81,76,48
נס ציונה,7200,17402,13984,240,13744,23,5132,3523,2807,1487
נעורים,186,162,68,1,67,0,36,9,15,1
נעמי,3713,57,49,0,49,0,19,10,15,1
נען,158,1030,796,5,791,1,713,10,42,1
נצאצרה,1041,302,193,6,187,113,15,4,12,39
נצר חזני,5410,210,175,0,175,0,3,128,3,41
נצר סרני,435,486,383,4,379,2,341,5,20,0
נצרים,5408,89,94,0,94,0,1,87,3,3
נצרת,7300,39524,29157,514,28643,25895,1753,124,443,115
נצרת עילית,1061,36596,25424,988,24436,1469,6103,7507,6093,1649
נשר,2500,15333,11634,231,11403,28,3101,2852,3274,1472
נתיב הגדוד,3555,163,111,0,111,0,48,25,25,3
"נתיב הל""ה",693,308,257,2,255,3,214,3,17,1
נתיב העשרה,1242,413,352,2,350,0,175,65,84,7
נתיב השיירה,792,272,212,4,208,0,97,47,43,14
נתיבות,246,11565,9685,195,9490,17,702,2230,1538,4740
נתניה,7400,125497,88386,2173,86213,140,21319,25176,17520,17387
סאג'ור,525,1569,1226,25,1201,94,264,185,339,304
סאסא,578,384,282,0,282,4,223,7,32,1
סביון,587,2290,1691,15,1676,4,910,317,346,34
סגולה,2046,314,258,1,257,0,126,51,48,26
סואעד-חמרייה,942,108,98,0,98,90,7,1,0,0
סואעד-כמאנה,989,670,493,19,474,93,74,67,40,190
סולם,526,1118,955,28,927,562,102,56,4,201
סוסיה,3756,129,124,1,123,0,2,104,0,16
סופה,1238,308,240,2,238,0,142,26,49,8
סח'נין,7500,11856,10395,133,10262,8494,724,102,214,268
סייד,1170,798,448,32,416,228,137,32,5,6
סלמה,1245,1033,798,27,771,407,154,43,94,55
סלעית,3567,259,216,0,216,0,127,32,55,0
סמר,1156,161,103,0,103,5,81,1,8,0
סעד,419,468,394,3,391,5,126,217,11,1
סער,454,315,244,0,244,7,205,8,13,1
ספיר,1176,184,138,1,137,1,53,25,35,13
ספסופה,609,347,285,2,283,0,48,80,6,142
סתריה,610,467,410,5,405,2,254,59,56,7
ע'ג'ר,4501,773,555,18,537,4,280,149,53,44
עבדון,892,285,239,4,235,0,68,56,20,86
עברון,376,537,450,4,446,1,406,3,16,0
עגור,794,225,197,2,195,0,33,67,15,76
עדי,1199,780,655,3,652,0,375,105,138,9
עדנים,2035,191,158,2,156,0,98,18,33,0
עוזה,826,423,371,14,357,0,6,102,4,240
עוזייר,528,948,700,15,685,349,126,59,63,47
עולש,737,424,345,4,341,2,181,51,68,18
עומר,666,5073,4064,24,4040,24,2449,517,742,108
עופר,810,203,178,3,175,1,88,45,23,9
עופרה,3617,1019,885,5,880,1,17,761,42,49
עופרים,3792,281,239,1,238,0,20,131,43,32
עוצם,32,368,323,6,317,0,8,27,6,274
עוקבי,957,231,182,7,175,132,30,1,2,7
עזר,1149,318,289,5,284,1,126,54,63,25
עזריאל,837,334,292,6,286,0,4,127,37,113
עזריה,711,425,364,3,361,0,47,190,23,85
עזריקם,817,518,444,7,437,0,83,185,45,108
עטאוונה,969,389,248,9,239,182,28,7,2,6
עטרת,3658,117,108,0,108,0,0,91,0,17
עידן,1175,111,62,1,61,0,34,15,10,1
עיילבון,530,2305,2003,23,1980,1440,418,26,43,36
עיינות,156,83,49,0,49,0,24,7,13,0
עילוט,511,2630,1265,57,1208,825,280,15,4,64
עין איילה,687,277,220,3,217,0,125,37,37,4
עין אל-אסד,546,398,328,3,325,14,130,90,34,56
עין גב,273,386,310,0,310,1,256,13,33,2
עין גדי,2042,480,363,1,362,2,287,12,40,8
עין דור,436,700,447,5,442,1,382,8,38,1
עין הבשור,1240,358,302,0,302,1,165,55,59,9
עין הוד,74,229,178,4,174,1,129,12,14,1
עין החורש,167,598,490,1,489,4,463,8,10,0
עין המפרץ,289,636,518,3,515,0,480,3,19,1
"עין הנצי""ב",383,413,339,2,337,0,75,233,13,3
עין העמק,367,370,293,6,287,0,41,73,65,96
עין השופט,270,734,516,7,509,1,466,8,27,1
עין השלושה,676,284,192,1,191,1,162,7,12,2
עין ורד,157,581,492,4,488,1,386,41,22,1
עין זיוון,4503,181,128,0,128,0,75,4,39,1
עין חרוד-איחוד,89,531,426,9,417,1,343,16,41,1
עין חרוד-מאוחד,82,669,542,2,540,0,457,29,33,2
עין יהב,806,422,342,1,341,6,267,11,43,2
עין יעקב,813,264,224,6,218,1,79,66,26,36
עין כרמל,426,352,294,2,292,0,262,2,21,0
עין מאהל,532,4743,3879,81,3798,2924,698,36,26,83
עין נקובא,521,613,483,28,455,172,93,8,15,147
עין עירון,223,217,185,1,184,1,125,19,28,0
עין צורים,622,374,295,1,294,0,59,209,10,7
עין ראפה,514,297,229,13,216,58,113,3,2,34
עין שמר,139,535,424,2,422,2,396,3,12,0
עין שריד,880,616,516,7,509,1,157,103,63,167
עינת,871,400,345,4,341,3,265,15,39,2
עכו,7600,34801,25079,706,24373,4511,4030,5564,3767,5379
עלומים,1146,233,193,1,192,0,29,144,5,11
עלי,3765,857,686,4,682,0,10,536,23,96
עלי זהב,3727,216,172,1,171,0,21,117,13,12
עלמה,688,506,428,6,422,0,4,214,5,197
עלמון,3715,371,315,3,312,1,51,168,78,3
עמוקה,1212,139,113,1,112,1,72,10,18,0
עמינדב,779,365,301,4,297,2,120,94,42,28
עמיעד,385,427,300,2,298,2,253,4,17,4
עמיעוז,318,186,143,0,143,1,45,40,4,44
עמיקם,773,207,174,2,172,0,54,55,34,11
עמיר,319,466,390,2,388,6,364,3,10,0
עמנואל,3660,1432,1143,10,1133,0,0,177,7,948
עמקה,708,361,318,2,316,0,10,119,84,97
ענב,3712,250,211,1,210,0,1,140,3,60
עספיא,534,5675,3995,134,3861,997,1289,517,259,607
עפולה,7700,27558,20738,582,20156,63,4178,6618,4488,3708
עץ אפרים,3778,285,253,2,251,1,18,162,27,36
עראבה,531,8664,6536,48,6488,5831,304,94,25,156
עראמשה,1246,581,456,9,447,20,208,84,29,102
ערד,2560,17961,12744,378,12366,43,4165,2663,3129,1244
ערוגות,593,364,320,2,318,0,207,48,46,6
ערערה,637,7551,5933,77,5856,4664,822,48,78,188
ערערה בנגב,1192,2676,1729,83,1646,1335,119,33,66,23
עשרת,591,722,610,5,605,0,400,80,99,2
עתלית,53,3177,2441,33,2408,7,708,708,390,447
עתניאל,3748,203,186,0,186,0,2,152,2,30
פארן,1151,248,189,0,189,0,150,4,27,0
פדואל,3768,349,281,1,280,0,1,235,0,41
פדויים,750,222,180,2,178,0,29,45,14,82
פדיה,838,329,292,8,284,0,64,124,26,60
פוריה עילית,1313,233,180,5,175,0,91,39,33,3
פוריה-כפר עבודה,1104,168,141,1,140,0,29,60,16,28
פוריה-נווה עובד,1105,544,423,7,416,1,78,194,37,80
פוריידיס,537,4698,3226,112,3114,2329,239,15,157,291
פורת,767,518,427,7,420,0,14,122,11,260
פטיש,749,420,382,7,375,2,37,83,60,188
פלמחים,597,439,316,2,314,3,262,8,22,7
פני חבר,3723,84,83,1,82,0,0,71,1,10
פסגות,3659,524,480,0,480,0,6,435,6,31
פסוטה,535,1865,1578,28,1550,975,295,31,145,77
"פעמי תש""ז",2059,205,178,1,177,0,35,44,36,58
פצאל,3615,184,146,0,146,0,66,29,43,1
פקיעין,536,2670,2178,46,2132,742,543,177,284,366
פקיעין חדשה,281,172,132,1,131,0,26,22,7,72
פרדס חנה-כרכור,7800,18392,14136,293,13843,26,4205,4285,2483,2143
פרדסיה,171,3096,2593,26,2567,1,1203,533,526,195
פרוד,599,231,177,4,173,1,138,6,15,4
פרזון,2053,268,225,5,220,0,35,119,32,26
פתח תקוה,7900,126566,98268,1634,96634,196,26704,29546,17974,16745
פתחיה,839,414,321,2,319,0,50,153,40,61
צאלים,413,325,238,2,236,2,190,11,15,0
צביה,1180,133,108,1,107,1,82,0,18,0
צובה,465,463,342,2,340,2,292,11,24,0
צוחר,1136,270,219,2,217,0,72,58,33,38
צופין,3791,301,269,2,267,0,24,178,36,22
צופית,198,414,349,1,348,0,256,29,36,1
צופר,1150,137,117,0,117,0,81,5,25,0
צוקי ים,1102,115,98,0,98,1,59,7,20,8
צור הדסה,1113,504,432,3,429,7,248,62,79,17
צור יגאל,1306,2680,2361,21,2340,3,1189,508,475,64
צור משה,276,496,410,4,406,1,262,48,74,9
צור נתן,1148,183,149,0,149,0,40,62,35,1
צוריאל,774,189,157,1,156,1,32,63,9,46
צורית,1221,287,254,0,254,0,148,26,68,1
צורן,1308,2290,2007,15,1992,3,873,360,572,113
ציפורי,613,266,207,6,201,0,134,26,32,1
צלפון,796,463,406,4,402,0,55,136,43,164
צנדלה,636,698,365,10,355,314,24,2,1,14
צפריה,594,303,259,2,257,0,19,186,11,30
צפרירים,1079,188,149,0,149,3,46,49,21,24
צפת,8000,16632,12510,260,12250,136,1558,3862,2002,4161
צרופה,612,371,309,9,300,2,74,106,22,77
צרעה,567,717,522,7,515,8,460,11,22,1
קבועה,1234,311,158,7,151,134,4,2,1,5
קבוצת יבנה,334,569,464,6,458,1,133,270,31,3
קדומים,3557,1384,1230,8,1222,0,13,1053,20,120
קדייראת א-צאנע,964,1055,762,29,733,656,14,5,3,10
קדימה,195,4750,3869,48,3821,9,1301,1016,630,724
קדמת צבי,4025,127,116,0,116,0,42,13,58,2
קדר,3781,158,144,0,144,0,15,84,29,10
קדרון,615,632,534,6,528,1,340,57,93,8
קוואעין,972,295,205,8,197,97,28,42,17,3
קוממיות,766,204,121,0,121,0,1,3,0,116
קורנית,1179,299,256,0,256,1,191,19,37,0
קטורה,1052,274,156,3,153,1,118,3,17,0
קטיף,5423,106,98,0,98,0,0,78,1,19
קיסריה,1167,1603,1233,9,1224,5,701,195,259,21
קלחים,414,186,145,4,141,0,59,13,3,65
קליה,3601,186,157,0,157,3,81,13,47,1
קלנסווה,638,7078,5401,134,5267,4222,676,86,49,109
קציר-חריש,1247,1588,1248,15,1233,13,465,319,304,62
קצרין,4100,4287,3129,70,3059,6,768,852,940,270
קרית אונו,2620,19065,14990,251,14739,60,6332,3492,2651,1470
קרית ארבע,3611,3240,2621,38,2583,2,49,1837,141,494
קרית אתא,6800,36332,27310,686,26624,56,5708,8765,5038,5333
קרית ביאליק,9500,30417,23147,490,22657,37,8556,4949,5198,2278
קרית גת,2630,34105,25056,740,24316,74,4440,5926,5548,6898
קרית טבעון,2300,10684,8082,93,7989,39,4565,1332,1336,285
קרית ים,9600,33880,23803,699,23104,48,5694,6306,6254,3156
קרית יערים-מוסד,1137,1036,845,4,841,0,15,57,4,762
קרית מוצקין,8200,30156,23280,521,22759,24,8581,5361,5010,2158
קרית מלאכי,1034,12979,10082,272,9810,22,1742,2926,1018,3705
קרית נטפים,3746,112,98,0,98,0,2,41,3,52
קרית ענבים,78,277,234,5,229,3,186,11,25,0
קרית עקרון,469,5983,4905,95,4810,5,831,1958,718,1093
קרית שמונה,2800,15554,11735,272,11463,30,2171,4335,1706,2648
קרני שומרון,3640,3161,2602,24,2578,0,101,2010,152,250
קשת,4006,258,230,0,230,0,2,215,6,5
ראמה,543,4530,3369,87,3282,1733,778,150,207,256
ראס עלי,990,186,154,3,151,31,79,1,35,4
ראש העין,2640,20620,17487,196,17291,25,4190,3867,3401,5289
ראש פינה,26,1486,1239,13,1226,7,619,214,166,74
ראש צורים,3602,184,140,1,139,0,8,113,5,6
ראשון לציון,8300,143889,112125,1784,110341,161,38784,28443,24740,11572
רבבה,3795,140,137,0,137,0,0,127,0,10
רבדים,564,319,223,3,220,0,196,2,13,0
רביבים,354,569,427,3,424,2,369,4,25,1
רגבה,390,457,366,3,363,1,326,6,22,1
רגבים,444,308,185,1,184,2,154,5,10,1
רהט,1161,12031,8948,428,8520,5542,1688,295,302,273
רווחה,2051,332,287,1,286,1,12,137,15,119
רוויה,2016,159,132,0,132,0,4,36,1,87
רוחמה,362,453,313,2,311,1,282,3,16,4
