שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
אום אל-קוטוף,2024,693,363,1,362,220,81,4,17,39
אום בטין,1358,1920,647,13,634,557,22,10,22,2
אומן,1108,347,209,1,208,0,2,135,44,6
אומץ,680,510,380,0,380,0,70,41,235,4
אופקים,31,20939,13715,158,13557,3,215,6676,905,4784
אור הגנוז,1294,257,157,2,155,0,2,31,1,110
אור הנר,67,603,493,0,493,2,144,41,279,0
אור יהודה,2400,26963,18755,188,18567,15,671,10916,3090,2652
אור עקיבא,1020,15520,9773,72,9701,4,209,6650,1221,921
אורה,780,842,614,2,612,1,48,258,180,46
אורות,2012,434,316,1,315,0,61,46,190,1
אורטל,4013,248,193,1,192,1,25,23,97,1
אורים,403,449,257,1,256,2,102,19,120,0
אורנית,3760,6308,5039,10,5029,1,239,1696,2120,67
אושה,278,363,269,0,269,0,74,21,156,0
אזור,565,9703,6701,53,6648,6,385,3020,2075,569
אחווה,1157,187,144,2,142,0,19,34,83,2
אחוזם,821,391,277,0,277,0,5,202,7,36
אחוזת ברק,1330,1670,1294,10,1284,0,111,499,513,13
אחיהוד,785,645,513,0,513,0,8,375,24,69
אחיטוב,850,711,563,14,549,2,31,211,241,31
אחיסמך,804,868,686,5,681,0,4,547,18,93
אחיעזר,797,1149,958,3,955,0,1,459,12,394
אטרש (שבט),965,1494,226,1,225,169,7,3,33,1
איבים,338,100,5,0,5,0,0,1,2,2
אייל,716,389,322,2,320,1,104,15,183,0
איילת השחר,77,812,595,1,594,0,174,56,324,4
אילון,294,817,637,0,637,2,239,95,238,2
אילות,1126,249,164,0,164,0,60,20,80,0
אילניה,49,461,321,1,320,1,31,117,123,1
אילת,2600,50304,22851,168,22683,114,1080,12251,5942,1033
אירוס,1336,363,308,0,308,0,33,85,160,0
איתמר,3762,573,449,0,449,0,1,328,1,17
איתן,37,347,268,1,267,0,2,174,1,67
אכסאל,478,9369,4833,26,4807,4331,289,84,62,1
אל סייד,1359,1650,544,6,538,200,39,23,97,163
אל-עריאן,1316,128,64,4,60,29,12,9,2,0
אל-רום,4003,330,251,0,251,1,71,41,105,0
אלומה,1145,331,285,0,285,0,0,22,0,262
אלומות,330,312,227,0,227,0,59,32,112,2
אלון הגליל,1182,828,667,0,667,0,219,44,381,0
אלון מורה,3579,916,733,1,732,0,0,649,4,11
אלון שבות,3604,2169,1740,5,1735,1,36,850,52,23
אלוני אבא,429,666,530,1,529,2,107,53,344,1
אלוני הבשן,4017,217,159,2,157,0,1,81,4,4
אלוני יצחק,868,114,24,0,24,0,3,9,9,0
אלונים,285,513,397,1,396,0,120,24,228,1
אלי-עד,4002,296,226,2,224,0,29,42,103,1
אליאב,1365,178,165,1,164,0,18,23,74,0
אליכין,41,2612,1992,16,1976,0,71,1163,334,233
אליפז,1248,116,73,0,73,0,18,15,37,0
אליפלט,730,454,318,1,317,0,4,235,24,18
אליקים,682,590,433,0,433,0,5,256,32,82
אלישיב,204,473,367,0,367,0,13,202,83,12
אלישמע,841,814,662,5,657,4,24,329,195,45
אלמגור,1125,284,231,0,231,2,45,15,161,0
אלמוג,3556,194,136,0,136,0,32,19,57,0
אלעד,1309,19997,16927,135,16792,2,12,2493,47,13930
אלעזר,3618,1451,1172,1,1171,1,16,593,36,17
אלפי מנשה,3750,5711,4333,9,4324,1,228,1670,1770,93
אלקוש,603,256,160,0,160,1,8,114,14,14
אלקנה,3560,2501,2123,3,2120,0,6,1281,61,35
אמונים,772,694,504,2,502,0,19,211,195,31
אמירים,1064,587,420,2,418,1,112,58,176,3
אמנון,1253,262,207,0,207,0,20,106,40,1
אמציה,23,220,162,1,161,0,1,103,21,0
אניעם,4012,435,306,0,306,0,25,86,145,4
אסד (שבט),960,488,50,2,48,31,7,3,5,1
אספר,3754,344,262,7,255,0,0,56,0,137
אעבלין,529,8913,4508,64,4444,3302,480,164,272,161
אעצם (שבט),963,4482,961,18,943,849,31,12,14,4
אפיק,4301,251,178,0,178,0,45,27,79,0
אפיקים,176,1083,745,1,744,1,288,44,374,2
אפק,313,495,380,3,377,1,110,29,209,2
אפרת,3650,6951,5488,15,5473,1,63,2674,209,86
ארבל,701,446,339,1,338,0,38,128,128,4
ארגמן,3598,128,83,0,83,0,2,35,24,3
ארז,714,409,311,1,310,1,109,26,158,1
אריאל,3570,15122,10096,93,10003,6,156,6861,1232,160
ארסוף,1324,120,80,0,80,0,17,16,39,2
אשבול,71,407,320,1,319,0,10,172,63,28
אשדוד,70,177630,117488,1107,116381,73,2372,60037,19146,26868
אשדות יעקב  (איחוד),199,652,488,1,487,0,135,65,247,1
אשדות יעקב  (מאוחד),188,506,352,3,349,0,84,69,148,2
אשחר,1188,599,485,0,485,1,82,82,199,3
אשכולות,3722,347,271,1,270,0,11,128,82,3
אשל הנשיא,2021,114,79,0,79,0,13,28,26,0
אשלים,1152,387,292,1,291,0,45,82,108,1
אשקלון,7100,112413,70010,616,69394,44,1746,44536,10974,5944
אשרת,1256,407,306,2,304,0,20,173,57,4
אשתאול,740,753,617,2,615,2,43,353,69,88
באקה אל-גרביה,6000,18635,7991,130,7861,6549,772,94,305,39
באר אורה,21,550,416,2,414,2,58,130,166,7
באר גנים,1376,799,677,1,676,0,6,414,30,52
באר טוביה,155,784,635,1,634,1,98,73,426,5
באר יעקב,2530,15773,12021,87,11934,10,484,5548,4107,751
באר שבע,9000,161391,98993,970,98023,431,3881,58094,17141,7186
בארות יצחק,450,405,285,2,283,0,11,112,54,2
בארותיים,697,704,559,0,559,2,95,78,315,4
בארי,399,844,672,1,671,3,393,26,226,1
בוסתן הגליל,559,713,565,0,565,0,79,191,231,12
בועיינה-נוג'ידאת,482,6376,3342,60,3282,2484,248,75,216,108
בוקעאתא,4001,519,74,1,73,0,8,37,21,1
בורגתה,698,786,614,1,613,0,95,151,328,8
בחן,2043,576,460,1,459,1,90,43,300,1
בטחה,762,615,478,2,476,0,11,313,23,70
ביצרון,234,876,702,2,700,0,84,96,463,6
ביר אל-מכסור,998,6312,2001,26,1975,751,312,124,656,86
ביר הדאג',1348,1151,685,1,684,640,9,6,19,1
ביריה,368,588,436,1,435,0,12,303,31,61
בית אורן,317,302,198,0,198,1,53,22,100,3
בית אל,3574,3318,2825,6,2819,0,10,2322,9,71
בית אלעזרי,562,1036,811,4,807,1,101,224,384,7
בית אלפא,95,595,430,2,428,1,136,21,232,5
בית אריה,3652,3581,2677,13,2664,0,74,1373,660,82
בית ג'ן,480,8565,4923,26,4897,74,3368,373,934,81
בית גוברין,619,285,227,0,227,1,74,14,126,0
בית גמליאל,571,769,603,0,603,0,10,280,38,32
בית דגן,466,5027,3827,14,3813,2,132,2165,933,235
בית הגדי,723,573,477,2,475,0,4,359,6,65
בית הלוי,373,519,422,1,421,0,89,62,249,1
בית הלל,322,575,427,4,423,0,88,30,278,2
בית העמק,572,490,352,1,351,0,162,33,143,1
בית הערבה,3645,145,126,0,126,0,5,50,23,2
בית השיטה,242,1044,778,5,773,3,223,60,436,2
בית זיד,353,113,70,0,70,0,23,5,36,0
בית זית,710,1159,866,3,863,6,210,180,353,19
בית זרע,143,617,385,1,384,0,162,19,185,0
בית חורון,3575,803,671,4,667,0,6,349,37,22
בית חירות,877,598,473,0,473,1,135,9,320,0
בית חלקיה,2033,435,392,2,390,0,0,19,1,363
בית חנן,159,520,410,1,409,0,66,48,259,1
בית חנניה,800,615,485,0,485,3,66,68,309,6
בית חשמונאי,1050,1465,1134,2,1132,0,100,417,512,9
בית יהושע,288,716,549,1,548,1,105,69,336,2
בית יוסף,265,357,257,2,255,0,4,173,23,20
בית ינאי,200,307,196,0,196,5,39,11,134,0
בית יצחק-שער חפר,326,1612,1267,2,1265,0,215,163,827,6
בית לחם הגלילית,430,621,485,1,484,1,93,64,294,1
בית מאיר,751,374,275,1,274,0,5,151,13,37
בית נחמיה,784,618,494,2,492,1,59,169,203,1
בית ניר,16,429,331,0,331,0,161,11,148,0
בית נקופה,672,464,363,3,360,1,52,134,127,15
בית עובד,202,239,180,0,180,0,43,22,110,0
בית עוזיאל,301,463,334,0,334,0,18,181,80,10
בית עזרא,756,838,663,6,657,1,43,253,248,35
בית עריף,604,722,579,1,578,0,23,355,104,45
בית צבי,212,68,39,0,39,0,0,33,0,5
בית קמה,598,664,544,0,544,1,154,74,284,2
בית קשת,365,478,354,2,352,3,159,26,147,0
בית רבן,848,342,283,0,283,0,1,205,0,24
בית רימון,1162,368,322,0,322,0,14,142,11,2
בית שאן,9200,14180,9906,63,9843,8,112,6365,516,1659
בית שמש,2610,62152,40588,371,40217,13,461,14818,1714,19917
בית שערים,248,471,382,3,379,3,80,44,218,0
בית שקמה,747,571,399,1,398,0,9,277,30,43
ביתן אהרן,252,180,137,1,136,0,17,19,88,2
ביתר עילית,3780,24740,19989,173,19816,1,14,1666,29,17785
בלפוריה,94,394,324,0,324,1,34,84,163,3
בן זכאי,760,591,484,5,479,0,3,338,17,90
בן עמי,712,551,435,0,435,0,65,115,199,11
בן שמן (כפר נוער),1084,236,165,0,165,1,29,45,75,1
בן שמן (מושב),2013,584,457,2,455,2,56,123,236,4
בני ברק,6100,109000,84202,1398,82804,16,319,7048,1019,73100
בני דקלים,1368,487,418,0,418,0,0,354,0,10
בני דרום,592,462,401,2,399,0,5,181,44,8
בני דרור,386,1004,805,11,794,1,156,148,437,1
בני יהודה,4015,891,599,5,594,1,65,176,279,3
בני נצרים,1363,284,253,2,251,0,1,231,1,7
בני עטרות,448,609,518,0,518,2,89,58,321,4
"בני עי""ש",1066,5787,3839,38,3801,3,63,2503,598,285
בני ציון,418,824,619,1,618,2,105,82,395,3
בני ראם,588,881,710,1,709,0,6,428,23,94
בניה,685,621,530,0,530,0,69,117,294,3
בנימינה-גבעת עדה,9800,10073,7652,27,7625,24,1270,1733,3873,91
"בסמ""ה",1326,6431,2554,41,2513,1953,352,89,44,31
בסמת טבעון,944,5223,1664,35,1629,744,174,86,453,95
בענה,483,5507,3966,22,3944,3277,104,152,36,160
בצרה,389,776,582,1,581,0,90,64,382,5
בצת,589,289,215,0,215,1,25,45,115,4
בקוע,864,514,417,0,417,0,25,238,81,21
בקעות,3612,136,113,0,113,0,2,41,39,2
בר גיורא,823,415,321,0,321,1,25,186,60,12
בר יוחאי,1191,597,412,0,412,0,0,286,7,63
ברוכין,3744,427,385,1,384,0,0,284,1,6
ברור חיל,428,745,540,0,540,4,150,75,280,1
ברוש,2060,316,246,1,245,0,19,156,33,13
ברכה,3710,1101,976,1,975,0,5,846,8,10
ברכיה,746,761,645,1,644,0,3,386,16,182
ברעם,667,494,341,0,341,3,176,11,143,1
ברק,141,301,216,0,216,0,19,93,76,8
ברקאי,617,511,347,2,345,2,182,10,140,0
ברקן,3654,1335,995,4,991,1,33,595,143,6
ברקת,2038,1118,949,1,948,0,3,736,14,119
בת הדר,1323,500,385,1,384,1,28,195,114,15
בת חן,1361,434,316,2,314,0,47,39,212,4
בת חפר,1319,3970,3023,15,3008,0,369,614,1743,20
בת ים,6200,124102,64948,570,64378,103,2527,37923,13999,4939
בת עין,3794,851,650,0,650,0,4,338,4,36
בת שלמה,33,432,358,3,355,2,75,72,168,3
ג'דיידה-מכר,1292,14098,6293,79,6214,5319,312,63,127,66
ג'ולס,485,4606,2574,25,2549,13,213,577,1426,70
ג'לג'וליה,627,6209,4248,33,4215,3249,590,28,124,192
ג'נאביב (שבט),976,448,155,3,152,42,43,5,21,5
ג'סר א-זרקא,541,8690,1892,20,1872,1230,166,78,129,223
ג'ש (גוש חלב),487,2438,1153,18,1135,614,115,149,179,39
ג'ת,628,7972,2977,45,2932,2412,390,29,68,2
גאולי תימן,872,268,207,2,205,1,16,122,35,7
גאולים,379,678,530,3,527,0,57,219,179,22
גאליה,853,853,658,3,655,2,73,141,381,2
גבולות,352,300,200,0,200,1,89,33,66,0
גבים,424,449,345,1,344,1,117,30,182,1
גבע,86,524,377,0,377,0,135,8,218,0
גבע בנימין,3763,3116,2310,14,2296,3,26,1400,148,382
גבע כרמל,683,721,561,3,558,0,75,167,264,0
גבעולים,2014,293,239,0,239,0,3,183,7,21
גבעון החדשה,3644,1015,720,4,716,1,38,343,170,21
גבעות בר,1344,550,437,0,437,1,38,138,171,3
גבעת אבני,1293,1637,1146,4,1142,1,57,485,406,31
גבעת אלה,1288,1627,1297,0,1297,1,266,139,827,2
גבעת ברנר,147,1886,1415,1,1414,5,416,157,757,4
גבעת השלושה,870,497,392,2,390,0,110,40,216,2
גבעת זאב,3730,11431,8734,39,8695,3,173,3815,802,3030
"גבעת ח""ן",207,297,257,0,257,2,57,24,155,0
גבעת חיים (איחוד),2018,959,741,1,740,1,238,14,466,2
גבעת חיים (מאוחד),173,886,680,3,677,3,259,54,330,1
גבעת יואב,4021,469,355,0,355,0,34,87,189,2
גבעת יערים,787,933,715,0,715,2,108,316,177,37
גבעת ישעיהו,919,510,396,1,395,2,107,72,168,8
"גבעת כ""ח",802,660,480,2,478,0,23,267,102,22
"גבעת ניל""י",360,432,361,0,361,0,41,172,115,1
גבעת עוז,703,410,279,0,279,1,78,21,153,0
גבעת שמואל,681,17890,13986,39,13947,20,707,6088,3187,762
גבעת שפירא,1077,212,168,0,168,0,26,16,117,0
גבעתי,793,630,449,6,443,0,20,248,108,23
גבעתיים,6300,48210,34524,115,34409,145,5980,7836,17409,489
גברעם,342,320,246,0,246,0,45,30,146,1
גבת,133,681,553,1,552,0,172,30,332,0
גדות,35,374,248,2,246,1,104,9,117,0
גדיש,145,275,194,0,194,0,2,162,7,12
גדעונה,442,290,214,0,214,0,14,98,36,22
גדרה,2550,17315,12813,61,12752,17,932,5642,4475,480
גונן,852,345,241,2,239,1,80,16,119,1
גורן,755,348,256,1,255,0,11,163,25,42
גורנות הגליל,1219,169,115,0,115,0,7,53,31,19
גזית,457,631,460,0,460,0,210,18,217,2
גזר,370,385,203,1,202,3,72,16,103,0
גיאה,706,554,441,0,441,1,66,96,227,5
גיבתון,196,257,200,0,200,0,39,22,122,2
גיזו,1043,143,114,0,114,0,26,48,25,1
גילון,1204,879,680,0,680,0,102,99,421,0
גילת,736,997,760,2,758,0,24,461,142,23
גינוסר,262,548,388,0,388,1,95,68,204,1
גיניגר,92,555,394,0,394,0,144,40,190,0
גינתון,863,654,515,2,513,0,65,126,260,6
גיתה,1206,197,137,1,136,0,35,55,37,0
גיתית,3613,241,192,0,192,0,4,103,26,0
גלאון,393,449,310,0,310,0,136,23,144,0
גלגל,3606,147,86,0,86,1,12,31,28,0
גליל ים,346,346,273,3,270,3,91,17,143,7
גלעד (אבן יצחק),369,376,283,0,283,1,87,9,178,0
גמזו,745,676,568,1,567,0,13,293,22,27
גן הדרום,1072,342,275,0,275,0,18,96,138,1
גן השומרון,225,619,476,0,476,2,96,56,288,3
גן חיים,239,537,439,0,439,1,83,55,282,1
גן יאשיה,734,624,493,2,491,0,99,51,305,1
גן יבנה,166,16209,12259,56,12203,8,532,5892,3932,540
גן נר,1274,2104,1532,4,1528,2,122,626,558,20
גן שורק,311,262,198,0,198,1,26,40,112,0
גן שלמה,144,397,330,1,329,2,106,15,194,1
גן שמואל,72,871,672,1,671,2,318,11,331,0
גנות,836,348,267,0,267,0,29,88,127,3
גנות הדר,549,703,541,1,540,0,63,140,283,8
גני הדר,1103,248,197,0,197,1,35,44,109,0
גני טל,1371,408,375,3,372,0,0,197,9,8
גני יוחנן,862,535,401,2,399,0,24,143,193,11
גני מודיעין,3823,1825,1431,11,1420,0,3,564,9,684
גני עם,218,212,170,0,170,0,42,33,84,0
גני תקווה,229,14043,11046,36,11010,16,1022,3154,5048,953
געש,842,649,514,0,514,6,216,24,242,0
געתון,463,545,385,1,384,0,158,28,177,0
גפן,39,254,187,2,185,0,4,126,12,24
גרופית,1129,284,179,0,179,1,34,16,122,0
גשור,4022,223,158,0,158,0,27,28,83,2
גשר,305,418,267,5,262,2,117,19,101,0
גשר הזיו,574,1176,847,1,846,0,183,215,373,1
גת (קיבוץ),340,539,392,0,392,1,130,29,216,0
גת רימון,128,197,146,0,146,0,21,36,81,2
דאלית אל-כרמל,494,12488,7464,60,7404,152,760,2132,4101,38
דבורה,146,230,161,0,161,0,17,40,88,1
דבוריה,489,6887,3780,30,3750,3433,146,96,36,4
דבירה,849,651,496,1,495,1,150,49,264,0
דברת,407,302,206,1,205,0,42,22,124,4
דגניה א',62,515,367,0,367,0,131,17,194,0
דגניה ב',79,545,426,2,424,0,126,37,236,4
"דוב""ב",1067,359,252,0,252,0,1,207,13,14
דולב,3747,813,686,1,685,0,4,432,3,10
דור,738,276,221,1,220,0,24,54,126,3
דורות,336,551,418,1,417,2,147,21,204,0
דחי,475,491,136,0,136,89,17,9,11,8
דייר אל-אסד,490,8056,5919,35,5884,4630,397,179,88,533
דייר חנא,492,7194,5357,8,5349,4744,119,195,103,131
דימונה,2200,27937,16802,214,16588,30,351,11388,2022,1496
דישון,2063,294,207,2,205,0,9,113,32,19
דליה,300,658,498,2,496,3,238,14,233,1
דלתון,431,618,460,3,457,0,3,365,5,62
דמיידה,1317,315,153,2,151,110,13,6,11,0
דן,303,527,405,0,405,1,173,10,204,0
דפנה,302,569,459,0,459,2,130,45,254,1
דקל,1241,258,188,0,188,0,25,55,86,0
דריג'את,1349,528,336,3,333,189,78,25,29,6
האון,702,153,94,1,93,0,27,23,29,3
הבונים,675,292,204,0,204,0,59,17,117,0
הגושרים,356,630,474,2,472,2,126,68,246,4
הדר עם,191,510,426,1,425,1,99,39,263,0
הוד השרון,9700,45512,34904,104,34800,44,4243,8844,18655,709
הודיה,726,496,337,0,337,0,15,196,61,28
הוואשלה (שבט),1169,1045,374,8,366,333,7,2,9,4
הוזייל (שבט),956,1095,357,5,352,285,27,11,26,0
הושעיה,1186,1340,1087,2,1085,0,40,354,198,12
הזורע,250,882,623,2,621,3,268,29,298,5
הזורעים,307,515,423,1,422,0,5,272,18,10
החותרים,434,576,453,0,453,0,170,24,244,1
היוגב,684,571,459,2,457,0,82,34,318,1
הילה,1208,477,352,0,352,0,101,33,185,2
המעפיל,377,626,484,0,484,0,158,27,279,4
הסוללים,677,712,550,5,545,1,100,68,333,9
העוגן,423,610,465,3,462,6,178,18,242,0
הר אדר,3769,3003,2373,5,2368,4,317,571,1203,13
הר גילה,3603,973,766,1,765,1,52,392,163,34
הר עמשא,1261,106,76,0,76,0,21,14,22,0
הראל,464,221,121,0,121,2,41,6,69,0
הרדוף,1249,407,338,2,336,7,168,8,144,0
הרצליה,6400,81001,54927,217,54710,97,6211,16632,26163,1746
הררית,1203,333,256,0,256,3,101,19,111,1
ורד יריחו,3639,226,177,1,176,0,6,85,44,3
ורדון,1133,219,171,1,170,0,30,79,43,4
זבדיאל,815,403,340,2,338,0,1,220,7,90
זוהר,44,267,204,1,203,0,7,125,25,28
זיקים,584,699,495,0,495,2,151,69,233,1
זיתן,788,825,663,3,660,0,13,478,72,55
זכרון יעקב,9300,16729,12486,41,12445,13,1610,2941,5620,1231
זכריה,799,756,577,1,576,0,9,433,52,29
זמר,1290,4610,2075,24,2051,1500,321,43,58,103
זמרת,1065,362,322,0,322,0,4,229,8,40
זנוח,816,396,283,0,283,0,5,207,18,32
זרועה,2064,285,213,1,212,0,4,150,16,18
זרזיר,975,5230,1891,32,1859,424,261,126,932,15
זרחיה,818,479,399,1,398,0,2,274,10,81
ח'ואלד,1321,488,222,5,217,157,12,2,19,15
חבצלת השרון,235,339,225,2,223,0,26,55,118,15
חבר,1110,348,232,1,231,0,11,129,51,10
חברון,3400,285,226,0,226,0,1,176,6,1
חגור,717,706,574,2,572,0,54,153,307,12
חגי,3764,324,270,2,268,0,0,217,0,1
חגלה,205,499,409,1,408,0,110,35,243,0
חד-נס,4026,630,398,0,398,0,28,129,178,3
חדיד,618,602,473,4,469,0,14,303,65,40
חדרה,6500,75611,47508,404,47104,71,2385,25322,12212,3508
חולדה,160,625,528,0,528,0,114,76,299,1
חולון,6600,157915,101653,733,100920,79,5678,49451,29245,8377
חולית,1239,133,92,0,92,0,25,11,42,0
חולתה,253,430,323,1,322,0,145,28,110,1
חוסן,662,716,531,1,530,0,21,337,96,37
חוסנייה,1332,531,239,9,230,148,10,3,13,39
חופית,115,727,522,0,522,0,101,55,345,1
חוקוק,374,445,307,0,307,6,128,32,119,0
חורה,1303,7663,2241,38,2203,1776,205,55,109,27
חורפיש,496,4469,2363,7,2356,58,524,477,821,101
חורשים,355,289,196,0,196,0,67,31,86,0
חזון,1047,263,212,0,212,0,4,173,7,20
חיבת ציון,219,444,363,0,363,0,65,72,182,2
חיננית,3643,772,604,9,595,0,5,452,18,10
חיפה,4000,247866,145606,1028,144578,8783,14924,55096,47261,8141
חירות,162,929,765,1,764,1,176,45,510,1
חלוץ,1272,399,282,1,281,0,91,23,152,1
חלמיש,3573,752,609,2,607,0,4,379,6,14
חלץ,820,346,240,0,240,0,14,158,14,22
חמאם,993,1137,422,10,412,227,36,31,92,8
חמד,801,561,491,0,491,0,9,221,60,43
חמדיה,343,295,209,1,208,0,39,36,107,1
חמדת,3646,114,100,0,100,0,0,51,0,3
חמרה,3609,135,97,0,97,0,6,38,25,1
חניאל,807,661,489,2,487,2,81,73,310,1
חניתה,280,728,391,0,391,3,124,52,179,1
חנתון,1257,520,393,0,393,1,81,81,183,1
חספין,4005,801,632,1,631,0,4,452,7,14
חפץ חיים,363,342,301,0,301,0,0,214,7,5
חפצי-בה,90,566,420,1,419,1,124,74,182,2
חצב,700,866,661,4,657,0,39,350,200,16
חצבה,13,502,403,0,403,0,61,39,250,4
חצור הגלילית,2034,7024,4906,24,4882,1,82,3002,295,1220
חצור-אשדוד,406,660,468,0,468,1,202,23,234,1
חצרים,397,813,613,1,612,1,204,31,358,1
חרב לאת,422,521,410,0,410,1,62,88,228,3
חרוצים,1024,584,442,3,439,1,53,146,180,14
חריש,1247,4542,3392,24,3368,14,147,1607,708,379
חרמש,3717,204,141,1,140,0,6,88,19,0
חרשים,1209,224,182,0,182,4,107,5,59,1
חשמונאים,3770,2305,1801,5,1796,1,14,873,59,116
טבריה,6700,34701,20584,132,20452,14,365,11927,2120,4603
טובא-זנגריה,962,4384,1328,35,1293,416,171,89,531,23
טורעאן,498,9258,4431,38,4393,3841,227,86,144,9
טייבה,2730,27542,17029,220,16809,15002,1327,88,193,113
טייבה (בעמק),497,1193,472,6,466,261,134,20,21,13
טירה,2720,17873,10661,101,10560,7325,2644,200,270,12
טירת יהודה,663,775,644,4,640,0,19,389,31,34
טירת כרמל,2100,18310,11849,84,11765,7,268,7816,1714,1051
טירת צבי,268,520,420,1,419,0,28,122,64,1
טל שחר,462,763,618,0,618,3,122,93,351,6
טל-אל,1181,922,691,5,686,2,72,190,353,2
טללים,1177,311,225,0,225,0,34,42,115,2
טלמון,3788,2025,1760,6,1754,0,0,1303,3,39
טמרה,8900,22245,13019,68,12951,10026,883,289,181,406
טמרה (יזרעאל),547,1012,552,1,551,513,16,8,7,0
טנא,3743,499,384,2,382,0,9,205,65,6
טפחות,1214,252,199,0,199,0,1,171,1,10
יאנוח-ג'ת,1295,4492,2597,14,2583,37,154,932,729,23
יבול,1232,206,170,0,170,0,41,29,77,4
יבנאל,46,2498,1681,6,1675,3,50,544,316,628
יבנה,2660,33073,24664,181,24483,14,1002,12440,6887,2118
יגור,96,1338,930,1,929,0,361,61,475,0
יגל,798,620,499,1,498,0,17,335,61,51
יד בנימין,577,2084,1719,1,1718,0,4,1118,15,258
יד השמונה,1134,163,117,0,117,0,4,46,47,0
יד חנה,758,557,445,1,444,3,68,83,267,0
יד מרדכי,358,695,526,1,525,0,168,70,260,1
יד נתן,775,406,317,2,315,0,32,59,188,5
"יד רמב""ם",64,834,631,2,629,0,21,425,73,49
יהוד-מונוסון,9400,23080,17210,73,17137,16,1283,7132,6686,603
יהל,1158,214,118,1,117,1,28,22,61,0
יובל,2009,427,322,1,321,0,37,117,118,11
יובלים,1226,981,798,2,796,3,218,52,471,1
יודפת,1112,589,480,1,479,7,184,17,246,0
יונתן,4007,357,291,0,291,0,6,112,19,2
יושיביה,803,329,259,1,258,0,2,144,6,77
יזרעאל,452,566,354,3,351,1,129,20,185,0
יחיעם,409,553,484,1,483,3,168,50,241,0
יטבתה,866,666,421,1,420,2,175,17,207,2
"ייט""ב",3607,204,164,0,164,0,0,123,6,1
יכיני,811,476,374,0,374,0,10,256,37,28
ינוב,753,614,477,2,475,0,57,178,177,13
ינון,2011,890,680,6,674,18,48,410,84,32
יסוד המעלה,29,1215,895,2,893,2,123,222,450,5
יסודות,440,322,306,3,303,0,0,8,1,288
יסעור,575,533,398,5,393,0,85,41,240,1
יעד,1138,548,427,1,426,3,165,12,229,0
יעף,1044,170,147,0,147,3,32,28,66,0
יערה,795,549,402,2,400,1,16,188,63,102
יפיע,499,12845,5741,102,5639,4642,421,214,223,67
יפית,3566,158,107,0,107,0,2,71,13,2
יפעת,134,809,600,3,597,3,183,65,307,1
יפתח,453,533,386,2,384,0,123,25,216,0
יצהר,3749,659,538,2,536,1,0,481,1,10
יציץ,759,582,429,3,426,0,15,289,63,23
יקום,417,538,433,2,431,0,181,11,221,0
יקיר,3647,1185,1045,5,1040,0,5,600,11,13
יקנעם (מושבה),241,1009,784,1,783,2,180,79,475,1
יקנעם עילית,240,17627,12325,91,12234,9,786,6197,3528,439
יראון,623,368,220,1,219,1,96,10,102,0
ירדנה,2026,282,203,2,201,0,7,123,37,4
ירוחם,831,7230,4807,54,4753,36,130,2669,502,786
ירושלים,3000,410258,262103,2054,260049,2147,16205,91299,30576,96405
ירחיב,718,799,595,3,592,0,33,336,151,25
ירכא,502,10483,7155,81,7074,249,540,3291,2051,674
ירקונה,183,311,234,1,233,0,46,25,151,2
ישע,916,275,202,1,201,0,35,69,75,0
