שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
אבו ג'ווייעד (שבט),967,1915,275,5,270,188,15,3,50,0
אבו גוש,472,4707,1915,72,1843,858,348,236,334,32
אבו סנאן,473,9234,4845,82,4763,2744,248,844,701,68
אבו עבדון (שבט),958,138,12,0,12,5,5,0,0,0
אבו קורינאת (שבט),968,2927,640,11,629,467,30,14,91,2
אבו קרינאת (יישוב),1342,543,213,4,209,106,15,4,78,2
אבו רובייעה (שבט),966,3919,761,8,753,587,55,11,64,4
אבו רוקייק (שבט),961,4691,1129,13,1116,1025,30,11,26,6
אבו תלול,1375,867,390,4,386,365,5,5,5,1
אבטין,652,1774,645,18,627,351,29,15,74,151
אבטליון,1275,305,230,1,229,3,51,24,122,0
אביאל,679,521,412,2,410,2,71,94,211,1
אביבים,1115,332,246,1,245,0,1,202,0,35
אביגדור,819,617,498,0,498,0,70,55,321,5
אביחיל,175,972,745,1,744,2,126,112,456,2
אביטל,2052,384,293,0,293,0,6,218,22,20
אביעזר,1070,563,443,1,442,3,54,199,112,17
אבירים,1220,193,153,1,152,2,67,11,65,1
אבן יהודה,182,9833,7582,20,7562,8,941,1944,4012,106
אבן מנחם,1081,283,201,0,201,0,16,134,21,20
אבן ספיר,783,497,359,4,355,0,25,198,67,12
אבן שמואל,400,871,756,2,754,0,7,532,15,69
אבני איתן,4011,395,322,0,322,0,2,180,9,0
אבני חפץ,3793,1059,857,2,855,0,1,650,4,73
אבשלום,1311,240,147,6,141,0,6,93,30,3
אדורה,3759,245,195,0,195,0,7,113,32,2
אדירים,113,230,175,0,175,0,0,105,6,50
אדמית,1068,354,195,1,194,0,59,44,69,0
אדרת,1123,549,411,3,408,0,20,248,30,42
אודים,446,802,630,1,629,1,114,103,372,5
אודם,4010,113,88,0,88,0,6,11,45,0
אוהד,1046,253,187,1,186,1,16,73,66,2
אום אל-פחם,2710,34720,15671,138,15533,14292,824,202,111,26
