שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
אשחר,1188,488,382,2,380,0,128,182,60,2
אשכולות,3722,212,166,1,165,0,25,96,34,1
אשל הנשיא,2021,93,59,0,59,2,28,23,4,1
אשלים,1152,303,227,0,227,0,90,95,33,1
אשקלון,7100,102360,65261,937,64324,65,6832,44420,4243,4862
אשרת,1256,361,287,0,287,0,49,197,23,4
אשתאול,740,680,550,2,548,1,88,301,29,97
באקה אל-גרביה,6000,16410,10094,72,10022,9460,508,14,5,13
באר אורה,21,271,228,2,226,2,97,86,35,0
באר גנים,1376,119,101,0,101,0,2,82,0,3
באר טוביה,155,661,541,0,541,2,367,71,92,1
באר יעקב,2530,10833,8518,78,8440,12,1895,4349,1238,697
באר שבע,9000,156696,98505,1352,97153,556,13249,63665,7364,6854
בארות יצחק,450,408,280,2,278,0,37,198,23,2
בארותיים,697,654,538,2,536,0,257,143,113,2
בארי,399,804,669,2,667,0,552,50,50,1
בוסתן הגליל,559,518,403,1,402,0,174,150,58,12
בועיינה-נוג'ידאת,482,5550,3650,43,3607,3058,195,67,1,49
בוקעאתא,4001,363,17,0,17,1,5,8,1,1
בורגתה,698,777,628,4,624,0,320,175,103,6
בחן,2043,520,418,0,418,2,270,75,62,0
בטחה,762,536,438,1,437,0,22,317,9,61
ביצרון,234,811,670,4,666,0,425,125,102,3
ביר אל-מכסור,998,5562,2717,45,2672,1780,262,52,397,168
ביר הדאג',1348,583,406,7,399,393,2,1,0,0
ביריה,368,583,434,4,430,0,39,258,15,58
בית אורן,317,280,193,0,193,1,116,43,28,1
בית אל,3574,3210,2730,4,2726,0,5,1924,2,39
בית אלעזרי,562,976,800,2,798,2,318,319,129,11
בית אלפא,95,672,495,6,489,3,356,77,28,3
בית אריה,3652,3082,2429,25,2404,2,281,1705,254,62
בית ג'ן,480,7819,4182,44,4138,250,2144,1413,125,99
בית גוברין,619,276,220,0,220,1,160,17,34,1
בית גמליאל,571,680,563,2,561,0,19,441,22,18
בית דגן,466,4833,3774,17,3757,3,641,2273,417,256
בית הגדי,723,468,397,5,392,0,7,271,4,7
בית הלוי,373,513,420,1,419,1,262,73,66,1
בית הלל,322,526,391,0,391,0,249,62,69,2
בית העמק,572,474,339,2,337,2,246,46,36,1
בית הערבה,3645,62,53,2,51,0,14,30,2,1
בית השיטה,242,1006,750,6,744,1,529,108,81,2
בית זיד,353,108,68,0,68,0,49,9,8,1
בית זית,710,1054,805,3,802,6,427,229,109,12
בית זרע,143,576,402,0,402,1,326,40,28,0
בית חורון,3575,706,606,0,606,0,17,499,10,21
בית חירות,877,561,453,1,452,0,341,41,61,1
בית חלקיה,2033,391,330,2,328,0,1,11,1,302
בית חנן,159,586,476,0,476,1,271,99,95,1
בית חנניה,800,554,458,1,457,2,233,104,110,1
בית חשמונאי,1050,1365,1087,4,1083,0,387,481,178,20
בית יהושע,288,661,530,1,529,1,317,103,93,4
בית יוסף,265,323,195,4,191,0,18,129,4,34
בית ינאי,200,321,222,0,222,1,167,26,27,0
בית יצחק-שער חפר,326,1617,1303,4,1299,1,840,225,211,6
בית לחם הגלילית,430,560,443,4,439,1,274,88,61,3
בית מאיר,751,355,285,2,283,0,4,181,9,43
בית נחמיה,784,611,477,2,475,1,156,219,77,7
בית ניר,16,377,305,0,305,0,254,17,31,0
בית נקופה,672,406,315,1,314,1,110,139,42,10
בית עובד,202,267,225,0,225,0,158,32,26,0
בית עוזיאל,301,434,334,1,333,1,56,219,23,16
בית עזרא,756,792,634,6,628,0,191,311,63,35
בית עריף,604,672,551,3,548,0,64,375,38,42
בית קמה,598,565,471,1,470,1,299,84,78,2
