שם ישוב,סמל ישוב,בז''ב,מצביעים,כשרים,פסולים,Arabs,Left,Right,Center,Orthodox
כמאנה,1331,750,407,389,18,247,6,11,58,55
כמון,1201,358,269,267,2,5,94,25,113,1
כנף,4028,179,144,143,1,0,18,62,45,0
כנרת (מושבה),63,395,282,279,3,1,84,83,95,3
כנרת (קבוצה),57,581,393,392,1,2,185,54,138,5
כסיפה,1059,5138,1863,1824,39,1597,52,69,27,43
כסלון,859,230,154,151,3,0,15,74,5,50
כסרא-סמיע,1296,4026,2732,2688,44,170,872,591,174,202
כעביה-טבאש-חג'אג',978,2547,1130,1092,38,638,183,46,99,100
כפר אביב,857,488,379,379,0,0,89,110,165,6
כפר אדומים,3638,1467,1187,1183,4,1,27,1006,73,14
כפר אוריה,364,317,238,236,2,1,62,86,60,11
כפר אחים,690,450,316,315,1,0,72,104,131,5
כפר ביאליק,220,411,278,277,1,1,79,90,97,4
"כפר ביל""ו",177,763,601,596,5,2,240,102,225,5
כפר בלום,357,573,359,356,3,3,159,43,131,0
כפר בן נון,2010,388,301,301,0,2,75,98,104,2
כפר ברא,633,1415,839,839,0,763,35,7,29,0
כפר ברוך,132,251,177,175,2,0,39,53,78,2
כפר גדעון,106,146,99,99,0,0,2,35,4,55
כפר גלים,427,79,50,49,1,0,15,15,15,0
כפר גליקסון,310,271,189,188,1,1,89,12,80,1
כפר גלעדי,76,558,350,345,5,0,171,40,119,3
כפר דניאל,707,301,242,241,1,2,91,32,112,0
כפר האורנים,3796,1071,893,886,7,0,218,238,393,8
כפר החורש,192,407,298,295,3,0,141,39,99,3
כפר המכבי,254,264,177,177,0,1,81,13,79,0
כפר הנגיד,582,704,513,512,1,1,130,129,237,4
כפר הנוער הדתי,890,63,32,32,0,0,0,28,0,3
כפר הנשיא,443,617,342,341,1,0,175,31,119,0
כפר הס,187,825,647,645,2,2,274,81,269,0
"כפר הרא""ה",217,603,499,498,1,0,10,425,20,22
"כפר הרי""ף",888,463,353,352,1,0,82,97,152,8
כפר ויתקין,190,1183,906,902,4,6,374,88,399,6
כפר ורבורג,320,645,505,504,1,0,156,128,207,0
כפר ורדים,1263,4205,3071,3059,12,20,920,609,1364,38
כפר זיתים,786,345,218,213,5,0,21,136,28,27
"כפר חב""ד",696,3008,1960,1948,12,0,3,1604,1,318
כפר חושן,609,444,300,299,1,0,97,118,35,49
כפר חיטים,255,390,265,264,1,0,85,66,88,15
כפר חיים,193,413,318,316,2,2,134,50,117,3
כפר חנניה,1297,274,204,202,2,1,25,98,56,16
כפר חסידים א',112,484,363,357,6,0,47,184,95,27
כפר חסידים ב',889,125,92,91,1,0,8,55,22,4
כפר חרוב,4004,271,173,173,0,2,35,37,94,1
כפר טרומן,673,451,402,400,2,0,89,142,141,12
כפר יאסיף,507,6137,4115,4053,62,3790,80,57,90,3
כפר ידידיה,233,439,357,355,2,2,143,26,161,2
כפר יהושע,140,562,457,454,3,4,202,50,184,0
כפר יונה,168,10790,7117,7039,78,14,866,2768,2635,552
כפר יחזקאל,85,541,437,436,1,2,162,70,186,1
כפר יעבץ,170,458,328,322,6,0,21,190,37,64
כפר כמא,508,2065,535,499,36,56,199,12,214,6
כפר כנא,509,10269,5964,5897,67,5567,71,71,39,99
כפר מונש,387,624,471,464,7,1,167,87,193,1
כפר מימון,1095,362,316,316,0,0,4,283,10,15
"כפר מל""ל",98,283,222,222,0,1,75,43,93,1
כפר מנדא,510,8229,5607,5458,149,4529,118,16,59,578
כפר מנחם,274,628,455,452,3,33,240,24,131,0
כפר מסריק,297,490,373,373,0,0,249,14,99,1
כפר מצר,512,1286,580,563,17,382,70,6,56,44
כפר מרדכי,764,363,290,287,3,0,111,34,131,1
כפר נטר,316,591,484,480,4,2,129,87,237,1
כפר סאלד,345,422,285,282,3,2,156,18,82,0
כפר סבא,6900,68488,46490,46066,424,141,9154,16654,16491,2316
כפר סילבר,107,98,61,61,0,0,18,21,21,0
כפר סירקין,249,756,600,597,3,4,146,118,291,11
כפר עזה,845,619,450,450,0,7,105,32,293,1
כפר עציון,3488,367,292,289,3,2,14,242,9,6
כפר פינס,189,306,261,259,2,0,5,243,3,6
כפר קאסם,634,10071,7397,7352,45,6076,1052,33,153,11
כפר קיש,388,265,182,181,1,0,53,34,74,10
כפר קרע,654,9150,6363,6315,48,5892,102,28,116,37
כפר ראש הנקרה,579,730,515,514,1,2,223,90,180,4
כפר רוזנואלד (זרע,1130,198,119,119,0,0,34,47,17,17
כפר רופין,295,395,267,267,0,2,144,28,78,0
כפר רות,1166,187,128,128,0,0,21,53,37,5
כפר שמאי,605,253,153,152,1,0,18,80,17,33
כפר שמואל,743,500,401,399,2,1,119,110,144,8
כפר שמריהו,267,1643,1085,1072,13,5,296,217,528,5
כפר תבור,47,2071,1463,1457,6,2,414,412,553,39
כפר תפוח,3572,488,382,381,1,1,2,340,1,33
כרכום,1285,403,288,288,0,1,84,68,122,3
כרם בן זמרה,664,321,231,231,0,1,19,157,29,22
כרם יבנה (ישיבה),1094,173,152,152,0,0,0,130,0,22
"כרם מהר""ל",580,468,374,373,1,3,105,85,131,2
כרם שלום,1085,76,28,28,0,0,7,10,9,0
כרמי יוסף,1264,1406,1064,1060,4,9,322,228,462,5
כרמי צור,3766,324,275,274,1,0,0,260,0,14
כרמיאל,1139,38864,23494,23041,453,192,2230,13111,5837,1169
כרמיה,768,424,270,266,4,1,76,87,93,5
כרמל,3656,234,196,196,0,0,1,186,1,8
לבון,1207,247,183,179,4,0,52,36,79,2
לביא,585,503,399,396,3,0,8,338,27,12
לבנים,1230,266,184,183,1,0,36,78,53,5
להב,2023,341,239,239,0,1,166,13,51,0
להבות הבשן,380,439,303,299,4,7,165,24,89,0
להבות חביבה,715,296,198,196,2,1,108,20,60,0
להבים,1271,4134,3035,3028,7,18,819,871,1202,35
לוד,7000,50723,28094,27475,619,3539,1548,14269,3789,3836
לוזית,52,232,134,134,0,1,24,38,1,70
לוחמי הגיטאות,595,427,296,293,3,0,173,26,89,2
לוטם,1171,250,174,169,5,7,61,25,54,0
לוטן,1255,132,84,83,1,0,17,7,37,2
לימן,674,453,335,335,0,0,62,104,155,5
לכיש,24,402,334,332,2,1,169,48,99,2
לפיד,1310,1342,1054,1047,7,5,233,333,423,22
לפידות,1173,128,93,93,0,0,51,23,7,10
לקיה,1060,4516,2013,1963,50,1879,12,25,4,9
מאור,2055,605,442,439,3,0,88,163,153,19
מאיר שפיה,102,95,40,40,0,0,8,17,15,0
מבוא ביתר,771,279,180,179,1,0,25,86,56,0
מבוא דותן,3569,223,124,124,0,0,1,88,29,4
מבוא חורון,3709,591,540,539,1,0,0,457,0,79
מבוא חמה,4204,332,201,201,0,1,53,38,91,2
מבוא מודיעים,1141,165,99,94,5,0,0,73,3,9
מבועים,1080,674,454,447,7,1,75,217,114,28
מבטחים,829,344,200,199,1,0,71,79,26,22
מבקיעים,573,239,158,158,0,0,17,73,54,11
מבשרת ציון,1015,17495,11982,11892,90,84,2671,4720,3325,759
מג'דל שמס,4201,388,81,78,3,0,4,47,12,14
מגאר,481,11868,4365,4252,113,1830,896,759,525,170
מגדים,689,630,482,479,3,0,72,171,168,56
מגדל,65,1056,619,618,1,4,42,309,101,157
מגדל העמק,874,19674,11628,11400,228,17,685,6790,1942,1748
מגדל עוז,3561,226,160,158,2,0,0,149,0,5
מגדלים,3751,91,51,51,0,0,0,43,7,0
מגידו,586,414,332,331,1,3,125,55,124,10
מגל,375,500,404,403,1,4,156,25,197,2
מגן,695,410,304,302,2,5,188,10,88,0
מגן שאול,1155,271,160,160,0,0,27,100,24,5
מגשימים,722,555,424,421,3,1,85,130,179,5
מדרך עוז,2029,394,265,264,1,1,17,129,63,48
מדרשת בן גוריון,1140,714,532,531,1,15,211,73,147,0
מודיעין עילית,3797,15679,13635,13575,60,0,3,444,7,13109
מודיעין-מכבים-רעו,1200,42244,31971,31781,190,61,5824,13012,10958,862
מולדת,269,629,472,471,1,0,170,72,214,3
מוצא עילית,208,625,411,409,2,12,159,80,133,2
מוקייבלה,635,1684,929,917,12,845,4,45,2,15
מורן,1163,181,133,132,1,0,49,20,58,0
מורשת,1178,551,463,463,0,0,2,435,3,18
מזור,606,689,536,534,2,4,115,146,233,7
מזכרת בתיה,28,6707,4791,4752,39,4,955,1689,1705,236
מזרע,104,665,467,465,2,1,301,27,119,2
מזרעה,517,2234,1284,1263,21,1134,70,8,23,7
מחולה,3599,262,200,199,1,0,1,178,5,12
מחנה טלי,1418,162,117,117,0,0,24,35,50,5
מחנה יוכבד,1416,107,54,54,0,0,9,16,29,0
מחנה יפה,1415,194,127,126,1,1,31,38,54,2
מחנה תל נוף,1412,178,109,109,0,0,16,40,52,0
מחניים,308,333,226,223,3,2,112,29,66,2
מחסיה,776,265,177,176,1,0,15,95,15,48
מטולה,43,1224,773,769,4,7,163,216,324,11
מטע,822,404,273,271,2,9,53,95,67,26
מי עמי,1128,198,282,281,1,3,56,118,77,13
מיטב,2054,326,217,215,2,0,18,145,22,26
מייסר,649,931,355,349,6,321,20,2,2,2
מירב,1282,210,186,186,0,0,2,174,3,5
מירון,607,359,235,232,3,0,2,176,5,48
מישר,731,404,324,322,2,1,117,79,111,4
מיתר,1268,5076,3730,3717,13,8,747,1467,1306,69
מכורה,3614,113,74,72,2,0,6,27,34,1
מכמורת,382,986,661,659,2,5,248,101,259,6
מכמנים,1202,203,154,154,0,1,55,20,61,0
מלאה,164,224,167,167,0,0,11,87,30,38
מלילות,2044,212,143,142,1,1,14,93,8,25
מלכיה,596,361,240,239,1,0,119,35,75,3
מנוחה,2030,279,183,181,2,0,14,120,13,33
מנוף,1174,436,317,317,0,4,114,41,140,1
מנות,1205,241,177,175,2,0,33,78,46,14
מנחמיה,48,891,525,522,3,1,65,264,143,37
מנרה,347,200,125,123,2,0,77,6,35,0
מנשית זבדה,994,563,331,327,4,217,53,4,43,0
מסד,1258,344,246,243,3,0,119,33,82,5
מסדה,263,240,155,155,0,0,66,24,56,0
מסילות,298,487,296,296,0,0,168,13,103,3
מסילת ציון,742,520,402,401,1,1,96,105,163,27
מסלול,748,308,212,211,1,0,56,68,60,21
מסעדה,4203,144,78,78,0,0,3,31,2,41
מסעודין אל-עזאזמה,939,4400,1296,1246,50,1123,12,13,23,21
מעברות,197,721,554,549,5,7,339,28,160,2
מעגלים,1082,664,469,469,0,0,18,336,12,100
מעגן,678,295,178,174,4,0,64,26,62,0
מעגן מיכאל,694,1306,927,922,5,4,543,54,257,1
מעוז חיים,272,438,283,283,0,0,165,27,82,0
מעון,3657,192,151,150,1,0,0,144,0,6
מעונה,570,459,345,344,1,1,114,120,70,35
מעטפות כפולות,0,186919,186919,184391,2528,4114,27276,85350,39003,19185
מעיליא,518,2116,1344,1313,31,957,91,66,178,4
מעין ברוך,416,338,219,219,0,0,119,16,73,0
מעין צבי,290,539,364,359,5,1,183,38,125,1
מעלה אדומים,3616,22714,15071,14918,153,14,590,10944,1884,1264
מעלה אפרים,3608,1210,594,585,9,1,35,351,145,27
מעלה גלבוע,1127,226,184,184,0,0,13,127,25,3
מעלה גמלא,4008,330,198,197,1,0,47,47,95,0
מעלה החמישה,286,399,235,233,2,1,112,25,86,0
מעלה לבונה,3752,310,226,225,1,0,0,209,0,13
מעלה מכמש,3651,612,514,511,3,0,1,457,5,43
מעלה עירון,1327,6907,3103,3056,47,2914,44,25,33,9
מעלה עמוס,3653,170,108,107,1,0,0,28,0,79
מעלה שומרון,3637,410,302,301,1,1,3,260,13,16
מעלות-תרשיחא,1063,16629,10353,10027,326,1715,549,5573,1166,847
מענית,344,454,342,340,2,2,184,23,117,0
מעש,230,618,479,477,2,1,122,132,197,4
מפלסים,668,491,335,335,0,3,145,40,133,1
מצדות יהודה,3745,240,203,201,2,0,0,196,0,5
מצובה,325,485,311,309,2,0,135,30,120,2
מצליח,757,852,555,540,15,0,61,280,147,42
מצפה,58,135,91,91,0,0,16,29,40,2
"מצפה אבי""ב",1222,426,337,337,0,8,88,49,174,2
מצפה יריחו,3576,893,718,716,2,0,1,680,1,31
מצפה נטופה,1190,394,323,323,0,0,12,281,5,10
מצפה רמון,99,3359,1889,1840,49,17,220,1107,285,127
מצפה שלם,3610,127,91,90,1,1,32,11,36,1
מצר,648,393,284,284,0,2,182,7,87,0
מקווה ישראל,22,188,127,124,3,0,42,41,30,5
מרגליות,843,288,154,151,3,0,33,56,42,15
מרום גולן,4101,424,276,276,0,0,80,71,111,1
מרחביה (מושב),97,500,388,387,1,2,116,109,144,1
מרחביה (קיבוץ),66,579,410,408,2,2,181,54,157,7
מרכז שפירא,1098,1179,975,967,8,0,11,797,12,132
משאבי שדה,421,460,302,301,1,0,168,21,100,2
משגב דב,765,428,327,327,0,1,69,94,156,0
משגב עם,378,202,125,125,0,2,68,14,33,1
משהד,520,3989,2010,1987,23,1802,82,28,12,47
משואה,3605,136,86,86,0,0,6,50,25,2
משואות יצחק,620,460,379,376,3,0,12,329,22,4
משמר איילון,670,315,233,230,3,0,61,92,62,4
משמר דוד,563,136,88,88,0,0,31,6,47,0
משמר הירדן,732,372,259,257,2,1,32,137,55,20
משמר הנגב,395,662,392,392,0,1,209,22,139,0
משמר העמק,130,801,592,591,1,1,361,16,195,0
משמר השבעה,729,540,410,409,1,0,90,124,170,9
משמר השרון,194,445,291,289,2,1,213,21,45,1
משמרות,213,239,178,177,1,1,90,11,62,1
משמרת,425,531,434,430,4,1,155,78,186,0
משען,791,540,358,353,5,0,14,219,59,57
מתן,1315,1841,1477,1463,14,1,355,397,652,15
מתת,1184,119,79,79,0,2,23,16,29,0
מתתיהו,3648,215,175,174,1,0,0,7,1,166
נאות גולן,4551,312,189,186,3,0,22,76,77,2
נאות הכיכר,1124,275,160,160,0,1,38,37,75,1
נאות מרדכי,408,459,314,314,0,1,153,47,101,2
נאות סמדר,1197,280,159,159,0,0,61,23,54,4
נאעורה,524,1060,596,592,4,539,34,2,3,0
נבטים,396,501,353,349,4,2,117,118,87,20
נגבה,315,508,339,337,2,1,187,20,121,0
נהורה,309,775,524,517,7,0,54,235,135,83
נהלל,80,607,445,443,2,0,134,91,202,0
נהריה,9100,43940,26138,25793,345,88,2885,13562,6651,1967
נוב,4304,398,316,315,1,0,0,300,5,8
נוגה,55,317,176,176,0,0,53,88,16,8
נווה אבות,926,62,2,2,0,0,1,0,1,0
נווה אור,590,315,211,211,0,1,109,22,65,0
"נווה אטי""ב",4303,152,101,101,0,0,7,48,44,0
נווה אילן,405,337,194,192,2,4,60,39,70,3
נווה איתן,296,215,141,141,0,3,56,17,46,1
נווה דניאל,3725,939,779,777,2,1,0,744,5,14
נווה זיו,1314,333,242,239,3,2,56,75,89,7
נווה ים,312,175,128,127,1,0,31,26,66,1
נווה ימין,686,856,603,599,4,1,65,316,157,47
נווה ירק,858,748,606,603,3,1,157,116,308,3
נווה מבטח,827,451,313,312,1,0,103,58,135,9
נווה מיכאל,1071,275,179,178,1,0,14,95,21,44
נווה שלום,1259,139,110,109,1,72,27,0,4,0
נועם,15,304,198,195,3,1,0,103,9,81
נוף איילון,1333,1162,1000,999,1,0,0,887,5,104
נופים,3790,317,202,201,1,0,2,174,12,11
נופית,1284,1678,1359,1355,4,3,357,286,652,15
נופך,257,257,188,188,0,1,12,76,66,26
נוקדים,3726,524,379,375,4,0,1,350,3,17
נורדיה,447,1540,1128,1120,8,0,214,371,482,9
נחושה,59,178,127,127,0,0,2,71,1,51
נחל עוז,844,284,179,179,0,1,82,23,65,0
נחלה,2045,330,219,216,3,0,25,89,28,71
נחליאל,3767,190,141,140,1,0,0,92,0,48
נחלים,449,763,664,657,7,0,7,605,11,26
נחם,809,353,246,245,1,1,6,121,19,95
נחף,522,5869,4116,4093,23,3647,110,12,22,262
נחשולים,433,373,280,277,3,1,118,19,129,0
נחשון,777,369,280,280,0,7,186,8,69,0
נחשונים,705,300,219,216,3,1,116,10,78,0
נטועה,1147,210,148,148,0,0,50,52,20,25
נטעים,174,381,301,301,0,1,102,75,105,6
נטף,1254,277,202,202,0,10,74,20,62,1
ניין,523,945,545,530,15,469,27,7,7,5
"ניל""י",3655,564,444,440,4,0,21,282,97,17
ניצן,351,261,193,193,0,0,6,157,9,12
ניצן ב',1419,1478,1126,1113,13,0,10,954,26,116
ניצני סיני,1280,368,215,214,1,0,45,68,82,2
ניצני עוז,851,568,413,409,4,0,79,144,169,7
ניצנים,359,363,258,255,3,1,103,13,126,2
ניר אליהו,808,345,244,243,1,0,111,24,99,1
ניר בנים,553,461,346,345,1,0,122,52,159,0
ניר גלים,720,387,320,315,5,0,6,279,9,14
ניר דוד (תל עמל),256,538,404,401,3,1,238,5,144,2
"ניר ח""ן",11,318,198,198,0,1,41,87,50,11
ניר יפה,165,342,213,212,1,0,50,64,86,4
ניר יצחק,402,513,356,356,0,8,256,11,72,1
ניר ישראל,699,528,388,384,4,0,109,92,168,4
ניר משה,2047,310,206,205,1,0,53,57,78,9
ניר עוז,69,315,235,234,1,2,118,11,97,0
ניר עם,348,321,190,189,1,2,87,27,67,1
ניר עציון,769,406,281,278,3,10,11,213,18,5
ניר עקיבא,2048,218,154,154,0,1,32,60,34,16
ניר צבי,331,816,656,649,7,3,177,139,298,10
נירים,602,363,255,254,1,6,152,12,79,1
נירית,1236,796,635,631,4,4,188,111,287,6
נירן,3620,55,43,43,0,2,37,2,0,0
נס הרים,825,439,281,277,4,1,34,162,48,28
נס ציונה,7200,25302,17624,17459,165,41,3284,6089,6450,1087
נעורים,186,127,58,57,1,0,12,10,29,5
נעלה,3787,467,341,339,2,0,30,224,66,7
"נעמ""ה",3713,95,61,61,0,0,6,22,29,1
נען,158,1097,788,782,6,1,450,50,248,3
נצאצרה (שבט),1041,246,58,56,2,52,0,1,0,1
נצר סרני,435,570,421,420,1,0,237,29,123,3
נצרת,7300,47041,22506,22137,369,20462,506,324,375,116
נצרת עילית,1061,39340,21178,20562,616,1917,1300,12735,3623,546
נשר,2500,17865,11112,10927,185,37,1117,5836,2979,710
נתיב הגדוד,3555,130,70,70,0,0,11,20,36,0
"נתיב הל""ה",693,347,255,253,2,1,150,17,71,2
נתיב העשרה,1242,538,415,414,1,1,76,151,174,2
נתיב השיירה,792,384,283,280,3,1,114,76,54,13
נתיבות,246,16470,11034,10891,143,20,225,5046,523,4955
נתניה,7400,150183,82783,81367,1416,127,7431,42544,18579,10686
סאג'ור,525,2237,1272,1261,11,84,354,503,198,117
סאסא,578,422,283,283,0,2,142,22,93,0
סביון,587,3065,2081,2062,19,10,584,515,883,27
סגולה,2046,336,240,239,1,0,75,49,102,2
סואעד (חמרייה),942,82,50,49,1,32,3,10,4,0
סולם,526,1533,954,944,10,841,39,7,12,36
סוסיה,3756,367,281,281,0,0,0,260,0,15
סופה,1238,163,119,117,2,0,48,23,44,1
סח'נין,7500,15519,12763,12736,27,12413,93,28,15,118
סייד (שבט),1170,1105,231,218,13,148,16,7,15,29
סלמה,1245,1484,622,605,17,445,29,38,55,19
סלעית,3567,348,254,254,0,1,42,68,129,0
סמר,1156,290,180,180,0,9,88,12,49,2
סעד,419,530,424,424,0,0,31,277,59,3
סער,454,381,241,241,0,1,142,24,66,2
ספיר,1176,281,172,170,2,1,43,57,51,9
סתריה,610,655,495,494,1,0,170,117,192,3
ע'ג'ר,4501,1193,270,253,17,15,101,32,15,78
עבדון,892,367,262,261,1,1,94,73,19,73
עברון,376,606,461,457,4,3,336,23,79,1
עגור,794,250,176,170,6,1,23,73,34,35
עדי,1199,1141,898,892,6,2,167,247,444,10
עדנים,2035,284,218,216,2,1,60,53,94,0
עוזה,826,396,247,244,3,0,3,97,5,139
עוזייר,528,1331,456,448,8,391,7,5,24,1
עולש,737,600,466,464,2,1,107,105,206,21
עומר,666,5706,4178,4162,16,39,1288,1206,1496,38
עופר,810,309,235,230,5,5,52,75,64,6
עופרה,3617,1480,1241,1227,14,0,2,1170,5,37
עוצם,32,382,256,255,1,0,11,76,4,164
עוקבי (בנו עוקבה),957,175,58,57,1,50,0,5,2,0
עזר,1149,557,399,399,0,0,61,137,172,18
עזריאל,837,435,338,335,3,0,12,259,28,28
עזריה,711,570,420,417,3,0,29,260,62,55
עזריקם,817,721,494,493,1,1,37,281,98,75
עטאוונה (שבט),969,109,8,7,1,4,0,1,0,1
עטרת,3658,227,200,199,1,0,0,193,0,6
עידן,1175,266,149,148,1,0,51,26,64,3
עיילבון,530,3211,2344,2319,25,1867,242,73,101,11
עיינות,156,65,34,34,0,0,9,10,10,0
עילוט,511,3656,1515,1470,45,1185,178,41,48,3
עין איילה,687,556,438,437,1,0,107,88,214,1
עין אל-אסד,546,517,235,233,2,27,64,116,22,3
עין גב,273,447,295,293,2,1,121,38,126,0
עין גדי,2042,438,282,281,1,0,123,26,117,3
עין דור,436,698,404,403,1,3,216,30,139,1
עין הבשור,1240,572,448,448,0,4,128,121,176,1
עין הוד,74,345,236,236,0,1,90,26,90,1
עין החורש,167,654,507,507,0,7,363,23,101,0
עין המפרץ,289,640,469,469,0,1,310,10,131,2
"עין הנצי""ב",383,419,325,324,1,1,21,261,19,3
עין העמק,367,481,323,322,1,0,26,175,86,23
עין השופט,270,771,492,487,5,2,321,22,132,0
עין השלושה,676,304,187,185,2,0,66,21,90,0
עין ורד,157,818,656,650,6,5,262,87,283,0
עין זיוון,4503,195,119,119,0,1,38,31,40,0
עין חוד,1320,113,46,45,1,34,4,2,0,2
עין חרוד (איחוד),89,543,387,384,3,4,165,46,158,0
עין חרוד (מאוחד),82,670,475,473,2,0,258,71,128,3
עין יהב,806,458,349,349,0,4,146,32,156,0
עין יעקב,813,503,366,364,2,0,89,148,59,53
עין כרמל,426,354,264,262,2,0,154,24,69,0
עין מאהל,532,6374,3562,3538,24,3357,37,29,18,59
עין נקובא,521,1025,436,385,51,273,80,6,6,4
עין עירון,223,334,248,247,1,2,63,25,128,2
עין צורים,622,725,587,586,1,0,16,521,8,14
עין ראפה,514,448,194,189,5,157,18,4,5,1
עין שמר,139,592,415,410,5,5,239,27,129,0
עין שריד,880,840,599,592,7,4,102,177,224,67
עין תמר,1251,115,78,78,0,0,12,19,41,0
עינת,871,438,344,341,3,0,166,33,128,2
עיר כרמל,494,17253,7735,7630,105,1152,2524,1673,1538,555
עכו,7600,38794,22718,22244,474,5288,1009,10628,2701,2329
עלומים,1146,304,233,233,0,0,5,209,8,2
עלי,3765,1417,1064,1054,10,0,4,937,17,88
עלי זהב,3727,451,337,335,2,0,2,297,17,15
עלמה,688,505,316,314,2,0,16,201,6,88
עלמון,3715,539,400,399,1,1,17,287,71,4
עמוקה,1212,172,110,110,0,2,53,13,35,3
עמינדב,779,471,341,339,2,3,62,153,87,16
עמיעד,385,475,278,278,0,2,120,10,136,0
עמיעוז,318,205,129,125,4,0,25,58,19,23
עמיקם,773,360,282,280,2,0,43,75,133,1
עמיר,319,483,338,336,2,10,216,21,84,0
עמנואל,3660,1678,1114,1100,14,0,1,277,4,818
עמקה,708,432,297,292,5,1,10,180,46,48
ענב,3712,362,278,277,1,0,5,227,3,41
עפולה,7700,32576,18220,17923,297,40,1302,11182,3379,1522
עץ אפרים,3778,483,375,369,6,0,5,272,46,34
עראבה,531,11630,7728,7719,9,7413,161,11,93,13
עראמשה,1246,801,321,293,28,90,152,7,28,12
ערב אל נעים,1335,270,85,77,8,34,3,12,1,4
ערד,2560,20293,10972,10739,233,63,1088,5807,2433,1025
ערוגות,593,559,435,433,2,0,125,125,169,6
ערערה,637,9672,5429,5386,43,5210,81,14,12,6
ערערה-בנגב,1192,4619,2709,2664,45,2555,11,27,37,8
עשרת,591,829,651,645,6,1,196,113,310,2
עתלית,53,3843,2475,2443,32,4,358,1059,758,206
עתניאל,3748,339,274,274,0,0,0,259,0,13
פארן,1151,344,235,235,0,1,81,15,131,1
פדואל,3768,541,462,461,1,0,0,441,0,18
פדויים,750,253,155,152,3,0,9,80,16,42
פדיה,838,429,302,302,0,0,27,168,74,31
פוריה - כפר עבודה,1104,201,134,130,4,0,9,75,32,12
פוריה - נווה עובד,1105,737,454,453,1,3,33,289,72,45
פוריה עילית,1313,499,329,325,4,1,54,156,102,6
פוריידיס,537,6412,2524,2508,16,1982,82,16,59,346
פורת,767,697,385,378,7,0,11,168,24,165
פטיש,749,503,350,346,4,0,53,144,31,115
פלמחים,597,507,318,317,1,0,165,24,115,3
פני חבר,3723,133,108,108,0,0,1,95,0,11
פסגות,3659,852,740,736,4,0,0,698,2,26
פסוטה,535,2188,807,800,7,402,127,30,112,115
"פעמי תש""ז",2059,259,171,169,2,1,29,51,20,66
פצאל,3615,223,146,146,0,0,27,72,40,5
פקיעין (בוקייעה),536,3487,2179,2154,25,717,607,594,151,64
פקיעין חדשה,281,245,171,170,1,0,41,48,17,63
פרדס חנה-כרכור,7800,22740,13946,13730,216,87,2060,5881,3965,1100
פרדסיה,171,4432,3286,3266,20,3,638,919,1438,182
פרוד,599,265,157,156,1,1,78,18,42,5
פרזון,2053,284,172,170,2,0,19,122,14,12
פרי גן,1231,117,76,75,1,0,21,19,31,3
פתח תקווה,7900,155678,100123,98905,1218,150,10948,50877,23405,11459
פתחיה,839,564,393,391,2,1,32,208,100,40
צאלים,413,367,252,247,5,0,133,25,80,0
צביה,1180,214,160,160,0,2,41,10,89,0
צובה,465,535,373,372,1,1,246,26,84,0
צוחר,1136,334,196,195,1,0,24,83,54,30
צופים,3791,616,466,465,1,0,11,371,58,22
צופית,198,694,550,548,2,4,204,100,214,4
צופר,1150,290,220,219,1,0,59,35,112,0
צוקי ים,1102,136,101,101,0,1,37,16,40,1
צור הדסה,1113,2643,1970,1956,14,27,430,756,600,36
צור יצחק,1345,77,70,69,1,1,9,26,31,1
צור משה,276,1462,1176,1167,9,7,363,183,576,9
צור נתן,1148,206,148,148,0,3,11,71,62,0
צוריאל,774,239,158,157,1,0,31,71,17,36
צורית,1221,507,418,416,2,0,95,95,204,2
ציפורי,613,473,348,348,0,3,89,85,132,2
צלפון,796,473,326,326,0,0,39,193,36,56
צנדלה,636,915,418,411,7,405,3,1,1,0
צפריה,594,344,283,281,2,0,10,241,13,13
צפרירים,1079,247,155,152,3,2,46,36,43,21
צפת,8000,19717,10920,10784,136,105,492,5831,1035,3083
צרופה,612,551,415,412,3,0,51,176,141,29
צרעה,567,799,512,503,9,10,278,20,175,1
קבועה (שבט),1234,457,258,255,3,247,2,3,0,0
קבוצת יבנה,334,595,424,423,1,0,22,285,71,4
קדומים,3557,2082,1716,1705,11,1,3,1634,5,51
קדימה-צורן,195,10626,7615,7541,74,13,1343,2537,2952,533
קדמת צבי,4025,268,173,173,0,1,32,56,78,0
קדר,3781,456,329,326,3,0,8,234,55,17
קדרון,615,960,751,750,1,1,259,115,342,4
קודייראת א-צאנע(ש,964,931,192,191,1,162,1,8,4,5
קוואעין (שבט),972,274,35,35,0,29,1,2,0,1
קוממיות,766,222,124,122,2,0,0,2,0,120
קורנית,1179,438,341,337,4,1,131,45,135,0
קטורה,1052,409,204,201,3,0,45,27,75,1
קיסריה,1167,3380,2258,2244,14,5,514,656,992,15
קלחים,414,219,147,147,0,0,48,29,28,39
קליה,3601,227,144,144,0,0,27,51,56,1
קלנסווה,638,9850,5776,5714,62,5558,78,15,6,11
קלע,4024,111,60,60,0,1,3,33,14,3
קציר-חריש,1247,2243,1524,1506,18,21,206,617,444,113
קצר א-סר,1347,397,258,257,1,249,0,1,0,2
קצרין,4100,5363,3028,2923,105,8,193,1704,760,175
קרית אונו,2620,23408,16370,16216,154,54,3538,5482,5911,793
קרית ארבע,3611,3979,2682,2655,27,3,22,2340,65,200
קרית אתא,6800,41963,25339,24906,433,42,2066,13728,5950,2621
קרית ביאליק,9500,32888,20414,20079,335,24,2990,8677,6982,923
קרית גת,2630,37341,22667,22236,431,41,1269,12810,3333,4375
