שם ישוב,סמל ישוב,בז''ב,מצביעים,כשרים,פסולים,Arabs,Left,Right,Center,Orthodox
אשקלון,7100,89652,50644,49795,849,83,3460,31440,7978,5844
אשרת,1256,325,216,212,4,0,16,108,68,16
אשתאול,740,564,417,415,2,0,46,177,44,132
באקה-ג'ת,6000,19505,9704,9550,154,8887,470,34,50,4
באר טוביה,155,563,456,456,0,0,225,58,163,0
באר יעקב,2530,5786,3627,3573,54,9,373,1505,1023,547
באר שבע,9000,148214,79215,77853,1362,382,6933,44682,15257,9024
בארות יצחק,450,369,261,261,0,0,6,204,30,2
בארותיים,697,529,413,410,3,0,83,88,205,8
בארי,399,757,583,578,5,5,399,38,120,0
בוסתן הגליל,559,389,284,282,2,1,86,77,96,12
בועיינה-נוג'ידאת,482,4473,2516,2463,53,2132,190,15,56,5
בוקעאתא,4001,277,78,77,1,0,13,43,3,16
בורגתה,698,668,494,491,3,0,105,106,252,9
בחן,2043,267,181,180,1,0,77,24,73,1
בטחה,762,485,354,351,3,0,27,195,21,106
ביצרון,234,718,577,576,1,1,160,82,315,2
ביר אל-מכסור,998,4566,1249,1217,32,915,85,68,107,14
ביר הדאג',1348,103,51,48,3,35,3,4,0,1
ביריה,368,501,336,335,1,0,31,148,39,114
בית אורן,317,268,157,157,0,2,60,27,46,1
בית אל,3574,2817,2420,2409,11,2,2,2301,2,84
בית אלעזרי,562,879,646,643,3,3,136,214,256,15
בית אלפא,95,537,358,356,2,3,238,20,89,0
בית אריה,3652,2399,1762,1749,13,1,79,1218,359,55
בית ג'ן,480,6620,4710,4678,32,1067,822,1179,1143,426
בית גוברין,619,206,154,154,0,1,67,15,63,1
בית גמליאל,571,662,512,507,5,0,14,409,24,46
בית דגן,466,4364,3042,3007,35,4,257,1440,826,412
בית הגדי,723,407,299,297,2,0,13,185,10,84
בית הלוי,373,433,333,331,2,4,117,61,130,1
בית הלל,322,444,297,295,2,1,93,40,147,0
בית העמק,572,465,315,311,4,1,188,38,70,0
בית הערבה,3645,50,36,36,0,0,5,15,11,1
בית השיטה,242,910,625,623,2,0,396,64,149,0
בית זית,710,914,664,663,1,14,206,142,225,18
בית זרע,143,569,378,377,1,1,213,24,119,1
בית חורון,3575,578,487,487,0,0,4,426,21,31
בית חירות,877,486,390,385,5,2,146,30,189,0
בית חלקיה,2033,283,229,225,4,0,1,13,1,207
בית חנן,159,473,355,353,2,1,117,58,168,0
בית חנניה,800,450,346,344,2,2,93,73,155,2
בית חשמונאי,1050,1030,775,770,5,1,115,367,244,24
בית יהושע,288,588,477,476,1,4,122,115,222,2
בית יוסף,265,290,172,172,0,1,18,77,11,61
בית ינאי,200,281,190,186,4,2,76,14,86,1
בית יצחק-שער חפר,326,1418,1106,1102,4,5,396,160,507,8
בית לחם הגלילית,430,515,390,388,2,2,129,78,165,3
בית מאיר,751,377,298,298,0,0,8,207,10,65
בית נחמיה,784,514,375,373,2,1,56,139,145,7
בית ניר,16,236,171,171,0,2,113,2,48,0
בית נקופה,672,364,274,270,4,0,54,110,77,13
בית עובד,202,259,192,191,1,0,76,25,83,0
בית עוזיאל,301,375,254,251,3,0,29,126,52,32
בית עזרא,756,679,492,491,1,0,102,193,140,45
בית עריף,604,534,390,388,2,1,27,195,56,104
בית קמה,598,387,281,279,2,0,127,25,115,2
בית קשת,365,286,185,183,2,0,70,17,66,1
בית רבן,848,233,166,166,0,0,0,147,0,19
בית רימון,1162,178,148,148,0,0,4,117,12,2
בית שאן,9200,12724,7157,7051,106,20,421,3988,743,1727
בית שמש,2610,38591,23790,23471,319,36,744,11230,1449,9738
בית שערים,248,501,379,376,3,0,121,82,150,2
בית שקמה,747,466,269,266,3,1,14,182,26,42
ביתן אהרן,252,139,90,90,0,1,28,13,42,1
ביתר עילית,3780,13019,9860,9780,80,1,6,963,6,8798
בלפוריה,94,243,177,176,1,0,54,44,67,3
בן זכאי,760,458,342,338,4,0,6,176,22,127
בן עמי,712,473,370,368,2,2,133,114,104,3
בן שמן (כפר נוער),1084,246,171,171,0,1,56,36,65,8
בן שמן (מושב),2013,460,339,339,0,2,87,95,134,0
בני ברק,6100,88252,63936,63433,503,48,905,8392,1598,52215
בני דרום,592,296,253,253,0,0,2,228,12,4
בני דרור,386,983,724,715,9,1,219,148,323,7
בני יהודה,4015,764,472,470,2,1,65,183,186,5
בני עטרות,448,475,399,399,0,2,137,79,159,2
"בני עי""ש",1066,5589,3729,3632,97,18,195,2525,445,375
בני ציון,418,663,526,525,1,4,129,120,246,8
בני ראם,588,684,526,521,5,0,6,323,17,167
בניה,685,563,456,454,2,1,133,111,191,5
בנימינה-גבעת עדה,9800,7877,5699,5643,56,27,1315,1624,2201,241
"בסמ""ה",1326,4408,2280,2224,56,2123,35,7,25,3
בסמת טבעון,944,3908,1284,1240,44,947,120,57,45,14
בצרה,389,640,491,491,0,5,138,89,227,5
בצת,589,278,200,198,2,2,51,68,69,0
בקוע,864,355,266,264,2,0,18,131,59,55
בקעות,3612,143,93,93,0,0,11,39,37,3
בר גיורא,823,325,235,232,3,2,27,118,31,35
בר יוחאי,1191,292,208,206,2,0,1,138,2,65
ברור חיל,428,497,296,294,2,3,147,30,101,3
ברוש,2060,184,123,122,1,0,14,67,17,23
ברכה,3710,720,563,562,1,0,2,539,1,19
ברכיה,746,612,482,478,4,0,6,229,25,215
ברעם,667,464,288,288,0,2,189,14,76,2
ברק,141,250,165,165,0,0,35,54,66,7
ברקאי,617,418,263,260,3,3,185,13,52,0
