שם ישוב,סמל ישוב,בוחרים,מצביעים,כשרים,פסולים,Arabs,Left,Right,Center,Orthodox
כפר אדומים,3638,640,537,536,1,0,28,424,69,11
כפר אוריה,364,219,167,161,6,0,65,80,3,12
"כפר אז""ר",180,350,304,301,3,3,241,39,14,1
כפר אחים,690,236,190,188,2,0,101,70,10,5
כפר ביאליק,220,326,255,250,5,0,177,51,18,1
"כפר ביל""ו",177,491,407,403,4,0,313,65,17,3
כפר בלום,357,525,392,385,7,0,355,15,12,2
כפר בן נון,2010,248,232,229,3,0,109,100,13,5
כפר ברא,633,835,668,666,2,582,82,2,0,0
כפר ברוך,132,202,167,164,3,0,115,34,10,0
כפר גדעון,106,100,82,82,0,0,8,31,2,38
כפר גלים,427,56,45,45,0,0,29,6,10,0
כפר גליקסון,310,258,209,209,0,2,184,16,6,1
כפר גלעדי,76,609,447,441,6,1,391,17,23,1
כפר דניאל,707,303,204,199,5,1,101,27,57,6
כפר דרום,5405,85,86,86,0,0,1,84,0,1
כפר החורש,192,329,285,281,4,2,252,14,11,1
כפר המכבי,254,272,221,219,2,1,201,11,6,0
כפר הנגיד,582,373,311,302,9,2,206,69,21,2
כפר הנוער הדתי,890,77,48,48,0,0,0,48,0,0
כפר הנשיא,443,570,367,364,3,3,324,8,24,1
כפר הס,187,488,393,390,3,0,296,52,38,2
"כפר הרא""ה",217,500,433,430,3,0,14,389,19,7
"כפר הרי""ף",888,214,180,180,0,0,85,73,13,1
כפר ויתקין,190,772,623,609,14,6,491,58,46,3
כפר ורבורג,320,493,392,385,7,0,259,95,22,4
כפר ורדים,1263,1658,1382,1372,10,4,963,300,85,12
כפר זיתים,786,269,213,206,7,0,28,136,5,34
"כפר חב""ד",696,1769,1347,1336,11,0,4,1258,4,66
כפר חיטים,255,221,176,171,5,0,129,31,9,1
כפר חיים,193,353,285,283,2,0,230,29,21,1
כפר חסידים א',112,359,289,288,1,0,86,169,10,21
כפר חסידים ב',889,110,86,84,2,0,18,55,5,3
כפר חרוב,4004,207,146,146,0,0,82,20,44,0
כפר טרומן,673,288,273,267,6,1,130,114,12,7
כפר יאסיף,507,4463,3707,3635,72,2365,1172,43,5,32
כפר יהושע,140,492,432,426,6,0,332,54,37,0
כפר יונה,168,4472,3586,3514,72,11,919,1760,303,478
כפר יחזקאל,85,382,334,329,5,0,244,47,29,0
כפר יעבץ,170,334,278,273,5,0,29,206,7,26
כפר כמא,508,1503,1033,977,56,203,695,57,2,5
כפר כנא,509,6760,5149,4880,269,3768,850,67,2,15
כפר מונש,387,365,301,298,3,0,213,62,23,0
כפר מימון,1095,379,351,349,2,0,4,332,7,5
"כפר מל""ל",98,204,165,161,4,0,112,40,9,0
כפר מנדא,510,5121,4314,4146,168,1083,335,58,1,226
כפר מנחם,274,562,505,498,7,21,463,9,5,0
כפר מסריק,297,499,414,413,1,0,395,7,11,0
כפר מצר,512,825,633,618,15,228,341,5,1,2
כפר מרדכי,764,258,204,201,3,0,155,36,7,1
כפר נטר,316,343,270,266,4,2,174,66,21,0
כפר סאלד,345,438,343,342,1,1,325,4,9,1
כפר סבא,6900,50774,40632,39993,639,65,18074,14172,3960,3034
כפר סילבר,107,106,73,73,0,0,38,25,10,0
כפר סירקין,249,623,524,519,5,2,343,123,29,13
כפר עזה,845,418,339,337,2,0,314,16,6,0
כפר עציון,3488,259,214,214,0,0,20,170,20,4
כפר פינס,189,253,227,227,0,0,6,214,2,5
כפר קאסם,634,6464,6086,6023,63,5382,615,5,2,4
כפר קיש,388,230,175,167,8,1,109,34,17,1
כפר קרע,654,6211,5468,5347,121,3768,1382,110,2,56
כפר ראש הנקרה,579,449,359,357,2,0,314,14,23,0
כפר רוזנואלד,1130,178,140,137,3,0,52,70,3,11
כפר רופין,295,329,266,260,6,0,220,16,15,2
כפר רות,1166,112,92,92,0,0,37,19,13,23
כפר שמאי,605,177,141,139,2,0,15,91,1,31
כפר שמואל,743,265,214,208,6,0,119,66,10,13
כפר שמריהו,267,1444,1064,1049,15,7,757,226,52,2
כפר תבור,47,982,779,773,6,2,458,236,57,13
כפר תפוח,3572,145,115,113,2,0,0,92,1,17
כרכום,1285,138,124,124,0,0,53,49,19,3
כרם בן זמרה,664,237,197,196,1,0,26,135,8,27
כרם יבנה )ישיבה(,1094,130,121,120,1,0,0,107,0,13
"כרם מהר""ל",580,241,187,185,2,2,101,63,10,7
כרמי יוסף,1264,1051,906,900,6,2,580,226,83,3
כרמי צור,3766,122,119,119,0,0,2,111,1,5
כרמיאל,1139,26879,19998,19359,639,76,7495,5902,3844,1355
כרמיה,768,217,169,168,1,0,159,7,2,0
כרמל,3656,138,126,125,1,0,1,119,5,0
לביא,585,371,316,313,3,0,13,292,8,0
לבנים,1230,152,129,129,0,0,46,56,12,13
להב,2023,427,332,330,2,1,280,36,6,6
להבות הבשן,380,351,276,275,1,3,250,6,7,0
להבות חביבה,715,256,175,174,1,0,159,9,5,0
להבים,1271,1738,1433,1427,6,1,900,396,75,40
לוד,7000,37889,27715,26785,930,2536,5157,11583,2463,3686
לוזית,52,201,151,149,2,0,22,39,0,88
לוחמי הגיטאות,595,358,298,295,3,0,268,14,11,0
לוטם,1171,100,81,81,0,0,61,13,7,0
לוטן,1255,106,74,74,0,3,64,2,5,0
לי-און,1114,135,115,114,1,2,43,49,8,10
לימן,674,255,197,196,1,0,94,76,12,3
לכיש,24,287,238,238,0,0,210,23,5,0
לפידות,1173,72,68,68,0,0,19,36,5,6
לקיה,1060,562,469,460,9,209,25,5,0,0
מאור,2055,288,240,237,3,0,73,129,19,14
מאיר שפיה,102,80,46,46,0,0,26,11,7,1
מבוא ביתר,771,207,145,144,1,0,29,96,13,5
מבוא דותן,3569,203,164,160,4,0,12,130,9,7
מבוא חורון,3709,207,188,187,1,0,0,165,0,21
מבוא חמה,4204,275,177,172,5,0,99,7,61,0
מבוא מודיעים,1141,112,81,81,0,0,4,57,4,12
מבועים,1080,496,414,407,7,0,110,231,11,54
מבטחים,829,302,212,209,3,0,75,98,5,26
מבקיעים,573,120,110,110,0,0,70,28,6,3
מבשרת ציון,1015,11254,9132,9020,112,32,3386,4192,467,873
מג'ד אל-כרום,516,5025,4407,4357,50,3504,582,164,5,2
מג'דל שמס,4201,197,48,47,1,0,7,40,0,0
מגאר,481,7835,5503,5372,131,1917,2538,592,50,185
מגדים,689,373,307,303,4,0,99,121,16,64
מגדל,65,791,599,592,7,3,87,355,28,107
מגדל העמק,874,15938,12322,11900,422,21,2964,4948,2135,1482
מגדל עוז,3561,122,118,118,0,0,3,99,10,6
מגדלים,3751,57,53,49,4,0,9,33,6,1
מגידו,586,292,237,235,2,0,201,25,5,3
מגל,375,366,292,291,1,0,252,19,18,0
מגן,695,336,243,242,1,0,236,1,2,0
מגן שאול,1155,192,141,140,1,0,49,75,11,5
מגשימים,722,367,294,294,0,0,148,107,33,2
מדרך עוז,2029,343,269,267,2,0,44,145,31,47
מדרשת בן גוריון,1140,312,227,227,0,0,182,21,21,3
מולדת,269,404,348,347,1,1,281,29,34,0
מועאוויה,643,1008,888,859,29,652,162,2,1,38
מוצא עילית,208,640,485,480,5,2,348,101,23,1
מוצמוץ,642,1521,1146,1109,37,895,174,12,0,21
מוקייבלה,635,1061,849,805,44,417,344,35,1,2
מורן,1163,140,123,122,1,0,66,43,5,7
מושיירפה,645,1220,674,648,26,471,159,2,0,8
מזור,606,350,275,273,2,0,148,100,16,2
מזכרת בתיה,28,3086,2528,2494,34,2,1129,979,158,213
מזרע,104,721,538,532,6,0,500,5,23,1
מזרעה,517,1642,1426,1400,26,748,598,13,0,31
מחולה,3599,152,139,139,0,0,2,126,6,5
מחניים,308,350,273,272,1,0,233,6,33,0
מחסיה,776,183,156,151,5,0,5,120,1,25
מטולה,43,781,616,609,7,3,309,224,53,15
מטע,822,226,162,160,2,1,65,68,3,22
מי עמי,1128,101,85,85,0,0,60,19,6,0
מיטב,2054,271,226,224,2,1,20,194,1,8
מייסר,649,655,486,456,30,323,127,1,0,3
מירב,1282,78,69,69,0,0,1,64,4,0
מירון,607,342,273,270,3,0,5,207,1,55
מישר,731,227,179,177,2,1,113,56,5,1
מיתר,1268,3038,2526,2511,15,4,1281,998,124,84
מכבים-רעות,1273,5158,4129,4110,19,0,2725,1037,288,44
מכורה,3614,96,70,70,0,0,36,26,5,1
מכמורת,382,814,577,576,1,1,400,115,52,6
מכמנים,1202,108,97,92,5,0,59,15,16,0
מלאה,164,198,167,165,2,0,32,99,3,30
מלילות,2044,204,174,174,0,0,4,149,1,20
מלכיה,596,380,264,264,0,0,228,9,23,2
מנוחה,2030,279,222,218,4,1,23,138,4,51
מנוף,1174,272,210,209,1,1,164,18,25,0
מנות,1205,102,95,93,2,0,35,39,6,11
מנחמיה,48,886,706,692,14,1,219,342,47,68
מנרה,347,208,149,148,1,0,144,1,2,0
מנשית זבדה,994,320,257,246,11,94,114,21,0,3
מסד,1258,156,136,136,0,0,86,35,12,3
מסדה,263,242,202,199,3,0,172,13,7,3
מסילות,298,484,373,366,7,1,348,4,12,0
מסילת ציון,742,250,218,216,2,0,74,65,15,62
מסלול,748,184,155,154,1,0,83,40,1,29
מסעודין אל-עזאזמה,939,2490,1359,1302,57,1032,83,17,4,18
מעברות,197,599,475,474,1,1,459,5,5,1
מעגלים,1082,329,263,261,2,1,8,204,2,46
מעגן,678,256,208,205,3,0,170,22,13,0
מעגן מיכאל,694,1041,798,796,2,3,732,21,29,3
מעוז חיים,272,441,346,343,3,1,312,7,16,1
מעונה,570,285,219,217,2,0,78,105,19,14
מעיליא,518,1638,1451,1433,18,598,795,31,0,8
מעין ברוך,416,273,204,201,3,0,179,9,13,0
מעין צבי,290,559,409,405,4,1,356,18,20,2
מעלה אדומים,3616,10567,8898,8812,86,4,1052,5687,1177,802
מעלה אפרים,3608,941,689,677,12,1,211,356,43,42
מעלה גלבוע,1127,114,98,98,0,0,11,67,16,4
מעלה גמלא,4008,150,125,124,1,0,53,18,52,0
מעלה החמישה,286,417,268,261,7,0,213,23,11,14
מעלה לבונה,3752,181,159,158,1,1,0,150,1,5
מעלה מכמש,3651,254,233,233,0,0,0,214,6,10
מעלה עמוס,3653,127,102,100,2,0,0,35,1,62
מעלה שומרון,3637,280,233,231,2,0,9,202,15,3
מעלות-תרשיחא,1063,11390,8902,8625,277,1107,1774,2455,1892,1051
מענית,344,388,323,323,0,0,312,4,5,1
מעש,230,511,413,410,3,1,257,116,16,15
מפלסים,668,356,267,263,4,1,219,28,11,3
מצדות יהודה,3745,85,79,78,1,0,3,71,1,3
מצובה,325,407,295,291,4,1,262,6,20,0
מצליח,757,503,428,415,13,0,144,201,13,57
מצפה,58,86,78,78,0,0,39,28,5,2
"מצפה אבי""ב",1222,162,150,150,0,0,102,31,16,0
מצפה יריחו,3576,342,315,314,1,1,2,291,0,16
מצפה נטופה,1190,175,157,157,0,0,13,130,14,0
מצפה רמון,99,3290,2334,2259,75,14,731,858,387,180
מצפה שלם,3610,99,87,85,2,0,73,4,8,0
מצר,648,356,252,250,2,1,245,2,0,0
מקווה ישראל,22,205,157,154,3,0,81,64,8,1
מרגליות,843,236,194,190,4,1,70,84,9,21
מרום גולן,4101,369,280,276,4,0,139,44,88,2
מרחביה )מושב(,97,246,210,210,0,0,134,57,13,0
מרחביה )קיבוץ(,66,486,399,397,2,1,369,10,16,0
מרכז שפירא,1098,366,297,297,0,0,7,280,6,3
משאבי שדה,421,530,344,333,11,1,301,19,8,2
משגב דב,765,267,215,209,6,0,98,97,13,0
משגב עם,378,191,150,150,0,3,126,11,8,1
משהד,520,2635,2028,1947,81,1163,645,68,1,6
משואה,3605,108,73,72,1,0,14,35,21,1
משואות יצחק,620,375,340,338,2,0,22,304,10,2
משמר איילון,670,274,303,300,3,0,108,161,19,11
משמר דוד,563,140,102,102,0,1,74,13,13,1
משמר הירדן,732,193,159,158,1,0,11,118,7,21
משמר הנגב,395,634,404,402,2,0,366,13,17,3
משמר העמק,130,707,562,558,4,2,532,11,10,1
משמר השבעה,729,450,381,376,5,0,208,123,37,8
משמר השרון,194,386,288,286,2,0,268,6,6,1
משמרות,213,228,168,167,1,0,145,11,9,1
משמרת,425,267,222,217,5,0,143,51,19,2
משען,791,463,357,351,6,0,56,218,25,44
מתתיהו,3648,2034,1914,1906,8,0,0,32,1,1646
נאות גולן,4551,146,104,103,1,0,43,23,34,2
נאות הכיכר,1124,234,176,176,0,0,128,37,8,1
נאות מרדכי,408,511,399,392,7,0,313,39,33,2
נאעורה,524,672,537,533,4,158,343,2,0,5
נבטים,396,488,414,413,1,73,233,58,6,32
נגבה,315,473,364,362,2,0,332,11,19,0
נהורה,309,418,317,314,3,0,81,145,18,66
נהלל,80,549,443,438,5,0,276,117,41,0
נהריה,9100,31533,23010,22501,509,81,7856,9236,2682,1991
נוב,4304,215,172,171,1,0,1,167,2,1
נוגה,55,316,242,235,7,0,56,132,4,39
נווה אבות,926,855,127,106,21,1,43,40,4,11
נווה אור,590,261,209,209,0,0,190,5,12,1
"נווה אטי""ב",4303,106,88,86,2,0,11,45,29,1
נווה אילן,405,297,189,188,1,0,114,41,29,3
נווה איתן,296,220,173,172,1,1,150,8,11,0
נווה אפרים,1062,2301,1844,1835,9,1,1108,527,99,71
נווה דניאל,3725,243,217,217,0,0,3,205,6,2
נווה דקלים,5427,770,672,667,5,0,11,633,8,13
נווה זוהר,1057,96,68,68,0,1,22,41,2,0
נווה ים,312,122,89,88,1,0,70,11,4,2
נווה ימין,686,485,404,396,8,0,89,223,22,55
נווה ירק,858,403,340,335,5,0,236,77,10,9
נווה מבטח,827,280,215,212,3,0,139,66,3,0
נווה מיכאל,1071,197,159,157,2,0,21,105,5,24
נועם,15,288,232,230,2,0,8,182,1,38
נופים,3790,202,179,174,5,0,7,149,13,5
נופית,1284,511,437,435,2,0,325,73,35,1
נופך,257,152,124,121,3,0,19,81,4,14
נוקדים,3726,189,154,153,1,0,3,119,21,9
נורדיה,447,826,605,595,10,0,216,290,73,8
"נח""ל שמעה",3784,110,96,96,0,0,19,65,6,5
נחל עוז,844,332,262,261,1,0,240,13,6,1
נחלה,2045,260,218,216,2,0,44,63,8,101
נחליאל,3767,113,102,102,0,0,0,89,0,5
נחלים,449,556,493,491,2,0,11,441,12,24
נחם,809,270,230,226,4,0,20,158,4,43
נחף,522,3727,2870,2776,94,1694,715,28,2,159
נחשולים,433,306,251,251,0,1,227,8,15,0
נחשון,777,356,282,281,1,29,245,2,5,0
נחשונים,705,255,175,172,3,0,159,4,9,0
נטועה,1147,267,213,212,1,1,72,85,8,46
נטעים,174,212,168,164,4,0,116,34,12,1
נטף,1254,149,130,130,0,2,106,14,8,0
ניין,523,650,600,600,0,34,550,2,0,10
"ניל""י",3655,286,255,254,1,0,16,209,21,6
ניסנית,5426,250,201,196,5,1,27,137,8,18
ניצנה)קהילת חנוך(,1195,273,104,103,1,1,45,32,20,1
ניצני עוז,851,306,261,257,4,0,125,96,15,21
ניצנים,359,381,252,248,4,1,225,8,13,0
ניר אליהו,808,291,228,224,4,0,198,10,12,0
ניר בנים,553,328,276,274,2,0,187,56,25,2
ניר גלים,720,272,242,241,1,0,10,226,4,1
ניר דוד )תל עמל(,256,570,458,454,4,1,437,3,8,0
"ניר ח""ן",11,229,148,146,2,1,57,65,9,11
ניר יפה,165,243,177,175,2,0,108,47,14,3
ניר יצחק,402,403,325,323,2,2,314,0,4,2
ניר ישראל,699,313,246,243,3,0,160,66,11,1
ניר משה,2047,187,127,127,0,1,52,48,10,16
ניר עוז,69,332,265,265,0,0,257,1,5,1
ניר עם,348,323,218,216,2,0,200,5,9,1
ניר עציון,769,424,309,308,1,6,90,189,15,8
ניר עקיבא,2048,155,109,105,4,1,40,31,3,30
ניר צבי,331,652,524,520,4,1,360,122,28,6
נירים,602,316,241,238,3,2,234,0,0,0
נירית,1236,333,292,289,3,0,198,60,26,4
נס הרים,825,324,267,259,8,0,93,135,9,18
נס ציונה,7200,16052,12866,12625,241,19,4665,5396,1296,1058
נעורים,186,175,90,88,2,0,44,29,10,5
נעלה,3787,89,66,66,0,0,4,48,8,6
נען,158,1031,832,822,10,0,764,29,25,2
נצאצרה,1041,289,210,206,4,48,83,2,0,0
נצר חזני,5410,186,147,146,1,0,0,140,2,3
נצר סרני,435,466,365,365,0,0,342,8,12,3
נצרים,5408,70,76,75,1,0,0,73,0,2
נצרת,7300,36533,26209,25518,691,21056,3729,215,15,69
נצרת עילית,1061,32757,23399,22169,1230,1069,7355,7507,4572,612
נשר,2500,14273,10906,10644,262,22,3452,4052,2045,727
נתיב הגדוד,3555,256,183,181,2,0,88,58,28,4
"נתיב הל""ה",693,286,254,252,2,3,233,6,8,0
נתיב העשרה,1242,338,285,281,4,0,136,108,31,5
נתיב השיירה,792,271,217,207,10,0,124,65,9,7
נתיבות,246,9403,8048,7862,186,8,382,3992,753,2518
נתניה,7400,115019,82441,80510,1931,119,21762,34636,10109,11591
סאג'ור,525,1331,1045,1022,23,47,471,253,112,134
סאלם,644,392,324,318,6,145,88,8,0,74
סאסא,578,355,248,246,2,0,229,7,6,1
סביון,587,2278,1668,1662,6,3,984,529,97,31
סגולה,2046,240,199,196,3,0,117,60,7,11
סואעד )חמרייה(,942,106,60,60,0,19,35,6,0,0
סואעד )כמאנה(,989,599,484,484,0,145,280,34,1,5
סולם,526,1036,857,843,14,260,409,48,0,82
סוסיה,3756,102,97,97,0,0,1,91,2,0
סופה,1238,226,166,164,2,0,131,16,15,1
סח'נין,7500,10636,9280,9115,165,8081,833,70,14,19
סייד,1170,706,556,537,19,229,244,27,0,1
סלמה,1245,871,649,620,29,239,266,56,3,12
סלעית,3567,222,179,176,3,0,97,60,19,0
סמר,1156,170,113,113,0,4,103,4,0,1
סעד,419,477,397,395,2,1,72,301,15,1
סער,454,274,211,211,0,2,197,5,7,0
ספיר,1176,206,143,141,2,0,78,49,11,3
ספסופה,609,322,265,260,5,0,48,121,1,88
סתריה,610,359,307,302,5,0,215,66,13,5
ע'ג'ר,4501,669,553,553,0,2,545,6,0,0
עבדון,892,254,206,201,5,0,46,69,6,80
עברון,376,518,432,430,2,0,411,8,9,1
עגור,794,221,177,171,6,0,20,110,3,37
עדי,1199,514,433,433,0,0,278,120,26,4
עדנים,2035,144,120,120,0,0,62,40,16,0
עוזה,826,439,369,364,5,0,5,282,1,76
עוזייר,528,856,665,651,14,221,174,53,0,80
עולש,737,348,284,284,0,1,180,83,8,8
עומר,666,4896,3923,3903,20,9,2681,913,216,50
עופר,810,208,180,177,3,0,114,50,6,7
עופרה,3617,723,631,631,0,0,6,597,19,9
עופרים,3792,135,118,117,1,0,10,98,6,2
עוצם,32,365,317,307,10,0,10,81,0,211
עוקבי )בנו עוקבה(,957,241,228,226,2,81,142,1,0,0
עזריאל,837,305,271,268,3,0,9,237,8,14
עזריה,711,387,331,329,2,0,47,236,12,34
עזריקם,817,426,367,364,3,1,80,216,14,45
עטאוונה,969,553,419,408,11,180,177,25,0,5
עטרת,3658,95,87,87,0,0,0,85,0,2
עיילבון,530,2043,1800,1771,29,971,724,16,28,9
עיינות,156,86,62,61,1,0,37,11,11,1
עילוט,511,2324,1297,1258,39,762,379,5,0,56
עין א-סהלה,657,560,411,405,6,169,177,13,0,45
עין איילה,687,247,189,188,1,0,115,53,11,4
עין אל-אסד,546,366,268,263,5,5,184,72,0,1
עין גב,273,384,306,298,8,0,225,18,53,0
עין גדי,2042,474,353,351,2,0,318,11,13,9
עין דור,436,655,469,460,9,1,426,16,15,2
עין הבשור,1240,324,265,265,0,0,162,72,27,3
עין הוד,74,190,145,144,1,0,119,16,7,1
עין החורש,167,610,512,509,3,1,494,5,9,0
עין המפרץ,289,653,535,530,5,1,516,1,12,0
"עין הנצי""ב",383,415,355,354,1,0,41,301,11,1
עין העמק,367,330,252,251,1,0,53,148,12,36
עין השופט,270,721,512,511,1,0,494,8,7,0
עין השלושה,676,276,198,196,2,1,177,9,6,2
עין ורד,157,520,442,435,7,1,346,60,23,1
עין זיוון,4503,174,124,122,2,0,88,11,22,1
עין חרוד )איחוד(,89,538,436,433,3,1,369,29,28,1
עין חרוד )מאוחד(,82,678,536,530,6,0,416,24,28,1
עין יהב,806,391,301,299,2,4,260,22,8,0
עין יעקב,813,232,205,203,2,0,67,82,0,54
עין כרמל,426,370,303,302,1,2,271,10,15,0
עין מאהל,532,4338,3391,3328,63,2592,533,28,0,33
עין נקובא,521,507,422,399,23,154,185,53,1,2
עין עירון,223,207,167,165,2,2,114,33,12,0
עין צורים,622,348,294,291,3,1,15,264,9,2
עין ראפה,514,249,188,183,5,39,134,4,0,0
עין שמר,139,527,430,428,2,0,405,6,12,0
עין שריד,880,509,434,429,5,0,127,163,23,112
עינת,871,367,288,286,2,2,245,19,18,0
עירון,1247,889,718,704,14,7,257,221,173,23
עכו,7600,34021,24993,24274,719,3817,5525,8486,2380,3434
עלומים,1146,206,178,178,0,0,11,160,5,2
עלי,3765,428,386,386,0,0,14,333,26,8
עלי זהב,3727,183,149,149,0,0,12,124,9,4
עלמה,688,462,394,394,0,0,7,273,7,103
עלמון,3715,296,245,245,0,0,34,192,17,1
עמוקה,1212,114,100,100,0,0,84,10,5,0
עמינדב,779,329,270,266,4,0,105,137,16,7
עמיעד,385,420,312,312,0,1,291,8,10,1
עמיעוז,318,192,155,154,1,0,40,75,7,25
עמיקם,773,176,149,146,3,0,41,86,10,8
עמיר,319,458,391,388,3,3,374,4,5,0
עמנואל,3660,1323,1095,1079,16,1,3,223,6,821
עמקה,708,365,314,311,3,0,17,224,48,22
ענב,3712,173,155,154,1,0,1,139,3,9
עספיא,534,5228,3959,3893,66,756,2714,230,13,74
עפולה,7700,24472,18755,18269,486,43,4326,8669,3035,1639
עץ אפרים,3778,173,157,156,1,0,10,136,9,1
עראבה,531,7809,6186,6076,110,4938,864,39,5,26
עראמשה,1246,500,444,444,0,12,390,42,0,0
ערד,2560,16305,11665,11293,372,58,4317,3224,2055,958
ערוגות,593,324,281,274,7,0,186,72,12,0
ערוער,1192,2185,1397,1303,94,911,190,27,3,19
ערערה,637,6912,5107,4968,139,3442,1318,84,6,32
עשרת,591,680,558,550,8,0,380,125,38,3
עתלית,53,2956,2251,2209,42,4,698,1145,140,196
עתניאל,3748,144,115,115,0,0,1,103,2,9
פארן,1151,210,154,154,0,0,128,15,11,0
פדואל,3768,223,183,183,0,0,0,180,0,1
פדויים,750,218,168,164,4,1,34,78,17,31
פדיה,838,332,279,270,9,3,64,169,9,25
פוריה - כפר עבודה,1104,140,110,107,3,0,9,74,3,21
פוריה - נווה עובד,1105,504,389,381,8,0,56,264,26,34
פוריה עילית,1313,169,126,123,3,0,62,41,12,6
פוריידיס,537,4256,3003,2903,100,1843,827,52,5,5
פורת,767,459,389,385,4,0,14,295,1,66
פטיש,749,408,363,360,3,1,57,107,2,190
פלמחים,597,430,302,300,2,0,269,19,8,0
פני חבר,3723,62,58,58,0,0,0,57,0,1
פסגות,3659,391,357,357,0,1,0,332,13,9
פסוטה,535,1699,1316,1279,37,595,546,22,0,114
"פעמי תש""ז",2059,201,167,160,7,0,49,23,2,82
פצאל,3615,163,134,134,0,0,62,48,21,0
פקיעין )בוקייעה(,536,2443,1975,1928,47,634,705,204,180,200
פקיעין חדשה,281,165,135,129,6,0,37,49,0,43
פרדס חנה-כרכור,7800,14879,11671,11390,281,22,3429,5473,960,1279
פרדסיה,171,2216,1838,1824,14,0,909,691,137,71
פרוד,599,227,170,168,2,0,149,7,10,1
פרזון,2053,265,223,220,3,0,42,172,1,4
פתח תקווה,7900,117378,92240,90473,1767,162,28334,38519,10157,11512
פתחיה,839,405,330,318,12,0,76,210,10,19
צאלים,413,333,231,230,1,1,207,8,10,4
צביה,1180,98,90,88,2,1,83,3,1,0
צובה,465,408,314,311,3,0,270,16,22,0
צוחר,1136,328,260,251,9,0,73,145,11,20
צופין,3791,287,261,257,4,1,16,218,12,8
צופית,198,404,329,326,3,0,259,47,17,0
צופר,1150,116,101,101,0,0,78,13,9,0
צור הדסה,1113,412,345,341,4,7,230,78,13,10
צור יגאל,1306,1302,1185,1172,13,0,575,362,198,23
צור משה,276,445,358,352,6,2,243,77,22,4
צור נתן,1148,159,139,138,1,0,28,97,10,3
צוריאל,774,183,156,155,1,0,31,77,2,45
צורית,1221,221,192,192,0,0,135,41,14,0
צורן,1308,1619,1405,1385,20,0,626,395,308,30
ציפורי,613,243,180,180,0,0,117,45,12,3
צלפון,796,420,343,339,4,0,41,200,12,86
צנדלה,636,651,285,269,16,217,44,0,0,1
צפריה,594,280,244,243,1,0,12,212,8,10
צפרירים,1079,226,183,180,3,2,44,86,4,39
צפת,8000,15338,11628,11348,280,102,1727,4972,1274,2966
צרופה,612,318,274,273,1,0,62,135,3,70
צרעה,567,758,557,556,1,15,512,14,10,3
קבועה,1234,277,185,179,6,144,20,9,0,1
קבוצת יבנה,334,564,491,483,8,1,68,390,23,0
קדומים,3557,1039,942,941,1,0,2,899,16,20
קדימה,195,3624,2913,2842,71,1,818,1226,237,510
קדמת צבי,4025,95,85,85,0,0,19,22,44,0
קדר,3781,105,87,87,0,0,8,68,9,1
קדרון,615,625,507,503,4,0,353,89,54,4
קודייראת א-צאנע,964,1532,1260,1232,28,809,36,1,0,7
קוואעין,972,330,246,243,3,147,74,12,0,3
קוממיות,766,196,120,120,0,0,0,3,0,117
קורנית,1179,277,254,252,2,0,177,40,22,12
קטורה,1052,241,134,133,1,0,113,11,9,0
קטיף,5423,89,78,78,0,0,0,75,0,2
קיסריה,1167,1019,783,776,7,4,483,213,50,22
קלחים,414,181,144,143,1,0,69,19,0,55
קליה,3601,147,117,117,0,1,92,14,10,0
קלנסווה,638,6334,5167,5072,95,3801,1080,15,2,5
קצרין,4100,3656,2784,2708,76,4,812,927,674,196
קרית אונו,2620,19177,15024,14798,226,33,6934,5342,1171,1101
קרית ארבע,3611,2778,2296,2272,24,2,52,1886,196,92
קרית אתא,6800,33084,24573,23815,758,56,5779,11718,2412,3039
קרית ביאליק,9500,28933,22025,21560,465,53,9342,7716,2564,1448
קרית גת,2630,32303,24268,23345,923,75,4828,9677,3963,3833
קרית טבעון,2300,10129,7551,7436,115,32,4537,2104,549,96
קרית ים,9600,33107,23368,22492,876,47,6656,9503,3657,1796
קרית יערים,1137,778,646,644,2,0,1,61,0,565
קרית מוצקין,8200,26820,20927,20422,505,21,8777,7807,2308,1038
קרית מלאכי,1034,12414,9723,9480,243,19,1501,5250,555,1921
קרית נטפים,3746,87,75,74,1,0,0,67,1,6
קרית ענבים,78,280,216,216,0,1,184,11,19,0
קרית עקרון,469,4618,3780,3679,101,1,574,2444,264,333
קרית שמונה,2800,14279,10748,10514,234,18,1986,5271,1396,1609
קרני שומרון,3640,2655,2220,2211,9,1,83,1931,93,88
קשת,4006,223,206,206,0,0,0,198,6,1
ראמה,543,4229,3176,3107,69,1673,1004,335,12,38
ראס עלי,990,155,138,136,2,39,67,28,2,0
ראש העין,2640,18406,15630,15434,196,17,3783,6634,2136,2682
ראש פינה,26,1275,1005,991,14,7,539,313,86,32
ראש צורים,3602,136,118,118,0,1,7,105,5,0
ראשון לציון,8300,122334,95619,93838,1781,145,37205,36720,10273,7124
רבבה,3795,75,70,69,1,0,0,67,0,2
רבדים,564,309,208,207,1,1,191,6,9,0
רביבים,354,574,424,420,4,1,393,7,14,1
רגבה,390,443,354,350,4,0,328,11,9,1
רגבים,444,297,184,182,2,1,166,8,7,0
רהט,1161,10119,8085,7751,334,4792,1843,130,25,69
רווחה,2051,330,275,269,6,1,13,209,0,45
רוויה,2016,231,158,157,1,0,7,117,0,31
רוחמה,362,473,343,338,5,0,328,4,6,0
רומאנה,539,285,241,227,14,85,110,4,0,4
רומת היב,997,584,352,346,6,153,62,114,0,0
